country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
australia,Australia 12Y,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Australia 12Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Australia 12Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Australia 12Y from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Australia 12Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Australia 12Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Australia 12Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2006,failed,0,01/01/2006,31/12/2006,"Failed to download Australia 12Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2007,failed,0,01/01/2007,31/12/2007,"Failed to download Australia 12Y from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0015: error 403, try again later.",
australia,Australia 12Y,2008,ok,253,01/01/2008,31/12/2008,,
australia,Australia 12Y,2009,ok,254,01/01/2009,31/12/2009,,
australia,Australia 12Y,2010,ok,253,01/01/2010,31/12/2010,,
australia,Australia 12Y,2011,ok,252,01/01/2011,31/12/2011,,
australia,Australia 12Y,2012,ok,334,01/01/2012,31/12/2012,,
australia,Australia 12Y,2013,ok,343,01/01/2013,31/12/2013,,
australia,Australia 12Y,2014,ok,345,01/01/2014,31/12/2014,,
australia,Australia 12Y,2015,ok,365,01/01/2015,31/12/2015,,
australia,Australia 12Y,2016,ok,363,01/01/2016,31/12/2016,,
australia,Australia 12Y,2017,ok,355,01/01/2017,31/12/2017,,
australia,Australia 12Y,2018,ok,326,01/01/2018,31/12/2018,,
australia,Australia 12Y,2019,ok,335,01/01/2019,31/12/2019,,
australia,Australia 12Y,2020,ok,317,01/01/2020,31/12/2020,,
australia,Australia 12Y,2021,ok,332,01/01/2021,31/12/2021,,
australia,Australia 12Y,2022,ok,335,01/01/2022,31/12/2022,,
australia,Australia 12Y,2023,ok,337,01/01/2023,31/12/2023,,
australia,Australia 12Y,2024,ok,291,01/01/2024,31/12/2024,,
australia,Australia 12Y,2025,ok,255,01/01/2025,31/12/2025,,
australia,Australia 12Y,2026,ok,46,01/01/2026,08/03/2026,,
australia,Australia 12Y,2026,ok,11,27/02/2026,13/03/2026,,2026-03-13 22:50:32
