Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,6.448,6.448,6.448,6.448,6.448,,canada,Canada 20Y
2000-01-05,6.525,6.525,6.525,6.525,6.525,,canada,Canada 20Y
2000-01-06,6.451,6.451,6.451,6.451,6.451,,canada,Canada 20Y
2000-01-07,6.455,6.455,6.455,6.455,6.455,,canada,Canada 20Y
2000-01-10,6.468,6.468,6.468,6.468,6.468,,canada,Canada 20Y
2000-01-11,6.508,6.508,6.508,6.508,6.508,,canada,Canada 20Y
2000-01-12,6.517,6.517,6.517,6.517,6.517,,canada,Canada 20Y
2000-01-13,6.469,6.469,6.469,6.469,6.469,,canada,Canada 20Y
2000-01-14,6.489,6.489,6.489,6.489,6.489,,canada,Canada 20Y
2000-01-17,6.489,6.489,6.489,6.489,6.489,,canada,Canada 20Y
2000-01-18,6.513,6.513,6.513,6.513,6.513,,canada,Canada 20Y
2000-01-19,6.487,6.487,6.487,6.487,6.487,,canada,Canada 20Y
2000-01-20,6.524,6.524,6.524,6.524,6.524,,canada,Canada 20Y
2000-01-21,6.501,6.501,6.501,6.501,6.501,,canada,Canada 20Y
2000-01-24,6.435,6.435,6.435,6.435,6.435,,canada,Canada 20Y
2000-01-25,6.409,6.409,6.409,6.409,6.409,,canada,Canada 20Y
2000-01-26,6.344,6.344,6.344,6.344,6.344,,canada,Canada 20Y
2000-01-27,6.38,6.38,6.38,6.38,6.38,,canada,Canada 20Y
2000-01-28,6.38,6.38,6.38,6.38,6.38,,canada,Canada 20Y
2000-01-31,6.38,6.38,6.38,6.38,6.38,,canada,Canada 20Y
2000-02-01,6.347,6.347,6.347,6.347,6.347,,canada,Canada 20Y
2000-02-02,6.254,6.254,6.254,6.254,6.254,,canada,Canada 20Y
2000-02-03,6.145,6.145,6.145,6.145,6.145,,canada,Canada 20Y
2000-02-04,6.208,6.208,6.208,6.208,6.208,,canada,Canada 20Y
2000-02-07,6.275,6.275,6.275,6.275,6.275,,canada,Canada 20Y
2000-02-08,6.19,6.19,6.19,6.19,6.19,,canada,Canada 20Y
2000-02-09,6.192,6.192,6.192,6.192,6.192,,canada,Canada 20Y
2000-02-10,6.246,6.246,6.246,6.246,6.246,,canada,Canada 20Y
2000-02-11,6.19,6.19,6.19,6.19,6.19,,canada,Canada 20Y
2000-02-14,6.136,6.136,6.136,6.136,6.136,,canada,Canada 20Y
