country,bond_name,year,status,rows,from_date,to_date,error
canada,Canada 2M,2000,ok,235,01/01/2000,31/12/2000,
canada,Canada 2M,2001,ok,249,01/01/2001,31/12/2001,
canada,Canada 2M,2002,ok,249,01/01/2002,31/12/2002,
canada,Canada 2M,2003,ok,251,01/01/2003,31/12/2003,
canada,Canada 2M,2004,ok,252,01/01/2004,31/12/2004,
canada,Canada 2M,2005,ok,250,01/01/2005,31/12/2005,
canada,Canada 2M,2006,ok,250,01/01/2006,31/12/2006,
canada,Canada 2M,2007,ok,145,01/01/2007,31/12/2007,
canada,Canada 2M,2008,failed,0,01/01/2008,31/12/2008,"Failed to download Canada 2M from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2009,failed,0,01/01/2009,31/12/2009,"Failed to download Canada 2M from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2010,failed,0,01/01/2010,31/12/2010,"Failed to download Canada 2M from 01/01/2010 to 31/12/2010 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2011,failed,0,01/01/2011,31/12/2011,"Failed to download Canada 2M from 01/01/2011 to 31/12/2011 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2012,failed,0,01/01/2012,31/12/2012,"Failed to download Canada 2M from 01/01/2012 to 31/12/2012 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2013,failed,0,01/01/2013,31/12/2013,"Failed to download Canada 2M from 01/01/2013 to 31/12/2013 after 60 attempts: ERR#0015: error 403, try again later."
canada,Canada 2M,2014,failed,0,01/01/2014,31/12/2014,Failed to download Canada 2M from 01/01/2014 to 31/12/2014 after 60 attempts: ERR#0069: bond information unavailable or not found.
canada,Canada 2M,2015,ok,294,01/01/2015,31/12/2015,
canada,Canada 2M,2016,ok,263,01/01/2016,31/12/2016,
canada,Canada 2M,2017,ok,263,01/01/2017,31/12/2017,
canada,Canada 2M,2018,ok,255,01/01/2018,31/12/2018,
canada,Canada 2M,2019,ok,258,01/01/2019,31/12/2019,
canada,Canada 2M,2020,ok,254,01/01/2020,31/12/2020,
canada,Canada 2M,2021,ok,249,01/01/2021,31/12/2021,
canada,Canada 2M,2022,ok,248,01/01/2022,31/12/2022,
canada,Canada 2M,2023,ok,252,01/01/2023,31/12/2023,
canada,Canada 2M,2024,ok,254,01/01/2024,31/12/2024,
canada,Canada 2M,2025,ok,249,01/01/2025,31/12/2025,
canada,Canada 2M,2026,ok,45,01/01/2026,08/03/2026,
