Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,5.23,5.23,5.23,5.23,5.23,,canada,Canada 6M
2000-01-05,5.37,5.37,5.37,5.37,5.37,,canada,Canada 6M
2000-01-06,5.33,5.33,5.33,5.33,5.33,,canada,Canada 6M
2000-01-07,5.33,5.33,5.33,5.33,5.33,,canada,Canada 6M
2000-01-10,5.35,5.35,5.35,5.35,5.35,,canada,Canada 6M
2000-01-11,5.43,5.43,5.43,5.43,5.43,,canada,Canada 6M
2000-01-12,5.36,5.36,5.36,5.36,5.36,,canada,Canada 6M
2000-01-13,5.34,5.34,5.34,5.34,5.34,,canada,Canada 6M
2000-01-14,5.35,5.35,5.35,5.35,5.35,,canada,Canada 6M
2000-01-17,5.36,5.36,5.36,5.36,5.36,,canada,Canada 6M
2000-01-18,5.41,5.41,5.41,5.41,5.41,,canada,Canada 6M
2000-01-19,5.38,5.38,5.38,5.38,5.38,,canada,Canada 6M
2000-01-20,5.39,5.39,5.39,5.39,5.39,,canada,Canada 6M
2000-01-21,5.35,5.35,5.35,5.35,5.35,,canada,Canada 6M
2000-01-24,5.31,5.31,5.31,5.31,5.31,,canada,Canada 6M
2000-01-25,5.32,5.32,5.32,5.32,5.32,,canada,Canada 6M
2000-01-26,5.31,5.31,5.31,5.31,5.31,,canada,Canada 6M
2000-01-27,5.35,5.35,5.35,5.35,5.35,,canada,Canada 6M
2000-01-28,5.36,5.36,5.36,5.36,5.36,,canada,Canada 6M
2000-01-31,5.39,5.39,5.39,5.39,5.39,,canada,Canada 6M
2000-02-01,5.5,5.5,5.5,5.5,5.5,,canada,Canada 6M
2000-02-02,5.46,5.46,5.46,5.46,5.46,,canada,Canada 6M
2000-02-03,5.38,5.38,5.38,5.38,5.38,,canada,Canada 6M
2000-02-04,5.39,5.39,5.39,5.39,5.39,,canada,Canada 6M
2000-02-07,5.36,5.36,5.36,5.36,5.36,,canada,Canada 6M
2000-02-08,5.34,5.34,5.34,5.34,5.34,,canada,Canada 6M
2000-02-09,5.27,5.27,5.27,5.27,5.27,,canada,Canada 6M
2000-02-10,5.28,5.28,5.28,5.28,5.28,,canada,Canada 6M
2000-02-11,5.32,5.32,5.32,5.32,5.32,,canada,Canada 6M
2000-02-14,5.35,5.35,5.35,5.35,5.35,,canada,Canada 6M
2000-02-15,5.37,5.37,5.37,5.37,5.37,,canada,Canada 6M
