Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2002-06-04,2.194,2.194,2.194,2.194,2.194,,china,China 1Y
2002-06-05,2.198,2.198,2.198,2.198,2.198,,china,China 1Y
2002-06-06,1.921,1.921,1.921,1.921,1.921,,china,China 1Y
2002-06-07,1.913,1.913,1.913,1.913,1.913,,china,China 1Y
2002-06-10,1.955,1.955,1.955,1.955,1.955,,china,China 1Y
2002-06-11,1.923,1.923,1.923,1.923,1.923,,china,China 1Y
2002-06-12,1.923,1.923,1.923,1.923,1.923,,china,China 1Y
2002-06-13,1.927,1.927,1.927,1.927,1.927,,china,China 1Y
2002-06-14,1.923,1.923,1.923,1.923,1.923,,china,China 1Y
2002-06-17,1.923,1.923,1.923,1.923,1.923,,china,China 1Y
2002-06-18,1.906,1.906,1.906,1.906,1.906,,china,China 1Y
2002-06-19,1.913,1.913,1.913,1.913,1.913,,china,China 1Y
2002-06-20,1.93,1.93,1.93,1.93,1.93,,china,China 1Y
2002-06-21,1.94,1.94,1.94,1.94,1.94,,china,China 1Y
2002-06-24,1.989,1.989,1.989,1.989,1.989,,china,China 1Y
2002-06-25,1.977,1.977,1.977,1.977,1.977,,china,China 1Y
2002-06-26,1.974,1.974,1.974,1.974,1.974,,china,China 1Y
2002-06-27,1.964,1.964,1.964,1.964,1.964,,china,China 1Y
2002-06-28,1.963,1.963,1.963,1.963,1.963,,china,China 1Y
2002-07-01,1.968,1.968,1.968,1.968,1.968,,china,China 1Y
2002-07-02,1.971,1.971,1.971,1.971,1.971,,china,China 1Y
2002-07-03,1.957,1.957,1.957,1.957,1.957,,china,China 1Y
2002-07-04,1.968,1.968,1.968,1.968,1.968,,china,China 1Y
2002-07-05,2.026,2.026,2.026,2.026,2.026,,china,China 1Y
2002-07-08,2.052,2.052,2.052,2.052,2.052,,china,China 1Y
2002-07-09,2.069,2.069,2.069,2.069,2.069,,china,China 1Y
2002-07-10,2.034,2.034,2.034,2.034,2.034,,china,China 1Y
2002-07-11,2.031,2.031,2.031,2.031,2.031,,china,China 1Y
2002-07-12,2.02,2.02,2.02,2.02,2.02,,china,China 1Y
2002-07-15,2.078,2.078,2.078,2.078,2.078,,china,China 1Y
2002-07-16,1.996,1.996,1.996,1.996,1.996,,china,China 1Y
2002-07-17,1.986,1.986,1.986,1.986,1.986,,china,China 1Y
2002-07-18,2.001,2.001,2.001,2.001,2.001,,china,China 1Y
2002-07-19,1.96,1.96,1.96,1.96,1.96,,china,China 1Y
2002-07-22,1.929,1.929,1.929,1.929,1.929,,china,China 1Y
2002-07-23,1.977,1.977,1.977,1.977,1.977,,china,China 1Y
2002-07-24,2.001,2.001,2.001,2.001,2.001,,china,China 1Y
2002-07-25,1.988,1.988,1.988,1.988,1.988,,china,China 1Y
2002-07-26,1.99,1.99,1.99,1.99,1.99,,china,China 1Y
2002-07-29,2.031,2.031,2.031,2.031,2.031,,china,China 1Y
2002-07-30,2.139,2.139,2.139,2.139,2.139,,china,China 1Y
2002-07-31,2.142,2.142,2.142,2.142,2.142,,china,China 1Y
2002-08-01,1.988,1.988,1.988,1.988,1.988,,china,China 1Y
2002-08-02,1.976,1.976,1.976,1.976,1.976,,china,China 1Y
2002-08-05,1.976,1.976,1.976,1.976,1.976,,china,China 1Y
2002-08-06,1.978,1.978,1.978,1.978,1.978,,china,China 1Y
2002-08-07,1.983,1.983,1.983,1.983,1.983,,china,China 1Y
2002-08-08,1.979,1.979,1.979,1.979,1.979,,china,China 1Y
2002-08-09,2.036,2.036,2.036,2.036,2.036,,china,China 1Y
2002-08-12,2.062,2.062,2.062,2.062,2.062,,china,China 1Y
2002-08-13,2.096,2.096,2.096,2.096,2.096,,china,China 1Y
2002-08-14,2.057,2.057,2.057,2.057,2.057,,china,China 1Y
2002-08-15,2.021,2.021,2.021,2.021,2.021,,china,China 1Y
2002-08-16,2.025,2.025,2.025,2.025,2.025,,china,China 1Y
2002-08-19,1.996,1.996,1.996,1.996,1.996,,china,China 1Y
2002-08-20,1.995,1.995,1.995,1.995,1.995,,china,China 1Y
2002-08-21,2.002,2.002,2.002,2.002,2.002,,china,China 1Y
2002-08-22,2.006,2.006,2.006,2.006,2.006,,china,China 1Y
2002-08-23,2.034,2.034,2.034,2.034,2.034,,china,China 1Y
2002-08-26,2.026,2.026,2.026,2.026,2.026,,china,China 1Y
2002-08-27,2.099,2.099,2.099,2.099,2.099,,china,China 1Y
2002-08-28,2.125,2.125,2.125,2.125,2.125,,china,China 1Y
2002-08-29,2.133,2.133,2.133,2.133,2.133,,china,China 1Y
2002-08-30,2.091,2.091,2.091,2.091,2.091,,china,China 1Y
2002-09-02,2.121,2.121,2.121,2.121,2.121,,china,China 1Y
2002-09-03,2.16,2.16,2.16,2.16,2.16,,china,China 1Y
2002-09-04,2.132,2.132,2.132,2.132,2.132,,china,China 1Y
2002-09-05,2.098,2.098,2.098,2.098,2.098,,china,China 1Y
2002-09-06,2.135,2.135,2.135,2.135,2.135,,china,China 1Y
2002-09-09,2.218,2.218,2.218,2.218,2.218,,china,China 1Y
2002-09-10,2.188,2.188,2.188,2.188,2.188,,china,China 1Y
2002-09-11,2.346,2.346,2.346,2.346,2.346,,china,China 1Y
2002-09-12,2.276,2.276,2.276,2.276,2.276,,china,China 1Y
2002-09-13,2.3,2.3,2.3,2.3,2.3,,china,China 1Y
2002-09-16,2.297,2.297,2.297,2.297,2.297,,china,China 1Y
2002-09-17,2.455,2.455,2.455,2.455,2.455,,china,China 1Y
2002-09-18,2.427,2.427,2.427,2.427,2.427,,china,China 1Y
2002-09-19,2.334,2.334,2.334,2.334,2.334,,china,China 1Y
2002-09-20,2.335,2.335,2.335,2.335,2.335,,china,China 1Y
2002-09-23,2.329,2.329,2.329,2.329,2.329,,china,China 1Y
2002-09-24,2.354,2.354,2.354,2.354,2.354,,china,China 1Y
2002-09-25,2.486,2.486,2.486,2.486,2.486,,china,China 1Y
2002-09-26,2.491,2.491,2.491,2.491,2.491,,china,China 1Y
2002-09-27,2.481,2.481,2.481,2.481,2.481,,china,China 1Y
2002-09-28,2.406,2.406,2.406,2.406,2.406,,china,China 1Y
2002-09-29,2.364,2.364,2.364,2.364,2.364,,china,China 1Y
2002-09-30,2.521,2.521,2.521,2.521,2.521,,china,China 1Y
2002-10-08,2.538,2.538,2.538,2.538,2.538,,china,China 1Y
2002-10-09,2.558,2.558,2.558,2.558,2.558,,china,China 1Y
2002-10-10,2.537,2.537,2.537,2.537,2.537,,china,China 1Y
2002-10-11,2.604,2.604,2.604,2.604,2.604,,china,China 1Y
2002-10-14,2.589,2.589,2.589,2.589,2.589,,china,China 1Y
2002-10-15,2.304,2.304,2.304,2.304,2.304,,china,China 1Y
2002-10-16,2.289,2.289,2.289,2.289,2.289,,china,China 1Y
2002-10-17,2.291,2.291,2.291,2.291,2.291,,china,China 1Y
2002-10-18,2.294,2.294,2.294,2.294,2.294,,china,China 1Y
2002-10-22,2.278,2.278,2.278,2.278,2.278,,china,China 1Y
2002-10-23,2.233,2.233,2.233,2.233,2.233,,china,China 1Y
2002-10-24,2.226,2.226,2.226,2.226,2.226,,china,China 1Y
2002-10-25,2.296,2.296,2.296,2.296,2.296,,china,China 1Y
2002-10-29,2.374,2.374,2.374,2.374,2.374,,china,China 1Y
2002-10-31,2.316,2.316,2.316,2.316,2.316,,china,China 1Y
2002-11-01,2.328,2.328,2.328,2.328,2.328,,china,China 1Y
2002-11-04,2.467,2.467,2.467,2.467,2.467,,china,China 1Y
2002-11-05,2.136,2.136,2.136,2.136,2.136,,china,China 1Y
2002-11-06,2.135,2.135,2.135,2.135,2.135,,china,China 1Y
2002-11-07,2.257,2.257,2.257,2.257,2.257,,china,China 1Y
2002-11-08,2.301,2.301,2.301,2.301,2.301,,china,China 1Y
2002-11-11,2.337,2.337,2.337,2.337,2.337,,china,China 1Y
2002-11-12,2.288,2.288,2.288,2.288,2.288,,china,China 1Y
2002-11-13,2.25,2.25,2.25,2.25,2.25,,china,China 1Y
2002-11-14,2.26,2.26,2.26,2.26,2.26,,china,China 1Y
2002-11-15,2.263,2.263,2.263,2.263,2.263,,china,China 1Y
2002-11-18,2.357,2.357,2.357,2.357,2.357,,china,China 1Y
2002-11-19,2.36,2.36,2.36,2.36,2.36,,china,China 1Y
