Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2017-03-09,1.092,1.153,1.079,1.14,1.14,,germany,Germany 25Y
2017-03-10,1.173,1.198,1.148,1.15,1.15,,germany,Germany 25Y
2017-03-13,1.154,1.178,1.107,1.138,1.138,,germany,Germany 25Y
2017-03-14,1.163,1.183,1.094,1.099,1.099,,germany,Germany 25Y
2017-03-15,1.099,1.119,1.067,1.077,1.077,,germany,Germany 25Y
2017-03-16,1.044,1.145,1.038,1.112,1.112,,germany,Germany 25Y
2017-03-17,1.114,1.131,1.07,1.078,1.078,,germany,Germany 25Y
2017-03-20,1.077,1.121,1.067,1.092,1.092,,germany,Germany 25Y
2017-03-21,1.101,1.141,1.076,1.102,1.102,,germany,Germany 25Y
2017-03-22,1.077,1.09,1.029,1.038,1.038,,germany,Germany 25Y
2017-03-23,1.046,1.088,1.025,1.077,1.077,,germany,Germany 25Y
2017-03-24,1.079,1.094,1.048,1.05,1.05,,germany,Germany 25Y
2017-03-27,1.015,1.054,0.979,1.048,1.048,,germany,Germany 25Y
2017-03-28,1.055,1.064,1.021,1.042,1.042,,germany,Germany 25Y
2017-03-29,1.061,1.072,1.001,1.017,1.017,,germany,Germany 25Y
2017-03-30,1.018,1.029,0.995,1.011,1.011,,germany,Germany 25Y
2017-03-31,1.014,1.029,0.997,1.011,1.011,,germany,Germany 25Y
2017-04-03,1.01,1.022,0.965,0.97,0.97,,germany,Germany 25Y
2017-04-04,0.97,0.973,0.918,0.948,0.948,,germany,Germany 25Y
2017-04-05,0.945,0.978,0.927,0.946,0.946,,germany,Germany 25Y
2017-04-06,0.928,0.956,0.924,0.941,0.941,,germany,Germany 25Y
2017-04-07,0.912,0.937,0.885,0.9,0.9,,germany,Germany 25Y
2017-04-10,0.919,0.921,0.873,0.874,0.874,,germany,Germany 25Y
2017-04-11,0.874,0.903,0.849,0.859,0.859,,germany,Germany 25Y
2017-04-12,0.854,0.876,0.836,0.841,0.841,,germany,Germany 25Y
2017-04-13,0.817,0.838,0.795,0.819,0.819,,germany,Germany 25Y
2017-04-18,0.81,0.831,0.776,0.777,0.777,,germany,Germany 25Y
2017-04-19,0.791,0.828,0.788,0.819,0.819,,germany,Germany 25Y
2017-04-20,0.813,0.882,0.803,0.86,0.86,,germany,Germany 25Y
2017-04-21,0.851,0.874,0.842,0.868,0.868,,germany,Germany 25Y
2017-04-24,0.946,1.006,0.946,0.971,0.971,,germany,Germany 25Y
2017-04-25,0.988,1.046,0.978,1.027,1.027,,germany,Germany 25Y
2017-04-26,1.035,1.043,1.004,1.015,1.015,,germany,Germany 25Y
2017-04-27,1.019,1.035,0.966,0.971,0.971,,germany,Germany 25Y
2017-04-28,0.977,1.044,0.976,1.005,1.005,,germany,Germany 25Y
2017-05-02,1.02,1.037,0.994,1.014,1.014,,germany,Germany 25Y
