Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2005-10-19,2.046,2.046,2.046,2.046,2.046,,germany,Germany 3M
2005-10-20,2.045,2.045,2.045,2.045,2.045,,germany,Germany 3M
2005-10-21,2.04,2.04,2.04,2.04,2.04,,germany,Germany 3M
2005-10-24,2.043,2.043,2.043,2.043,2.043,,germany,Germany 3M
2005-10-25,2.045,2.045,2.045,2.045,2.045,,germany,Germany 3M
2005-10-26,2.061,2.061,2.061,2.061,2.061,,germany,Germany 3M
2005-10-27,2.086,2.086,2.086,2.086,2.086,,germany,Germany 3M
2005-10-28,2.106,2.106,2.106,2.106,2.106,,germany,Germany 3M
2005-10-31,2.138,2.138,2.138,2.138,2.138,,germany,Germany 3M
2005-11-01,2.137,2.137,2.137,2.137,2.137,,germany,Germany 3M
2005-11-02,2.132,2.132,2.132,2.132,2.132,,germany,Germany 3M
2005-11-03,2.145,2.145,2.145,2.145,2.145,,germany,Germany 3M
2005-11-04,2.119,2.119,2.119,2.119,2.119,,germany,Germany 3M
2005-11-07,2.164,2.164,2.164,2.164,2.164,,germany,Germany 3M
2005-11-08,2.137,2.137,2.137,2.137,2.137,,germany,Germany 3M
2005-11-09,2.142,2.142,2.142,2.142,2.142,,germany,Germany 3M
2005-11-10,2.23,2.23,2.23,2.23,2.23,,germany,Germany 3M
2005-11-11,2.134,2.134,2.134,2.134,2.134,,germany,Germany 3M
2005-11-14,2.111,2.111,2.111,2.111,2.111,,germany,Germany 3M
2005-11-15,2.176,2.176,2.176,2.176,2.176,,germany,Germany 3M
2005-11-16,2.156,2.156,2.156,2.156,2.156,,germany,Germany 3M
2005-11-17,2.192,2.192,2.192,2.192,2.192,,germany,Germany 3M
2005-11-18,2.142,2.142,2.142,2.142,2.142,,germany,Germany 3M
2005-11-21,2.217,2.217,2.217,2.217,2.217,,germany,Germany 3M
2005-11-22,2.201,2.201,2.201,2.201,2.201,,germany,Germany 3M
2005-11-23,2.205,2.205,2.205,2.205,2.205,,germany,Germany 3M
2005-11-24,2.264,2.264,2.264,2.264,2.264,,germany,Germany 3M
2005-11-25,2.193,2.193,2.193,2.193,2.193,,germany,Germany 3M
2005-11-28,2.216,2.216,2.216,2.216,2.216,,germany,Germany 3M
2005-11-29,2.221,2.221,2.221,2.221,2.221,,germany,Germany 3M
