country,bond_name,year,status,rows,from_date,to_date,error
germany,Germany 3M,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Germany 3M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later."
germany,Germany 3M,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Germany 3M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later."
germany,Germany 3M,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Germany 3M from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later."
germany,Germany 3M,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Germany 3M from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later."
germany,Germany 3M,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Germany 3M from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later."
germany,Germany 3M,2005,ok,53,01/01/2005,31/12/2005,
germany,Germany 3M,2006,ok,255,01/01/2006,31/12/2006,
germany,Germany 3M,2007,ok,252,01/01/2007,31/12/2007,
germany,Germany 3M,2008,ok,239,01/01/2008,31/12/2008,
germany,Germany 3M,2009,ok,232,01/01/2009,31/12/2009,
germany,Germany 3M,2010,ok,254,01/01/2010,31/12/2010,
germany,Germany 3M,2011,ok,257,01/01/2011,31/12/2011,
germany,Germany 3M,2012,ok,298,01/01/2012,31/12/2012,
germany,Germany 3M,2013,ok,307,01/01/2013,31/12/2013,
germany,Germany 3M,2014,ok,291,01/01/2014,31/12/2014,
germany,Germany 3M,2015,ok,278,01/01/2015,31/12/2015,
germany,Germany 3M,2016,ok,266,01/01/2016,31/12/2016,
germany,Germany 3M,2017,ok,269,01/01/2017,31/12/2017,
germany,Germany 3M,2018,ok,258,01/01/2018,31/12/2018,
germany,Germany 3M,2019,ok,257,01/01/2019,31/12/2019,
germany,Germany 3M,2020,ok,260,01/01/2020,31/12/2020,
germany,Germany 3M,2021,ok,259,01/01/2021,31/12/2021,
germany,Germany 3M,2022,ok,258,01/01/2022,31/12/2022,
germany,Germany 3M,2023,ok,257,01/01/2023,31/12/2023,
germany,Germany 3M,2024,ok,256,01/01/2024,31/12/2024,
germany,Germany 3M,2025,ok,254,01/01/2025,31/12/2025,
germany,Germany 3M,2026,ok,46,01/01/2026,08/03/2026,
