country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
germany,Germany 9M,2000,failed,0,01/01/2000,31/12/2000,Failed to download Germany 9M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
germany,Germany 9M,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Germany 9M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later.",
germany,Germany 9M,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Germany 9M from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later.",
germany,Germany 9M,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Germany 9M from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later.",
germany,Germany 9M,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Germany 9M from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later.",
germany,Germany 9M,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Germany 9M from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
germany,Germany 9M,2006,failed,0,01/01/2006,31/12/2006,Failed to download Germany 9M from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.,
germany,Germany 9M,2007,failed,0,01/01/2007,31/12/2007,Failed to download Germany 9M from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0069: bond information unavailable or not found.,
germany,Germany 9M,2008,failed,0,01/01/2008,31/12/2008,Failed to download Germany 9M from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0069: bond information unavailable or not found.,
germany,Germany 9M,2009,ok,212,01/01/2009,31/12/2009,,
germany,Germany 9M,2010,ok,256,01/01/2010,31/12/2010,,
germany,Germany 9M,2011,ok,257,01/01/2011,31/12/2011,,
germany,Germany 9M,2012,ok,303,01/01/2012,31/12/2012,,
germany,Germany 9M,2013,ok,302,01/01/2013,31/12/2013,,
germany,Germany 9M,2014,ok,303,01/01/2014,31/12/2014,,
germany,Germany 9M,2015,ok,281,01/01/2015,31/12/2015,,
germany,Germany 9M,2016,ok,266,01/01/2016,31/12/2016,,
germany,Germany 9M,2017,ok,278,01/01/2017,31/12/2017,,
germany,Germany 9M,2018,ok,286,01/01/2018,31/12/2018,,
germany,Germany 9M,2019,ok,295,01/01/2019,31/12/2019,,
germany,Germany 9M,2020,ok,262,01/01/2020,31/12/2020,,
germany,Germany 9M,2021,ok,261,01/01/2021,31/12/2021,,
germany,Germany 9M,2022,ok,257,01/01/2022,31/12/2022,,
germany,Germany 9M,2023,ok,261,01/01/2023,31/12/2023,,
germany,Germany 9M,2024,ok,260,01/01/2024,31/12/2024,,
germany,Germany 9M,2025,ok,255,01/01/2025,31/12/2025,,
germany,Germany 9M,2026,ok,46,01/01/2026,08/03/2026,,
germany,Germany 9M,2026,ok,11,27/02/2026,13/03/2026,,2026-03-13 22:52:12
