country,bond_name,year,status,rows,from_date,to_date,update_run_timestamp
germany,Germany 9Y,2000,ok,260,01/01/2000,31/12/2000,
germany,Germany 9Y,2001,ok,260,01/01/2001,31/12/2001,
germany,Germany 9Y,2002,ok,261,01/01/2002,31/12/2002,
germany,Germany 9Y,2003,ok,256,01/01/2003,31/12/2003,
germany,Germany 9Y,2004,ok,259,01/01/2004,31/12/2004,
germany,Germany 9Y,2005,ok,259,01/01/2005,31/12/2005,
germany,Germany 9Y,2006,ok,255,01/01/2006,31/12/2006,
germany,Germany 9Y,2007,ok,252,01/01/2007,31/12/2007,
germany,Germany 9Y,2008,ok,254,01/01/2008,31/12/2008,
germany,Germany 9Y,2009,ok,254,01/01/2009,31/12/2009,
germany,Germany 9Y,2010,ok,256,01/01/2010,31/12/2010,
germany,Germany 9Y,2011,ok,257,01/01/2011,31/12/2011,
germany,Germany 9Y,2012,ok,301,01/01/2012,31/12/2012,
germany,Germany 9Y,2013,ok,307,01/01/2013,31/12/2013,
germany,Germany 9Y,2014,ok,295,01/01/2014,31/12/2014,
germany,Germany 9Y,2015,ok,296,01/01/2015,31/12/2015,
germany,Germany 9Y,2016,ok,314,01/01/2016,31/12/2016,
germany,Germany 9Y,2017,ok,281,01/01/2017,31/12/2017,
germany,Germany 9Y,2018,ok,284,01/01/2018,31/12/2018,
germany,Germany 9Y,2019,ok,302,01/01/2019,31/12/2019,
germany,Germany 9Y,2020,ok,268,01/01/2020,31/12/2020,
germany,Germany 9Y,2021,ok,274,01/01/2021,31/12/2021,
germany,Germany 9Y,2022,ok,268,01/01/2022,31/12/2022,
germany,Germany 9Y,2023,ok,262,01/01/2023,31/12/2023,
germany,Germany 9Y,2024,ok,260,01/01/2024,31/12/2024,
germany,Germany 9Y,2025,ok,255,01/01/2025,31/12/2025,
germany,Germany 9Y,2026,ok,47,01/01/2026,08/03/2026,
germany,Germany 9Y,2026,ok,11,27/02/2026,13/03/2026,2026-03-13 22:52:13
