country,bond_name,year,status,rows,from_date,to_date,error
india,India 24Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download India 24Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download India 24Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2002,failed,0,01/01/2002,31/12/2002,Failed to download India 24Y from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2003,failed,0,01/01/2003,31/12/2003,Failed to download India 24Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2004,failed,0,01/01/2004,31/12/2004,Failed to download India 24Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2005,failed,0,01/01/2005,31/12/2005,Failed to download India 24Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2006,failed,0,01/01/2006,31/12/2006,Failed to download India 24Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2007,failed,0,01/01/2007,31/12/2007,Failed to download India 24Y from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2008,failed,0,01/01/2008,31/12/2008,Failed to download India 24Y from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0069: bond information unavailable or not found.
india,India 24Y,2009,ok,24,01/01/2009,31/12/2009,
india,India 24Y,2010,ok,246,01/01/2010,31/12/2010,
india,India 24Y,2011,ok,240,01/01/2011,31/12/2011,
india,India 24Y,2012,ok,298,01/01/2012,31/12/2012,
india,India 24Y,2013,ok,269,01/01/2013,31/12/2013,
india,India 24Y,2014,ok,242,01/01/2014,31/12/2014,
india,India 24Y,2015,ok,246,01/01/2015,31/12/2015,
india,India 24Y,2016,ok,247,01/01/2016,31/12/2016,
india,India 24Y,2017,ok,246,01/01/2017,31/12/2017,
india,India 24Y,2018,ok,240,01/01/2018,31/12/2018,
india,India 24Y,2019,ok,242,01/01/2019,31/12/2019,
india,India 24Y,2020,ok,245,01/01/2020,31/12/2020,
india,India 24Y,2021,ok,241,01/01/2021,31/12/2021,
india,India 24Y,2022,ok,243,01/01/2022,31/12/2022,
india,India 24Y,2023,ok,242,01/01/2023,31/12/2023,
india,India 24Y,2024,ok,240,01/01/2024,31/12/2024,
india,India 24Y,2025,ok,246,01/01/2025,31/12/2025,
india,India 24Y,2026,ok,49,01/01/2026,10/03/2026,
