Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2002-01-24,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-01-25,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-01-28,6.57,6.57,6.57,6.57,6.57,,india,India 3M
2002-01-29,6.56,6.56,6.56,6.56,6.56,,india,India 3M
2002-01-30,6.58,6.58,6.58,6.58,6.58,,india,India 3M
2002-01-31,6.56,6.56,6.56,6.56,6.56,,india,India 3M
2002-02-01,6.57,6.57,6.57,6.57,6.57,,india,India 3M
2002-02-02,6.55,6.55,6.55,6.55,6.55,,india,India 3M
2002-02-04,6.55,6.55,6.55,6.55,6.55,,india,India 3M
2002-02-05,6.47,6.47,6.47,6.47,6.47,,india,India 3M
2002-02-06,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-02-07,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-02-08,6.4,6.4,6.4,6.4,6.4,,india,India 3M
2002-02-09,6.37,6.37,6.37,6.37,6.37,,india,India 3M
2002-02-11,6.38,6.38,6.38,6.38,6.38,,india,India 3M
2002-02-12,6.37,6.37,6.37,6.37,6.37,,india,India 3M
2002-02-13,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-14,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-15,6.4,6.4,6.4,6.4,6.4,,india,India 3M
2002-02-16,6.27,6.27,6.27,6.27,6.27,,india,India 3M
2002-02-18,6.26,6.26,6.26,6.26,6.26,,india,India 3M
2002-02-19,6.29,6.29,6.29,6.29,6.29,,india,India 3M
2002-02-20,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-21,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-22,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-25,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-02-26,6.27,6.27,6.27,6.27,6.27,,india,India 3M
2002-02-27,6.29,6.29,6.29,6.29,6.29,,india,India 3M
2002-02-28,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-03-02,6.4,6.4,6.4,6.4,6.4,,india,India 3M
2002-03-04,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-03-05,6.25,6.25,6.25,6.25,6.25,,india,India 3M
2002-03-06,6.55,6.55,6.55,6.55,6.55,,india,India 3M
2002-03-07,6.1,6.1,6.1,6.1,6.1,,india,India 3M
2002-03-08,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-03-09,6.07,6.07,6.07,6.07,6.07,,india,India 3M
2002-03-11,6.07,6.07,6.07,6.07,6.07,,india,India 3M
2002-03-13,6.12,6.12,6.12,6.12,6.12,,india,India 3M
2002-03-14,6.12,6.12,6.12,6.12,6.12,,india,India 3M
2002-03-15,6.15,6.15,6.15,6.15,6.15,,india,India 3M
2002-03-16,6.15,6.15,6.15,6.15,6.15,,india,India 3M
2002-03-18,6.15,6.15,6.15,6.15,6.15,,india,India 3M
2002-03-19,6.1,6.1,6.1,6.1,6.1,,india,India 3M
2002-03-20,6.1,6.1,6.1,6.1,6.1,,india,India 3M
2002-03-21,6.08,6.08,6.08,6.08,6.08,,india,India 3M
2002-03-22,6.09,6.09,6.09,6.09,6.09,,india,India 3M
2002-03-23,6.08,6.08,6.08,6.08,6.08,,india,India 3M
2002-03-26,6.09,6.09,6.09,6.09,6.09,,india,India 3M
2002-03-27,6.08,6.08,6.08,6.08,6.08,,india,India 3M
2002-03-28,6.09,6.09,6.09,6.09,6.09,,india,India 3M
2002-03-30,6.08,6.08,6.08,6.08,6.08,,india,India 3M
2002-04-02,6.06,6.06,6.06,6.06,6.06,,india,India 3M
2002-04-03,6.08,6.08,6.08,6.08,6.08,,india,India 3M
2002-04-04,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-04-05,6.04,6.04,6.04,6.04,6.04,,india,India 3M
2002-04-06,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-04-08,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-04-09,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-04-10,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-11,6.07,6.07,6.07,6.07,6.07,,india,India 3M
2002-04-12,6.06,6.06,6.06,6.06,6.06,,india,India 3M
2002-04-15,6.03,6.03,6.03,6.03,6.03,,india,India 3M
2002-04-17,6.07,6.07,6.07,6.07,6.07,,india,India 3M
2002-04-18,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-19,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-20,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-22,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-23,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-24,6.0,6.0,6.0,6.0,6.0,,india,India 3M
2002-04-26,6.01,6.01,6.01,6.01,6.01,,india,India 3M
2002-04-27,6.03,6.03,6.03,6.03,6.03,,india,India 3M
2002-04-29,6.04,6.04,6.04,6.04,6.04,,india,India 3M
2002-04-30,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-05-02,6.22,6.22,6.22,6.22,6.22,,india,India 3M
2002-05-03,6.25,6.25,6.25,6.25,6.25,,india,India 3M
2002-05-04,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-05-06,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-05-07,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-05-08,6.1,6.1,6.1,6.1,6.1,,india,India 3M
2002-05-09,6.37,6.37,6.37,6.37,6.37,,india,India 3M
2002-05-10,6.25,6.25,6.25,6.25,6.25,,india,India 3M
2002-05-11,6.42,6.42,6.42,6.42,6.42,,india,India 3M
2002-05-13,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-05-14,6.5,6.5,6.5,6.5,6.5,,india,India 3M
2002-05-15,6.7,6.7,6.7,6.7,6.7,,india,India 3M
2002-05-16,6.8,6.8,6.8,6.8,6.8,,india,India 3M
2002-05-17,6.75,6.75,6.75,6.75,6.75,,india,India 3M
2002-05-18,6.8,6.8,6.8,6.8,6.8,,india,India 3M
2002-05-20,6.9,6.9,6.9,6.9,6.9,,india,India 3M
2002-05-21,6.95,6.95,6.95,6.95,6.95,,india,India 3M
2002-05-22,6.7,6.7,6.7,6.7,6.7,,india,India 3M
2002-05-23,6.8,6.8,6.8,6.8,6.8,,india,India 3M
2002-05-24,6.8,6.8,6.8,6.8,6.8,,india,India 3M
2002-05-27,6.8,6.8,6.8,6.8,6.8,,india,India 3M
2002-05-28,6.75,6.75,6.75,6.75,6.75,,india,India 3M
2002-05-29,6.75,6.75,6.75,6.75,6.75,,india,India 3M
2002-05-30,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-05-31,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-06-01,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-06-03,6.6,6.6,6.6,6.6,6.6,,india,India 3M
2002-06-04,6.55,6.55,6.55,6.55,6.55,,india,India 3M
2002-06-05,6.4,6.4,6.4,6.4,6.4,,india,India 3M
2002-06-06,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-06-07,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-06-08,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-06-10,6.3,6.3,6.3,6.3,6.3,,india,India 3M
2002-06-11,6.35,6.35,6.35,6.35,6.35,,india,India 3M
2002-06-12,6.35,6.35,6.35,6.35,6.35,,india,India 3M
2002-06-13,6.36,6.36,6.36,6.36,6.36,,india,India 3M
2002-06-14,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-06-15,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-06-17,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-06-18,6.43,6.43,6.43,6.43,6.43,,india,India 3M
2002-06-19,6.44,6.44,6.44,6.44,6.44,,india,India 3M
2002-06-20,6.42,6.42,6.42,6.42,6.42,,india,India 3M
2002-06-21,6.45,6.45,6.45,6.45,6.45,,india,India 3M
2002-06-22,6.39,6.39,6.39,6.39,6.39,,india,India 3M
2002-06-24,6.4,6.4,6.4,6.4,6.4,,india,India 3M
2002-06-25,6.37,6.37,6.37,6.37,6.37,,india,India 3M
2002-06-26,6.19,6.19,6.19,6.19,6.19,,india,India 3M
2002-06-27,6.05,6.05,6.05,6.05,6.05,,india,India 3M
2002-06-28,5.9,5.9,5.9,5.9,5.9,,india,India 3M
2002-07-01,5.88,5.88,5.88,5.88,5.88,,india,India 3M
2002-07-02,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-03,5.9,5.9,5.9,5.9,5.9,,india,India 3M
2002-07-04,5.9,5.9,5.9,5.9,5.9,,india,India 3M
2002-07-05,5.9,5.9,5.9,5.9,5.9,,india,India 3M
2002-07-06,5.88,5.88,5.88,5.88,5.88,,india,India 3M
2002-07-08,5.82,5.82,5.82,5.82,5.82,,india,India 3M
2002-07-09,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-10,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-07-11,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-07-12,5.74,5.74,5.74,5.74,5.74,,india,India 3M
2002-07-13,5.8,5.8,5.8,5.8,5.8,,india,India 3M
2002-07-15,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-16,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-17,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-18,5.87,5.87,5.87,5.87,5.87,,india,India 3M
2002-07-19,5.84,5.84,5.84,5.84,5.84,,india,India 3M
2002-07-20,5.93,5.93,5.93,5.93,5.93,,india,India 3M
2002-07-22,5.94,5.94,5.94,5.94,5.94,,india,India 3M
2002-07-23,5.93,5.93,5.93,5.93,5.93,,india,India 3M
2002-07-24,5.94,5.94,5.94,5.94,5.94,,india,India 3M
2002-07-25,5.9,5.9,5.9,5.9,5.9,,india,India 3M
2002-07-26,5.87,5.87,5.87,5.87,5.87,,india,India 3M
2002-07-27,5.8,5.8,5.8,5.8,5.8,,india,India 3M
2002-07-29,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-30,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-07-31,5.87,5.87,5.87,5.87,5.87,,india,India 3M
2002-08-01,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-02,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-03,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-05,5.84,5.84,5.84,5.84,5.84,,india,India 3M
2002-08-06,5.84,5.84,5.84,5.84,5.84,,india,India 3M
2002-08-07,5.84,5.84,5.84,5.84,5.84,,india,India 3M
2002-08-08,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-09,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-10,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-12,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-13,5.8,5.8,5.8,5.8,5.8,,india,India 3M
2002-08-14,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-16,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-17,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-19,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-20,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-21,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-22,5.87,5.87,5.87,5.87,5.87,,india,India 3M
2002-08-23,5.86,5.86,5.86,5.86,5.86,,india,India 3M
2002-08-24,5.85,5.85,5.85,5.85,5.85,,india,India 3M
2002-08-26,5.84,5.84,5.84,5.84,5.84,,india,India 3M
2002-08-27,5.82,5.82,5.82,5.82,5.82,,india,India 3M
2002-08-28,5.83,5.83,5.83,5.83,5.83,,india,India 3M
2002-08-29,5.78,5.78,5.78,5.78,5.78,,india,India 3M
2002-08-30,5.78,5.78,5.78,5.78,5.78,,india,India 3M
2002-08-31,5.78,5.78,5.78,5.78,5.78,,india,India 3M
2002-09-02,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-03,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-04,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-05,5.72,5.72,5.72,5.72,5.72,,india,India 3M
2002-09-06,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-07,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-09,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-11,5.72,5.72,5.72,5.72,5.72,,india,India 3M
2002-09-12,5.74,5.74,5.74,5.74,5.74,,india,India 3M
2002-09-13,5.74,5.74,5.74,5.74,5.74,,india,India 3M
2002-09-14,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-16,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-17,5.76,5.76,5.76,5.76,5.76,,india,India 3M
2002-09-18,5.75,5.75,5.75,5.75,5.75,,india,India 3M
2002-09-19,5.78,5.78,5.78,5.78,5.78,,india,India 3M
2002-09-20,5.78,5.78,5.78,5.78,5.78,,india,India 3M
2002-09-21,5.79,5.79,5.79,5.79,5.79,,india,India 3M
2002-09-23,5.8,5.8,5.8,5.8,5.8,,india,India 3M
2002-09-24,5.79,5.79,5.79,5.79,5.79,,india,India 3M
2002-09-25,5.8,5.8,5.8,5.8,5.8,,india,India 3M
