country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
india,India 3M,2000,failed,0,01/01/2000,31/12/2000,Failed to download India 3M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
india,India 3M,2001,failed,0,01/01/2001,31/12/2001,Failed to download India 3M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.,
india,India 3M,2002,ok,270,01/01/2002,31/12/2002,,
india,India 3M,2003,ok,291,01/01/2003,31/12/2003,,
india,India 3M,2004,ok,292,01/01/2004,31/12/2004,,
india,India 3M,2005,ok,280,01/01/2005,31/12/2005,,
india,India 3M,2006,ok,246,01/01/2006,31/12/2006,,
india,India 3M,2007,ok,245,01/01/2007,31/12/2007,,
india,India 3M,2008,ok,241,01/01/2008,31/12/2008,,
india,India 3M,2009,ok,237,01/01/2009,31/12/2009,,
india,India 3M,2010,ok,246,01/01/2010,31/12/2010,,
india,India 3M,2011,ok,232,01/01/2011,31/12/2011,,
india,India 3M,2012,ok,298,01/01/2012,31/12/2012,,
india,India 3M,2013,ok,276,01/01/2013,31/12/2013,,
india,India 3M,2014,ok,247,01/01/2014,31/12/2014,,
india,India 3M,2015,ok,256,01/01/2015,31/12/2015,,
india,India 3M,2016,ok,257,01/01/2016,31/12/2016,,
india,India 3M,2017,ok,254,01/01/2017,31/12/2017,,
india,India 3M,2018,ok,245,01/01/2018,31/12/2018,,
india,India 3M,2019,ok,242,01/01/2019,31/12/2019,,
india,India 3M,2020,ok,245,01/01/2020,31/12/2020,,
india,India 3M,2021,ok,241,01/01/2021,31/12/2021,,
india,India 3M,2022,ok,243,01/01/2022,31/12/2022,,
india,India 3M,2023,ok,242,01/01/2023,31/12/2023,,
india,India 3M,2024,ok,240,01/01/2024,31/12/2024,,
india,India 3M,2025,ok,247,01/01/2025,31/12/2025,,
india,India 3M,2026,ok,49,01/01/2026,10/03/2026,,
india,India 3M,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:52:47
