Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2012-10-19,4.531,4.531,4.531,4.531,4.531,,indonesia,Indonesia 1M
2012-10-22,4.024,4.024,4.024,4.024,4.024,,indonesia,Indonesia 1M
2012-10-23,4.043,4.043,4.043,4.043,4.043,,indonesia,Indonesia 1M
2012-10-24,4.064,4.064,4.064,4.064,4.064,,indonesia,Indonesia 1M
2012-10-25,4.701,4.701,4.701,4.701,4.701,,indonesia,Indonesia 1M
2012-10-31,3.654,3.654,3.654,3.654,3.654,,indonesia,Indonesia 1M
2012-11-01,3.654,3.654,3.654,3.654,3.654,,indonesia,Indonesia 1M
2012-11-02,4.459,4.459,4.459,4.459,4.459,,indonesia,Indonesia 1M
2012-11-05,4.174,4.174,4.174,4.174,4.174,,indonesia,Indonesia 1M
2012-11-06,4.188,4.188,4.188,4.188,4.188,,indonesia,Indonesia 1M
2012-11-07,4.311,4.311,4.203,4.203,4.203,,indonesia,Indonesia 1M
2012-11-08,4.219,4.219,3.996,3.996,3.996,,indonesia,Indonesia 1M
2012-11-09,4.396,4.396,4.273,4.273,4.273,,indonesia,Indonesia 1M
2012-11-12,3.914,3.914,3.914,3.914,3.914,,indonesia,Indonesia 1M
2012-11-13,3.922,3.922,3.922,3.922,3.922,,indonesia,Indonesia 1M
2012-11-14,4.616,4.616,4.616,4.616,4.616,,indonesia,Indonesia 1M
2012-11-19,3.825,3.825,3.825,3.825,3.825,,indonesia,Indonesia 1M
2012-11-20,3.832,3.832,3.832,3.832,3.832,,indonesia,Indonesia 1M
2012-11-21,3.841,3.841,3.841,3.841,3.841,,indonesia,Indonesia 1M
2012-11-22,3.85,3.85,3.85,3.85,3.85,,indonesia,Indonesia 1M
2012-11-23,4.343,4.343,4.343,4.343,4.343,,indonesia,Indonesia 1M
2012-11-26,3.655,3.655,3.655,3.655,3.655,,indonesia,Indonesia 1M
2012-11-27,3.655,3.917,3.655,3.655,3.655,,indonesia,Indonesia 1M
2012-11-28,3.655,3.655,3.655,3.655,3.655,,indonesia,Indonesia 1M
2012-11-29,3.654,3.654,3.654,3.654,3.654,,indonesia,Indonesia 1M
2012-11-30,4.293,4.293,4.293,4.293,4.293,,indonesia,Indonesia 1M
2012-12-03,3.987,3.987,3.987,3.987,3.987,,indonesia,Indonesia 1M
2012-12-04,3.996,3.996,3.996,3.996,3.996,,indonesia,Indonesia 1M
2012-12-05,4.006,4.006,4.006,4.006,4.006,,indonesia,Indonesia 1M
2012-12-06,4.017,4.017,4.017,4.017,4.017,,indonesia,Indonesia 1M
2012-12-07,4.185,4.185,4.185,4.185,4.185,,indonesia,Indonesia 1M
2012-12-10,3.932,3.932,3.932,3.932,3.932,,indonesia,Indonesia 1M
2012-12-11,3.942,3.942,3.942,3.942,3.942,,indonesia,Indonesia 1M
2012-12-12,3.953,3.953,3.953,3.953,3.953,,indonesia,Indonesia 1M
2012-12-13,3.964,3.964,3.964,3.964,3.964,,indonesia,Indonesia 1M
2012-12-14,4.181,4.181,4.181,4.181,4.181,,indonesia,Indonesia 1M
2012-12-17,3.841,3.841,3.841,3.841,3.841,,indonesia,Indonesia 1M
2012-12-18,3.85,3.85,3.85,3.85,3.85,,indonesia,Indonesia 1M
2012-12-19,3.86,3.86,3.86,3.86,3.86,,indonesia,Indonesia 1M
2012-12-20,3.656,3.656,3.656,3.656,3.656,,indonesia,Indonesia 1M
2012-12-21,4.874,4.874,4.874,4.874,4.874,,indonesia,Indonesia 1M
2013-01-02,3.97,3.97,3.97,3.97,3.97,,indonesia,Indonesia 1M
2013-01-03,4.083,4.083,3.978,3.978,3.978,,indonesia,Indonesia 1M
2013-01-04,4.236,4.236,4.236,4.236,4.236,,indonesia,Indonesia 1M
2013-01-07,4.017,4.088,4.017,4.017,4.017,,indonesia,Indonesia 1M
2013-01-08,3.906,3.906,3.906,3.906,3.906,,indonesia,Indonesia 1M
2013-01-09,3.914,3.914,3.914,3.914,3.914,,indonesia,Indonesia 1M
2013-01-10,4.054,4.119,3.922,3.922,3.922,,indonesia,Indonesia 1M
2013-01-11,4.246,4.246,4.246,4.246,4.246,,indonesia,Indonesia 1M
2013-01-14,3.964,4.041,3.964,3.964,3.964,,indonesia,Indonesia 1M
2013-01-15,3.818,3.818,3.818,3.818,3.818,,indonesia,Indonesia 1M
2013-01-16,3.825,3.825,3.825,3.825,3.825,,indonesia,Indonesia 1M
2013-01-17,3.832,3.832,3.832,3.832,3.832,,indonesia,Indonesia 1M
2013-01-18,4.267,4.267,4.267,4.267,4.267,,indonesia,Indonesia 1M
2013-01-21,3.656,3.721,3.656,3.656,3.656,,indonesia,Indonesia 1M
2013-01-22,3.656,3.656,3.656,3.656,3.656,,indonesia,Indonesia 1M
2013-01-23,3.655,3.655,3.655,3.655,3.655,,indonesia,Indonesia 1M
2013-01-25,4.319,4.386,4.319,4.319,4.319,,indonesia,Indonesia 1M
2013-01-28,4.385,4.385,4.385,4.385,4.385,,indonesia,Indonesia 1M
2013-01-29,4.466,4.466,4.466,4.466,4.466,,indonesia,Indonesia 1M
2013-01-30,4.521,4.521,4.521,4.521,4.521,,indonesia,Indonesia 1M
2013-01-31,3.13,3.13,3.13,4.593,4.593,,indonesia,Indonesia 1M
2013-02-01,4.565,4.565,4.565,4.565,4.565,,indonesia,Indonesia 1M
2013-02-04,4.625,4.625,4.625,4.503,4.503,,indonesia,Indonesia 1M
2013-02-05,6.207,6.207,6.207,6.207,6.207,,indonesia,Indonesia 1M
2013-02-06,4.38,4.38,4.38,4.38,4.38,,indonesia,Indonesia 1M
2013-02-07,4.38,4.38,4.38,4.38,4.38,,indonesia,Indonesia 1M
2013-02-12,4.325,4.325,4.325,4.325,4.325,,indonesia,Indonesia 1M
2013-02-13,4.007,4.706,4.007,4.356,4.356,,indonesia,Indonesia 1M
2013-02-14,4.024,4.207,4.024,4.207,4.207,,indonesia,Indonesia 1M
2013-02-15,4.518,4.734,4.518,4.734,4.734,,indonesia,Indonesia 1M
2013-02-18,3.885,4.114,3.198,4.114,4.114,,indonesia,Indonesia 1M
2013-02-19,3.9,4.144,3.9,4.144,4.144,,indonesia,Indonesia 1M
2013-02-20,3.917,4.178,3.917,4.178,4.178,,indonesia,Indonesia 1M
2013-02-21,3.936,4.218,3.936,4.218,4.218,,indonesia,Indonesia 1M
2013-02-22,4.751,5.117,4.751,5.117,5.117,,indonesia,Indonesia 1M
2013-02-25,3.653,4.06,3.653,4.06,4.06,,indonesia,Indonesia 1M
2013-02-26,4.11,4.11,4.11,4.11,4.11,,indonesia,Indonesia 1M
2013-02-27,4.697,4.697,4.697,4.697,4.697,,indonesia,Indonesia 1M
2013-02-28,3.652,3.652,3.652,3.652,3.652,,indonesia,Indonesia 1M
2013-03-01,6.086,6.086,6.086,6.086,6.086,,indonesia,Indonesia 1M
2013-03-04,4.151,4.396,4.151,4.396,4.396,,indonesia,Indonesia 1M
2013-03-05,4.041,4.294,4.041,4.294,4.294,,indonesia,Indonesia 1M
2013-03-06,4.185,4.316,4.054,4.316,4.316,,indonesia,Indonesia 1M
2013-03-07,4.068,4.34,4.068,4.34,4.34,,indonesia,Indonesia 1M
2013-03-08,4.423,4.729,4.423,4.729,4.729,,indonesia,Indonesia 1M
2013-03-11,4.137,4.296,4.137,4.296,4.296,,indonesia,Indonesia 1M
2013-03-13,4.007,4.356,4.007,4.356,4.356,,indonesia,Indonesia 1M
2013-03-14,4.024,4.207,4.024,4.207,4.207,,indonesia,Indonesia 1M
2013-03-15,4.518,4.734,4.518,4.734,4.734,,indonesia,Indonesia 1M
2013-03-18,4.5,4.5,4.5,4.5,4.5,,indonesia,Indonesia 1M
2013-03-19,4.25,4.25,4.25,4.5,4.5,,indonesia,Indonesia 1M
2013-03-20,3.917,4.178,3.917,4.178,4.178,,indonesia,Indonesia 1M
2013-03-21,3.936,4.218,3.936,4.218,4.218,,indonesia,Indonesia 1M
2013-03-22,4.751,5.117,4.751,4.751,4.751,,indonesia,Indonesia 1M
2013-03-25,4.06,4.06,4.06,4.06,4.06,,indonesia,Indonesia 1M
2013-03-26,4.11,4.11,4.11,4.11,4.11,,indonesia,Indonesia 1M
2013-03-28,7.304,7.304,7.304,7.304,7.304,,indonesia,Indonesia 1M
2013-04-01,4.396,4.396,4.396,4.396,4.396,,indonesia,Indonesia 1M
2013-04-02,4.294,4.294,4.294,4.294,4.294,,indonesia,Indonesia 1M
2013-04-03,4.316,4.316,4.316,4.316,4.316,,indonesia,Indonesia 1M
2013-04-04,4.34,4.34,4.34,4.34,4.34,,indonesia,Indonesia 1M
2013-04-05,4.729,4.729,4.729,4.729,4.729,,indonesia,Indonesia 1M
2013-04-08,4.296,4.296,4.296,4.296,4.296,,indonesia,Indonesia 1M
2013-04-09,4.325,4.325,4.325,4.325,4.325,,indonesia,Indonesia 1M
2013-04-10,4.356,4.356,4.356,4.356,4.356,,indonesia,Indonesia 1M
2013-04-11,4.207,4.207,4.207,4.207,4.207,,indonesia,Indonesia 1M
2013-04-12,4.734,4.734,4.734,4.734,4.734,,indonesia,Indonesia 1M
2013-04-15,4.114,4.114,4.114,4.114,4.114,,indonesia,Indonesia 1M
2013-04-16,4.144,4.144,4.144,4.144,4.144,,indonesia,Indonesia 1M
2013-04-17,4.178,4.178,4.178,4.178,4.178,,indonesia,Indonesia 1M
2013-04-18,4.218,4.218,4.218,4.218,4.218,,indonesia,Indonesia 1M
2013-04-19,5.117,5.117,5.117,5.117,5.117,,indonesia,Indonesia 1M
2013-04-22,4.06,4.06,4.06,4.06,4.06,,indonesia,Indonesia 1M
2013-04-23,4.11,4.11,4.11,4.11,4.11,,indonesia,Indonesia 1M
2013-04-25,3.652,3.652,3.652,3.652,3.652,,indonesia,Indonesia 1M
2013-04-26,6.086,6.086,6.086,6.086,6.086,,indonesia,Indonesia 1M
2013-05-01,4.437,4.437,4.437,4.437,4.437,,indonesia,Indonesia 1M
2013-05-02,4.367,4.367,4.367,4.367,4.367,,indonesia,Indonesia 1M
2013-05-03,4.609,4.609,4.609,4.609,4.609,,indonesia,Indonesia 1M
2013-05-06,4.342,4.342,4.342,4.342,4.342,,indonesia,Indonesia 1M
2013-05-07,4.36,4.36,4.36,4.36,4.36,,indonesia,Indonesia 1M
2013-05-08,4.504,4.504,4.504,4.504,4.504,,indonesia,Indonesia 1M
2013-05-10,4.696,4.696,4.696,4.696,4.696,,indonesia,Indonesia 1M
2013-05-13,4.373,4.373,4.373,4.373,4.373,,indonesia,Indonesia 1M
2013-05-14,4.396,4.396,4.396,4.396,4.396,,indonesia,Indonesia 1M
2013-05-15,4.294,4.294,4.294,4.294,4.294,,indonesia,Indonesia 1M
2013-05-16,4.316,4.316,4.316,4.316,4.316,,indonesia,Indonesia 1M
2013-05-17,4.687,4.687,4.687,4.687,4.687,,indonesia,Indonesia 1M
2013-05-20,4.27,4.27,4.27,4.27,4.27,,indonesia,Indonesia 1M
2013-05-21,4.296,4.296,4.296,4.296,4.296,,indonesia,Indonesia 1M
2013-05-22,4.325,4.325,4.325,4.325,4.325,,indonesia,Indonesia 1M
2013-05-23,4.356,4.356,4.356,4.356,4.356,,indonesia,Indonesia 1M
2013-05-24,4.675,4.675,4.675,4.675,4.675,,indonesia,Indonesia 1M
2013-05-27,4.303,4.303,4.303,4.303,4.303,,indonesia,Indonesia 1M
2013-05-28,4.114,4.114,4.114,4.114,4.114,,indonesia,Indonesia 1M
2013-05-29,4.114,4.144,4.114,4.144,4.144,,indonesia,Indonesia 1M
2013-05-30,4.178,4.178,4.178,4.178,4.178,,indonesia,Indonesia 1M
2013-05-31,4.985,4.985,4.985,4.985,4.985,,indonesia,Indonesia 1M
2013-06-03,4.941,4.941,4.941,4.941,4.941,,indonesia,Indonesia 1M
2013-06-21,4.572,4.572,4.572,4.572,4.572,,indonesia,Indonesia 1M
2013-06-24,4.436,4.436,4.436,4.436,4.436,,indonesia,Indonesia 1M
2013-06-25,4.373,4.373,4.373,4.373,4.373,,indonesia,Indonesia 1M
2013-06-26,4.388,4.388,4.388,4.388,4.388,,indonesia,Indonesia 1M
2013-06-27,4.404,4.404,4.404,4.404,4.404,,indonesia,Indonesia 1M
2013-06-28,4.63,4.63,4.63,4.63,4.63,,indonesia,Indonesia 1M
2013-07-01,4.384,4.384,4.384,4.384,4.384,,indonesia,Indonesia 1M
2013-07-02,4.401,4.401,4.401,4.401,4.401,,indonesia,Indonesia 1M
2013-07-03,4.419,4.419,4.419,4.419,4.419,,indonesia,Indonesia 1M
2013-07-04,4.342,4.342,4.342,4.342,4.342,,indonesia,Indonesia 1M
2013-07-05,4.609,5.135,4.609,4.609,4.609,,indonesia,Indonesia 1M
2013-07-08,4.853,4.853,4.42,4.853,4.853,,indonesia,Indonesia 1M
2013-07-09,4.331,4.888,4.331,4.888,4.888,,indonesia,Indonesia 1M
2013-07-10,4.351,4.811,4.351,4.351,4.351,,indonesia,Indonesia 1M
2013-07-11,4.847,4.847,4.373,4.847,4.847,,indonesia,Indonesia 1M
2013-07-12,5.235,5.235,4.71,4.71,4.71,,indonesia,Indonesia 1M
2013-07-15,4.748,4.748,4.34,4.34,4.34,,indonesia,Indonesia 1M
2013-07-16,4.789,4.789,4.365,4.365,4.365,,indonesia,Indonesia 1M
2013-07-17,4.393,4.834,4.393,4.393,4.393,,indonesia,Indonesia 1M
2013-07-18,4.729,4.729,4.27,4.27,4.27,,indonesia,Indonesia 1M
2013-07-19,5.23,5.755,4.706,4.706,4.706,,indonesia,Indonesia 1M
2013-07-22,4.941,4.941,4.207,4.207,4.207,,indonesia,Indonesia 1M
2013-07-23,5.008,5.008,4.236,4.236,4.236,,indonesia,Indonesia 1M
2013-07-24,4.878,4.878,4.267,4.267,4.267,,indonesia,Indonesia 1M
2013-07-25,4.95,4.95,4.303,4.303,4.303,,indonesia,Indonesia 1M
2013-07-26,4.701,5.748,4.701,4.701,4.701,,indonesia,Indonesia 1M
2013-07-29,4.781,4.781,4.218,4.218,4.218,,indonesia,Indonesia 1M
