Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2007-06-14,9.843,9.843,9.843,9.843,9.843,,indonesia,Indonesia 30Y
2007-06-15,9.843,9.843,9.843,9.843,9.843,,indonesia,Indonesia 30Y
2007-06-18,9.775,9.775,9.775,9.775,9.775,,indonesia,Indonesia 30Y
2007-06-19,9.698,9.698,9.698,9.698,9.698,,indonesia,Indonesia 30Y
2007-06-20,9.698,9.698,9.698,9.698,9.698,,indonesia,Indonesia 30Y
2007-06-21,9.636,9.636,9.636,9.636,9.636,,indonesia,Indonesia 30Y
2007-06-22,9.646,9.646,9.646,9.646,9.646,,indonesia,Indonesia 30Y
2007-06-25,9.646,9.646,9.646,9.646,9.646,,indonesia,Indonesia 30Y
2007-06-26,9.687,9.687,9.687,9.687,9.687,,indonesia,Indonesia 30Y
2007-06-27,9.672,9.672,9.672,9.672,9.672,,indonesia,Indonesia 30Y
2007-06-28,9.697,9.697,9.697,9.697,9.697,,indonesia,Indonesia 30Y
2007-06-29,9.723,9.723,9.723,9.723,9.723,,indonesia,Indonesia 30Y
2007-07-02,9.723,9.723,9.723,9.723,9.723,,indonesia,Indonesia 30Y
2007-07-03,9.723,9.723,9.723,9.723,9.723,,indonesia,Indonesia 30Y
2007-07-04,9.723,9.723,9.723,9.723,9.723,,indonesia,Indonesia 30Y
2007-07-05,9.723,9.723,9.723,9.723,9.723,,indonesia,Indonesia 30Y
2007-07-06,9.722,9.722,9.722,9.722,9.722,,indonesia,Indonesia 30Y
2007-07-09,9.728,9.728,9.728,9.728,9.728,,indonesia,Indonesia 30Y
2007-07-10,9.748,9.748,9.748,9.748,9.748,,indonesia,Indonesia 30Y
2007-07-11,9.748,9.748,9.748,9.748,9.748,,indonesia,Indonesia 30Y
2007-07-12,9.779,9.779,9.779,9.779,9.779,,indonesia,Indonesia 30Y
2007-07-13,9.774,9.774,9.774,9.774,9.774,,indonesia,Indonesia 30Y
2007-07-16,9.774,9.774,9.774,9.774,9.774,,indonesia,Indonesia 30Y
2007-07-17,9.826,9.826,9.826,9.826,9.826,,indonesia,Indonesia 30Y
2007-07-18,9.879,9.879,9.879,9.879,9.879,,indonesia,Indonesia 30Y
2007-07-19,9.852,9.852,9.852,9.852,9.852,,indonesia,Indonesia 30Y
2007-07-20,9.873,9.873,9.873,9.873,9.873,,indonesia,Indonesia 30Y
2007-07-23,9.868,9.868,9.868,9.868,9.868,,indonesia,Indonesia 30Y
2007-07-24,9.873,9.873,9.873,9.873,9.873,,indonesia,Indonesia 30Y
2007-07-25,9.829,9.829,9.829,9.829,9.829,,indonesia,Indonesia 30Y
2007-07-26,9.829,9.829,9.829,9.829,9.829,,indonesia,Indonesia 30Y
2007-07-27,9.852,9.852,9.852,9.852,9.852,,indonesia,Indonesia 30Y
2007-07-30,9.84,9.84,9.84,9.84,9.84,,indonesia,Indonesia 30Y
2007-07-31,9.84,9.84,9.84,9.84,9.84,,indonesia,Indonesia 30Y
2007-08-06,9.84,9.84,9.84,9.84,9.84,,indonesia,Indonesia 30Y
2007-09-03,9.932,9.932,9.932,9.932,9.932,,indonesia,Indonesia 30Y
2007-09-04,10.289,10.289,10.289,10.289,10.289,,indonesia,Indonesia 30Y
2007-09-05,10.268,10.268,10.268,10.268,10.268,,indonesia,Indonesia 30Y
2007-09-06,10.289,10.289,10.289,10.289,10.289,,indonesia,Indonesia 30Y
2007-09-07,10.268,10.268,10.268,10.268,10.268,,indonesia,Indonesia 30Y
2007-09-10,10.332,10.332,10.332,10.332,10.332,,indonesia,Indonesia 30Y
2007-09-11,10.29,10.29,10.29,10.29,10.29,,indonesia,Indonesia 30Y
2007-09-12,10.267,10.267,10.267,10.267,10.267,,indonesia,Indonesia 30Y
2007-09-13,10.267,10.267,10.267,10.267,10.267,,indonesia,Indonesia 30Y
2007-09-14,10.29,10.29,10.29,10.29,10.29,,indonesia,Indonesia 30Y
2007-09-17,10.233,10.233,10.233,10.233,10.233,,indonesia,Indonesia 30Y
2007-09-18,10.192,10.192,10.192,10.192,10.192,,indonesia,Indonesia 30Y
2007-09-19,10.189,10.189,10.189,10.189,10.189,,indonesia,Indonesia 30Y
2007-09-20,10.05,10.05,10.05,10.05,10.05,,indonesia,Indonesia 30Y
2007-09-21,9.938,9.938,9.938,9.938,9.938,,indonesia,Indonesia 30Y
2007-09-24,9.97,9.97,9.97,9.97,9.97,,indonesia,Indonesia 30Y
2007-09-25,9.897,9.897,9.897,9.897,9.897,,indonesia,Indonesia 30Y
2007-09-26,9.906,9.906,9.906,9.906,9.906,,indonesia,Indonesia 30Y
2007-09-27,9.904,9.904,9.904,9.904,9.904,,indonesia,Indonesia 30Y
2007-09-28,9.906,9.906,9.906,9.906,9.906,,indonesia,Indonesia 30Y
2007-10-01,9.906,9.906,9.906,9.906,9.906,,indonesia,Indonesia 30Y
2007-10-02,9.954,9.954,9.954,9.954,9.954,,indonesia,Indonesia 30Y
2007-10-03,9.954,9.954,9.954,9.954,9.954,,indonesia,Indonesia 30Y
2007-10-04,9.947,9.947,9.947,9.947,9.947,,indonesia,Indonesia 30Y
2007-10-05,9.938,9.938,9.938,9.938,9.938,,indonesia,Indonesia 30Y
2007-10-08,9.948,9.948,9.948,9.948,9.948,,indonesia,Indonesia 30Y
2007-10-09,9.922,9.922,9.922,9.922,9.922,,indonesia,Indonesia 30Y
2007-10-10,9.938,9.938,9.938,9.938,9.938,,indonesia,Indonesia 30Y
2007-10-11,9.944,9.944,9.944,9.944,9.944,,indonesia,Indonesia 30Y
2007-10-17,9.898,9.898,9.898,9.898,9.898,,indonesia,Indonesia 30Y
2007-10-18,9.938,9.938,9.938,9.938,9.938,,indonesia,Indonesia 30Y
2007-10-19,9.933,9.933,9.933,9.933,9.933,,indonesia,Indonesia 30Y
2007-10-22,9.933,9.933,9.933,9.933,9.933,,indonesia,Indonesia 30Y
2007-10-23,9.944,9.944,9.944,9.944,9.944,,indonesia,Indonesia 30Y
2007-10-24,10.016,10.016,10.016,10.016,10.016,,indonesia,Indonesia 30Y
2007-10-25,10.117,10.117,10.117,10.117,10.117,,indonesia,Indonesia 30Y
2007-10-26,10.227,10.227,10.227,10.227,10.227,,indonesia,Indonesia 30Y
2007-10-29,10.227,10.227,10.227,10.227,10.227,,indonesia,Indonesia 30Y
2007-10-30,10.21,10.21,10.21,10.21,10.21,,indonesia,Indonesia 30Y
2007-10-31,9.939,9.939,9.939,9.939,9.939,,indonesia,Indonesia 30Y
2007-11-01,10.243,10.243,10.243,10.243,10.243,,indonesia,Indonesia 30Y
2007-11-02,10.198,10.198,10.198,10.198,10.198,,indonesia,Indonesia 30Y
2007-11-05,10.219,10.219,10.219,10.219,10.219,,indonesia,Indonesia 30Y
2007-11-06,10.267,10.267,10.267,10.267,10.267,,indonesia,Indonesia 30Y
2007-11-07,10.33,10.33,10.33,10.33,10.33,,indonesia,Indonesia 30Y
2007-11-08,10.33,10.33,10.33,10.33,10.33,,indonesia,Indonesia 30Y
2007-11-09,10.643,10.643,10.643,10.643,10.643,,indonesia,Indonesia 30Y
2007-11-12,10.643,10.643,10.643,10.643,10.643,,indonesia,Indonesia 30Y
2007-11-13,10.643,10.643,10.643,10.643,10.643,,indonesia,Indonesia 30Y
2007-11-14,10.705,10.705,10.705,10.705,10.705,,indonesia,Indonesia 30Y
2007-11-15,10.595,10.595,10.595,10.595,10.595,,indonesia,Indonesia 30Y
2007-11-16,10.643,10.643,10.643,10.643,10.643,,indonesia,Indonesia 30Y
2007-11-19,11.015,11.015,11.015,11.015,11.015,,indonesia,Indonesia 30Y
