country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
japan,Japan 10Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download Japan 10Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download Japan 10Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2002,failed,0,01/01/2002,31/12/2002,Failed to download Japan 10Y from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2003,failed,0,01/01/2003,31/12/2003,Failed to download Japan 10Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2004,failed,0,01/01/2004,31/12/2004,Failed to download Japan 10Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2005,failed,0,01/01/2005,31/12/2005,Failed to download Japan 10Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 10Y,2006,ok,225,01/01/2006,31/12/2006,,
japan,Japan 10Y,2007,ok,245,01/01/2007,31/12/2007,,
japan,Japan 10Y,2008,ok,245,01/01/2008,31/12/2008,,
japan,Japan 10Y,2009,ok,243,01/01/2009,31/12/2009,,
japan,Japan 10Y,2010,ok,245,01/01/2010,31/12/2010,,
japan,Japan 10Y,2011,ok,245,01/01/2011,31/12/2011,,
japan,Japan 10Y,2012,ok,248,01/01/2012,31/12/2012,,
japan,Japan 10Y,2013,ok,286,01/01/2013,31/12/2013,,
japan,Japan 10Y,2014,ok,267,01/01/2014,31/12/2014,,
japan,Japan 10Y,2015,ok,255,01/01/2015,31/12/2015,,
japan,Japan 10Y,2016,ok,255,01/01/2016,31/12/2016,,
japan,Japan 10Y,2017,ok,293,01/01/2017,31/12/2017,,
japan,Japan 10Y,2018,ok,298,01/01/2018,31/12/2018,,
japan,Japan 10Y,2019,ok,295,01/01/2019,31/12/2019,,
japan,Japan 10Y,2020,ok,295,01/01/2020,31/12/2020,,
japan,Japan 10Y,2021,ok,302,01/01/2021,31/12/2021,,
japan,Japan 10Y,2022,ok,301,01/01/2022,31/12/2022,,
japan,Japan 10Y,2023,ok,300,01/01/2023,31/12/2023,,
japan,Japan 10Y,2024,ok,288,01/01/2024,31/12/2024,,
japan,Japan 10Y,2025,ok,253,01/01/2025,31/12/2025,,
japan,Japan 10Y,2026,ok,49,01/01/2026,10/03/2026,,
japan,Japan 10Y,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:53:18
