country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
japan,Japan 1M,2000,failed,0,01/01/2000,31/12/2000,Failed to download Japan 1M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 1M,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Japan 1M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2002,failed,0,01/01/2002,31/12/2002,Failed to download Japan 1M from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 1M,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Japan 1M from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Japan 1M from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Japan 1M from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2006,failed,0,01/01/2006,31/12/2006,"Failed to download Japan 1M from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2007,failed,0,01/01/2007,31/12/2007,Failed to download Japan 1M from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 1M,2008,failed,0,01/01/2008,31/12/2008,"Failed to download Japan 1M from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2009,failed,0,01/01/2009,31/12/2009,"Failed to download Japan 1M from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0015: error 403, try again later.",
japan,Japan 1M,2010,failed,0,01/01/2010,31/12/2010,Failed to download Japan 1M from 01/01/2010 to 31/12/2010 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 1M,2011,failed,0,01/01/2011,31/12/2011,Failed to download Japan 1M from 01/01/2011 to 31/12/2011 after 60 attempts: ERR#0069: bond information unavailable or not found.,
japan,Japan 1M,2012,ok,81,01/01/2012,31/12/2012,,
japan,Japan 1M,2013,ok,254,01/01/2013,31/12/2013,,
japan,Japan 1M,2014,ok,255,01/01/2014,31/12/2014,,
japan,Japan 1M,2015,ok,240,01/01/2015,31/12/2015,,
japan,Japan 1M,2016,ok,242,01/01/2016,31/12/2016,,
japan,Japan 1M,2017,ok,259,01/01/2017,31/12/2017,,
japan,Japan 1M,2018,ok,293,01/01/2018,31/12/2018,,
japan,Japan 1M,2019,ok,291,01/01/2019,31/12/2019,,
japan,Japan 1M,2020,ok,296,01/01/2020,31/12/2020,,
japan,Japan 1M,2021,ok,299,01/01/2021,31/12/2021,,
japan,Japan 1M,2022,ok,299,01/01/2022,31/12/2022,,
japan,Japan 1M,2023,ok,297,01/01/2023,31/12/2023,,
japan,Japan 1M,2024,ok,223,01/01/2024,31/12/2024,,
japan,Japan 1M,2025,ok,213,01/01/2025,31/12/2025,,
japan,Japan 1M,2026,ok,41,01/01/2026,10/03/2026,,
japan,Japan 1M,2026,ok,8,03/03/2026,13/03/2026,,2026-03-13 22:53:20
japan,Japan 1M,2026,ok,8,06/03/2026,19/03/2026,,2026-03-19 10:21:08
