Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,0.09,0.09,0.09,0.09,0.09,,japan,Japan 6M
2000-01-05,0.097,0.097,0.097,0.097,0.097,,japan,Japan 6M
2000-01-06,0.1,0.1,0.1,0.1,0.1,,japan,Japan 6M
2000-01-07,0.138,0.138,0.138,0.138,0.138,,japan,Japan 6M
2000-01-11,0.142,0.142,0.142,0.142,0.142,,japan,Japan 6M
2000-01-12,0.151,0.151,0.151,0.151,0.151,,japan,Japan 6M
2000-01-13,0.148,0.148,0.148,0.148,0.148,,japan,Japan 6M
2000-01-14,0.14,0.14,0.14,0.14,0.14,,japan,Japan 6M
2000-01-17,0.13,0.13,0.13,0.13,0.13,,japan,Japan 6M
2000-01-18,0.12,0.12,0.12,0.12,0.12,,japan,Japan 6M
2000-01-19,0.125,0.125,0.125,0.125,0.125,,japan,Japan 6M
2000-01-20,0.12,0.12,0.12,0.12,0.12,,japan,Japan 6M
2000-01-21,0.095,0.095,0.095,0.095,0.095,,japan,Japan 6M
2000-01-24,0.075,0.075,0.075,0.075,0.075,,japan,Japan 6M
2000-01-25,0.09,0.09,0.09,0.09,0.09,,japan,Japan 6M
2000-01-26,0.087,0.087,0.087,0.087,0.087,,japan,Japan 6M
2000-01-27,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-01-28,0.065,0.065,0.065,0.065,0.065,,japan,Japan 6M
2000-01-31,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-01,0.075,0.075,0.075,0.075,0.075,,japan,Japan 6M
2000-02-02,0.075,0.075,0.075,0.075,0.075,,japan,Japan 6M
2000-02-03,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-02-04,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-02-07,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-08,0.074,0.074,0.074,0.074,0.074,,japan,Japan 6M
2000-02-09,0.074,0.074,0.074,0.074,0.074,,japan,Japan 6M
2000-02-10,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-14,0.065,0.065,0.065,0.065,0.065,,japan,Japan 6M
2000-02-15,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-16,0.055,0.055,0.055,0.055,0.055,,japan,Japan 6M
2000-02-17,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-18,0.065,0.065,0.065,0.065,0.065,,japan,Japan 6M
2000-02-21,0.065,0.065,0.065,0.065,0.065,,japan,Japan 6M
2000-02-22,0.05,0.05,0.05,0.05,0.05,,japan,Japan 6M
2000-02-23,0.055,0.055,0.055,0.055,0.055,,japan,Japan 6M
2000-02-24,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-02-25,0.05,0.05,0.05,0.05,0.05,,japan,Japan 6M
2000-02-28,0.059,0.059,0.059,0.059,0.059,,japan,Japan 6M
2000-02-29,0.05,0.05,0.05,0.05,0.05,,japan,Japan 6M
2000-03-01,0.058,0.058,0.058,0.058,0.058,,japan,Japan 6M
2000-03-02,0.057,0.057,0.057,0.057,0.057,,japan,Japan 6M
2000-03-03,0.05,0.05,0.05,0.05,0.05,,japan,Japan 6M
2000-03-06,0.056,0.056,0.056,0.056,0.056,,japan,Japan 6M
2000-03-07,0.05,0.05,0.05,0.05,0.05,,japan,Japan 6M
2000-03-08,0.06,0.06,0.06,0.06,0.06,,japan,Japan 6M
2000-03-09,0.063,0.063,0.063,0.063,0.063,,japan,Japan 6M
2000-03-10,0.065,0.065,0.065,0.065,0.065,,japan,Japan 6M
2000-03-13,0.069,0.069,0.069,0.069,0.069,,japan,Japan 6M
2000-03-14,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-03-15,0.072,0.072,0.072,0.072,0.072,,japan,Japan 6M
2000-03-16,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-03-17,0.083,0.083,0.083,0.083,0.083,,japan,Japan 6M
2000-03-21,0.086,0.086,0.086,0.086,0.086,,japan,Japan 6M
2000-03-22,0.086,0.086,0.086,0.086,0.086,,japan,Japan 6M
2000-03-23,0.085,0.085,0.085,0.085,0.085,,japan,Japan 6M
2000-03-24,0.086,0.086,0.086,0.086,0.086,,japan,Japan 6M
2000-03-27,0.083,0.083,0.083,0.083,0.083,,japan,Japan 6M
2000-03-28,0.08,0.08,0.08,0.08,0.08,,japan,Japan 6M
2000-03-29,0.08,0.08,0.08,0.08,0.08,,japan,Japan 6M
2000-03-30,0.07,0.07,0.07,0.07,0.07,,japan,Japan 6M
2000-03-31,0.076,0.076,0.076,0.076,0.076,,japan,Japan 6M
2000-04-03,0.076,0.076,0.076,0.076,0.076,,japan,Japan 6M
2000-04-04,0.077,0.077,0.077,0.077,0.077,,japan,Japan 6M
2000-04-05,0.107,0.107,0.107,0.107,0.107,,japan,Japan 6M
2000-04-06,0.107,0.107,0.107,0.107,0.107,,japan,Japan 6M
2000-04-07,0.108,0.108,0.108,0.108,0.108,,japan,Japan 6M
2000-04-10,0.108,0.108,0.108,0.108,0.108,,japan,Japan 6M
2000-04-11,0.1,0.1,0.1,0.1,0.1,,japan,Japan 6M
