Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2006-07-20,1.775,1.796,1.734,1.734,1.734,,japan,Japan 8Y
2006-07-21,1.753,1.768,1.73,1.734,1.734,,japan,Japan 8Y
2006-07-24,1.745,1.798,1.745,1.767,1.767,,japan,Japan 8Y
2006-07-25,1.81,1.815,1.781,1.781,1.781,,japan,Japan 8Y
2006-07-26,1.817,1.818,1.767,1.767,1.767,,japan,Japan 8Y
2006-07-27,1.782,1.802,1.772,1.772,1.772,,japan,Japan 8Y
2006-07-28,1.79,1.853,1.79,1.823,1.823,,japan,Japan 8Y
2006-07-31,1.853,1.853,1.818,1.818,1.818,,japan,Japan 8Y
2006-08-01,1.845,1.851,1.813,1.813,1.813,,japan,Japan 8Y
2006-08-02,1.833,1.833,1.78,1.781,1.781,,japan,Japan 8Y
2006-08-03,1.797,1.808,1.767,1.767,1.767,,japan,Japan 8Y
2006-08-04,1.795,1.813,1.776,1.776,1.776,,japan,Japan 8Y
2006-08-07,1.772,1.778,1.721,1.73,1.73,,japan,Japan 8Y
2006-08-08,1.737,1.776,1.737,1.739,1.739,,japan,Japan 8Y
2006-08-09,1.744,1.786,1.741,1.768,1.768,,japan,Japan 8Y
2006-08-10,1.778,1.836,1.772,1.809,1.809,,japan,Japan 8Y
2006-08-11,1.82,1.831,1.748,1.748,1.748,,japan,Japan 8Y
2006-08-14,1.765,1.815,1.765,1.786,1.786,,japan,Japan 8Y
2006-08-15,1.802,1.817,1.767,1.767,1.767,,japan,Japan 8Y
2006-08-16,1.772,1.775,1.744,1.744,1.744,,japan,Japan 8Y
2006-08-17,1.755,1.755,1.725,1.725,1.725,,japan,Japan 8Y
2006-08-18,1.762,1.783,1.755,1.758,1.758,,japan,Japan 8Y
2006-08-21,1.768,1.775,1.706,1.706,1.706,,japan,Japan 8Y
2006-08-22,1.712,1.723,1.692,1.692,1.692,,japan,Japan 8Y
2006-08-23,1.693,1.725,1.693,1.697,1.697,,japan,Japan 8Y
2006-08-24,1.718,1.728,1.692,1.692,1.692,,japan,Japan 8Y
2006-08-25,1.671,1.673,1.59,1.608,1.608,,japan,Japan 8Y
2006-08-28,1.572,1.592,1.548,1.56,1.56,,japan,Japan 8Y
2006-08-29,1.56,1.597,1.56,1.579,1.579,,japan,Japan 8Y
2006-08-30,1.593,1.593,1.545,1.546,1.546,,japan,Japan 8Y
2006-08-31,1.521,1.526,1.492,1.508,1.508,,japan,Japan 8Y
2006-09-01,1.492,1.54,1.475,1.518,1.518,,japan,Japan 8Y
2006-09-04,1.535,1.56,1.52,1.546,1.546,,japan,Japan 8Y
2006-09-05,1.562,1.58,1.548,1.556,1.556,,japan,Japan 8Y
2006-09-06,1.578,1.585,1.545,1.546,1.546,,japan,Japan 8Y
2006-09-07,1.552,1.568,1.536,1.546,1.546,,japan,Japan 8Y
2006-09-08,1.568,1.598,1.551,1.579,1.579,,japan,Japan 8Y
2006-09-11,1.582,1.582,1.513,1.513,1.513,,japan,Japan 8Y
2006-09-12,1.517,1.554,1.515,1.532,1.532,,japan,Japan 8Y
2006-09-13,1.548,1.548,1.507,1.513,1.513,,japan,Japan 8Y
2006-09-14,1.519,1.525,1.51,1.519,1.519,,japan,Japan 8Y
2006-09-15,1.517,1.523,1.505,1.51,1.51,,japan,Japan 8Y
2006-09-19,1.527,1.56,1.516,1.548,1.548,,japan,Japan 8Y
2006-09-20,1.554,1.634,1.504,1.542,1.542,,japan,Japan 8Y
2006-09-21,1.553,1.571,1.547,1.551,1.551,,japan,Japan 8Y
2006-09-22,1.564,1.564,1.494,1.494,1.494,,japan,Japan 8Y
2006-09-25,1.48,1.507,1.48,1.494,1.494,,japan,Japan 8Y
2006-09-26,1.485,1.497,1.465,1.466,1.466,,japan,Japan 8Y
2006-09-27,1.49,1.525,1.482,1.499,1.499,,japan,Japan 8Y
2006-09-28,1.525,1.526,1.499,1.499,1.499,,japan,Japan 8Y
2006-09-29,1.5,1.529,1.5,1.518,1.518,,japan,Japan 8Y
2006-10-02,1.555,1.59,1.553,1.58,1.58,,japan,Japan 8Y
2006-10-03,1.578,1.58,1.537,1.537,1.537,,japan,Japan 8Y
2006-10-04,1.535,1.562,1.532,1.551,1.551,,japan,Japan 8Y
2006-10-05,1.55,1.582,1.537,1.566,1.566,,japan,Japan 8Y
2006-10-06,1.587,1.594,1.542,1.542,1.542,,japan,Japan 8Y
2006-10-10,1.555,1.598,1.555,1.556,1.556,,japan,Japan 8Y
2006-10-11,1.602,1.611,1.584,1.584,1.584,,japan,Japan 8Y
2006-10-12,1.62,1.62,1.589,1.589,1.589,,japan,Japan 8Y
2006-10-13,1.599,1.64,1.599,1.617,1.617,,japan,Japan 8Y
2006-10-16,1.66,1.675,1.635,1.655,1.655,,japan,Japan 8Y
2006-10-17,1.672,1.672,1.648,1.65,1.65,,japan,Japan 8Y
2006-10-18,1.67,1.678,1.645,1.66,1.66,,japan,Japan 8Y
2006-10-19,1.682,1.687,1.664,1.664,1.664,,japan,Japan 8Y
2006-10-20,1.687,1.692,1.66,1.66,1.66,,japan,Japan 8Y
2006-10-23,1.69,1.711,1.687,1.693,1.693,,japan,Japan 8Y
2006-10-24,1.72,1.725,1.674,1.674,1.674,,japan,Japan 8Y
2006-10-25,1.685,1.687,1.646,1.646,1.646,,japan,Japan 8Y
2006-10-26,1.65,1.65,1.599,1.599,1.599,,japan,Japan 8Y
2006-10-27,1.616,1.616,1.591,1.594,1.594,,japan,Japan 8Y
2006-10-30,1.592,1.598,1.585,1.585,1.585,,japan,Japan 8Y
2006-10-31,1.585,1.597,1.57,1.57,1.57,,japan,Japan 8Y
2006-11-01,1.555,1.583,1.555,1.566,1.566,,japan,Japan 8Y
2006-11-02,1.558,1.573,1.548,1.561,1.561,,japan,Japan 8Y
2006-11-06,1.6,1.635,1.6,1.617,1.617,,japan,Japan 8Y
2006-11-07,1.627,1.63,1.617,1.617,1.617,,japan,Japan 8Y
2006-11-08,1.626,1.628,1.584,1.584,1.584,,japan,Japan 8Y
2006-11-09,1.621,1.622,1.561,1.561,1.561,,japan,Japan 8Y
2006-11-10,1.54,1.545,1.537,1.537,1.537,,japan,Japan 8Y
2006-11-13,1.523,1.525,1.509,1.509,1.509,,japan,Japan 8Y
2006-11-14,1.557,1.602,1.556,1.575,1.575,,japan,Japan 8Y
2006-11-15,1.59,1.59,1.556,1.556,1.556,,japan,Japan 8Y
2006-11-16,1.563,1.583,1.56,1.561,1.561,,japan,Japan 8Y
2006-11-17,1.578,1.583,1.541,1.57,1.57,,japan,Japan 8Y
2006-11-20,1.581,1.601,1.53,1.532,1.532,,japan,Japan 8Y
2006-11-21,1.545,1.553,1.531,1.533,1.533,,japan,Japan 8Y
2006-11-22,1.538,1.554,1.523,1.523,1.523,,japan,Japan 8Y
2006-11-24,1.518,1.53,1.515,1.523,1.523,,japan,Japan 8Y
2006-11-27,1.551,1.551,1.512,1.523,1.523,,japan,Japan 8Y
2006-11-28,1.523,1.535,1.504,1.504,1.504,,japan,Japan 8Y
2006-11-29,1.515,1.56,1.51,1.542,1.542,,japan,Japan 8Y
2006-11-30,1.555,1.555,1.504,1.504,1.504,,japan,Japan 8Y
2006-12-01,1.498,1.498,1.46,1.466,1.466,,japan,Japan 8Y
2006-12-04,1.46,1.493,1.445,1.48,1.48,,japan,Japan 8Y
2006-12-05,1.487,1.49,1.47,1.475,1.475,,japan,Japan 8Y
2006-12-06,1.488,1.498,1.479,1.485,1.485,,japan,Japan 8Y
2006-12-07,1.507,1.549,1.507,1.523,1.523,,japan,Japan 8Y
2006-12-08,1.555,1.562,1.525,1.547,1.547,,japan,Japan 8Y
2006-12-11,1.56,1.562,1.504,1.504,1.504,,japan,Japan 8Y
2006-12-12,1.505,1.508,1.48,1.48,1.48,,japan,Japan 8Y
2006-12-13,1.48,1.481,1.446,1.452,1.452,,japan,Japan 8Y
2006-12-14,1.477,1.477,1.45,1.461,1.461,,japan,Japan 8Y
2006-12-15,1.502,1.522,1.489,1.514,1.514,,japan,Japan 8Y
2006-12-18,1.513,1.542,1.505,1.533,1.533,,japan,Japan 8Y
2006-12-19,1.545,1.545,1.489,1.495,1.495,,japan,Japan 8Y
2006-12-20,1.52,1.52,1.472,1.495,1.495,,japan,Japan 8Y
2006-12-21,1.527,1.527,1.49,1.49,1.49,,japan,Japan 8Y
2006-12-22,1.5,1.506,1.476,1.476,1.476,,japan,Japan 8Y
2006-12-25,1.493,1.495,1.476,1.476,1.476,,japan,Japan 8Y
2006-12-26,1.481,1.481,1.457,1.457,1.457,,japan,Japan 8Y
2006-12-27,1.497,1.55,1.495,1.532,1.532,,japan,Japan 8Y
2006-12-28,1.573,1.579,1.54,1.551,1.551,,japan,Japan 8Y
2006-12-29,1.585,1.588,1.565,1.565,1.565,,japan,Japan 8Y
2007-01-04,1.62,1.63,1.607,1.607,1.607,,japan,Japan 8Y
2007-01-05,1.625,1.625,1.603,1.603,1.603,,japan,Japan 8Y
2007-01-09,1.64,1.64,1.617,1.617,1.617,,japan,Japan 8Y
2007-01-10,1.655,1.66,1.641,1.641,1.641,,japan,Japan 8Y
2007-01-11,1.635,1.64,1.617,1.617,1.617,,japan,Japan 8Y
2007-01-12,1.645,1.65,1.627,1.627,1.627,,japan,Japan 8Y
2007-01-15,1.645,1.671,1.627,1.627,1.627,,japan,Japan 8Y
2007-01-16,1.663,1.664,1.617,1.617,1.617,,japan,Japan 8Y
2007-01-17,1.623,1.631,1.552,1.552,1.552,,japan,Japan 8Y
2007-01-18,1.577,1.6,1.571,1.58,1.58,,japan,Japan 8Y
2007-01-19,1.571,1.571,1.528,1.528,1.528,,japan,Japan 8Y
2007-01-22,1.533,1.544,1.514,1.514,1.514,,japan,Japan 8Y
2007-01-23,1.521,1.537,1.518,1.519,1.519,,japan,Japan 8Y
2007-01-24,1.535,1.536,1.514,1.514,1.514,,japan,Japan 8Y
2007-01-25,1.545,1.547,1.519,1.519,1.519,,japan,Japan 8Y
2007-01-26,1.508,1.568,1.5,1.538,1.538,,japan,Japan 8Y
2007-01-29,1.567,1.586,1.566,1.566,1.566,,japan,Japan 8Y
2007-01-30,1.59,1.595,1.557,1.557,1.557,,japan,Japan 8Y
2007-01-31,1.568,1.582,1.547,1.547,1.547,,japan,Japan 8Y
2007-02-01,1.563,1.581,1.547,1.557,1.557,,japan,Japan 8Y
2007-02-02,1.597,1.603,1.578,1.58,1.58,,japan,Japan 8Y
2007-02-05,1.607,1.607,1.575,1.575,1.575,,japan,Japan 8Y
2007-02-06,1.6,1.616,1.594,1.594,1.594,,japan,Japan 8Y
2007-02-07,1.618,1.625,1.594,1.594,1.594,,japan,Japan 8Y
2007-02-08,1.612,1.616,1.585,1.585,1.585,,japan,Japan 8Y
2007-02-09,1.602,1.618,1.547,1.547,1.547,,japan,Japan 8Y
2007-02-13,1.572,1.622,1.572,1.599,1.599,,japan,Japan 8Y
2007-02-14,1.618,1.635,1.594,1.594,1.594,,japan,Japan 8Y
2007-02-15,1.63,1.64,1.615,1.618,1.618,,japan,Japan 8Y
2007-02-16,1.628,1.634,1.575,1.575,1.575,,japan,Japan 8Y
2007-02-19,1.6,1.62,1.585,1.585,1.585,,japan,Japan 8Y
2007-02-20,1.595,1.612,1.575,1.575,1.575,,japan,Japan 8Y
2007-02-21,1.582,1.62,1.553,1.561,1.561,,japan,Japan 8Y
2007-02-22,1.57,1.576,1.533,1.533,1.533,,japan,Japan 8Y
2007-02-23,1.554,1.566,1.547,1.547,1.547,,japan,Japan 8Y
2007-02-26,1.555,1.564,1.533,1.533,1.533,,japan,Japan 8Y
2007-02-27,1.542,1.542,1.51,1.51,1.51,,japan,Japan 8Y
2007-02-28,1.473,1.519,1.472,1.5,1.5,,japan,Japan 8Y
2007-03-01,1.533,1.55,1.519,1.519,1.519,,japan,Japan 8Y
2007-03-02,1.513,1.544,1.513,1.519,1.519,,japan,Japan 8Y
2007-03-05,1.51,1.517,1.477,1.477,1.477,,japan,Japan 8Y
2007-03-06,1.487,1.505,1.481,1.481,1.481,,japan,Japan 8Y
2007-03-07,1.492,1.511,1.477,1.477,1.477,,japan,Japan 8Y
2007-03-08,1.503,1.503,1.472,1.472,1.472,,japan,Japan 8Y
2007-03-09,1.48,1.486,1.467,1.467,1.467,,japan,Japan 8Y
2007-03-12,1.482,1.5,1.467,1.467,1.467,,japan,Japan 8Y
2007-03-13,1.473,1.478,1.458,1.458,1.458,,japan,Japan 8Y
2007-03-14,1.456,1.47,1.415,1.415,1.415,,japan,Japan 8Y
2007-03-15,1.445,1.454,1.429,1.429,1.429,,japan,Japan 8Y
2007-03-16,1.425,1.443,1.418,1.418,1.418,,japan,Japan 8Y
2007-03-19,1.435,1.435,1.423,1.423,1.423,,japan,Japan 8Y
2007-03-20,1.445,1.445,1.438,1.438,1.438,,japan,Japan 8Y
2007-03-22,1.435,1.435,1.424,1.424,1.424,,japan,Japan 8Y
2007-03-23,1.49,1.49,1.481,1.481,1.481,,japan,Japan 8Y
2007-03-26,1.53,1.53,1.518,1.518,1.518,,japan,Japan 8Y
2007-03-27,1.515,1.515,1.504,1.504,1.504,,japan,Japan 8Y
2007-03-28,1.55,1.55,1.532,1.532,1.532,,japan,Japan 8Y
2007-03-29,1.52,1.52,1.509,1.509,1.509,,japan,Japan 8Y
2007-03-30,1.525,1.525,1.514,1.514,1.514,,japan,Japan 8Y
2007-04-02,1.515,1.515,1.504,1.504,1.504,,japan,Japan 8Y
2007-04-03,1.52,1.52,1.509,1.509,1.509,,japan,Japan 8Y
2007-04-04,1.565,1.565,1.551,1.551,1.551,,japan,Japan 8Y
2007-04-05,1.555,1.555,1.537,1.537,1.537,,japan,Japan 8Y
2007-04-06,1.545,1.545,1.532,1.532,1.532,,japan,Japan 8Y
2007-04-09,1.56,1.56,1.547,1.547,1.547,,japan,Japan 8Y
2007-04-10,1.56,1.56,1.547,1.547,1.547,,japan,Japan 8Y
2007-04-11,1.52,1.52,1.509,1.509,1.509,,japan,Japan 8Y
2007-04-12,1.54,1.54,1.528,1.528,1.528,,japan,Japan 8Y
2007-04-13,1.535,1.535,1.523,1.523,1.523,,japan,Japan 8Y
2007-04-16,1.58,1.58,1.565,1.565,1.565,,japan,Japan 8Y
2007-04-17,1.575,1.575,1.561,1.561,1.561,,japan,Japan 8Y
2007-04-18,1.595,1.595,1.579,1.579,1.579,,japan,Japan 8Y
2007-04-19,1.56,1.56,1.547,1.547,1.547,,japan,Japan 8Y
2007-04-20,1.58,1.58,1.565,1.565,1.565,,japan,Japan 8Y
2007-04-23,1.575,1.575,1.561,1.561,1.561,,japan,Japan 8Y
2007-04-24,1.555,1.555,1.542,1.542,1.542,,japan,Japan 8Y
2007-04-25,1.53,1.53,1.518,1.518,1.518,,japan,Japan 8Y
2007-04-26,1.54,1.54,1.528,1.528,1.528,,japan,Japan 8Y
2007-04-27,1.51,1.51,1.5,1.5,1.5,,japan,Japan 8Y
2007-05-01,1.49,1.49,1.481,1.481,1.481,,japan,Japan 8Y
2007-05-02,1.505,1.505,1.495,1.495,1.495,,japan,Japan 8Y
2007-05-07,1.525,1.525,1.514,1.514,1.514,,japan,Japan 8Y
2007-05-08,1.53,1.53,1.519,1.519,1.519,,japan,Japan 8Y
2007-05-09,1.55,1.55,1.537,1.537,1.537,,japan,Japan 8Y
2007-05-10,1.56,1.56,1.547,1.547,1.547,,japan,Japan 8Y
2007-05-11,1.53,1.53,1.518,1.518,1.518,,japan,Japan 8Y
2007-05-14,1.55,1.55,1.537,1.537,1.537,,japan,Japan 8Y
2007-05-15,1.565,1.565,1.552,1.552,1.552,,japan,Japan 8Y
