country,bond_name,status,rows,start_date,end_date,history_path,request_log_path
malaysia,Malaysia 3W,ok,3834,2006-08-22,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_3w.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_3w_request_log.csv
malaysia,Malaysia 3Y,ok,6492,2001-10-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_3y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_3y_request_log.csv
malaysia,Malaysia 5Y,ok,6552,2001-10-17,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_5y_request_log.csv
malaysia,Malaysia 7M,ok,4023,2006-08-22,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_7m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_7m_request_log.csv
malaysia,Malaysia 7Y,ok,3549,2012-12-06,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_7y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/malaysia/malaysia_7y_request_log.csv
new zealand,New Zealand 10Y,ok,7036,2000-01-05,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_10y_request_log.csv
new zealand,New Zealand 15Y,ok,2661,2016-12-21,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_15y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_15y_request_log.csv
new zealand,New Zealand 1M,ok,6782,2000-01-05,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_1m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_1m_request_log.csv
new zealand,New Zealand 1Y,ok,3801,2004-09-17,2026-03-09,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_1y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_1y_request_log.csv
new zealand,New Zealand 20Y,ok,2661,2016-12-21,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/new_zealand/new_zealand_20y_request_log.csv
