country,bond_name,year,status,rows,from_date,to_date,error
malaysia,Malaysia 1Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download Malaysia 1Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
malaysia,Malaysia 1Y,2001,ok,16,01/01/2001,31/12/2001,
malaysia,Malaysia 1Y,2002,ok,79,01/01/2002,31/12/2002,
malaysia,Malaysia 1Y,2003,ok,43,01/01/2003,31/12/2003,
malaysia,Malaysia 1Y,2004,ok,87,01/01/2004,31/12/2004,
malaysia,Malaysia 1Y,2005,ok,92,01/01/2005,31/12/2005,
malaysia,Malaysia 1Y,2006,ok,109,01/01/2006,31/12/2006,
malaysia,Malaysia 1Y,2007,ok,135,01/01/2007,31/12/2007,
malaysia,Malaysia 1Y,2008,ok,166,01/01/2008,31/12/2008,
malaysia,Malaysia 1Y,2009,ok,90,01/01/2009,31/12/2009,
malaysia,Malaysia 1Y,2010,ok,50,01/01/2010,31/12/2010,
malaysia,Malaysia 1Y,2011,ok,102,01/01/2011,31/12/2011,
malaysia,Malaysia 1Y,2012,ok,217,01/01/2012,31/12/2012,
malaysia,Malaysia 1Y,2013,ok,265,01/01/2013,31/12/2013,
malaysia,Malaysia 1Y,2014,ok,287,01/01/2014,31/12/2014,
malaysia,Malaysia 1Y,2015,ok,266,01/01/2015,31/12/2015,
malaysia,Malaysia 1Y,2016,ok,283,01/01/2016,31/12/2016,
malaysia,Malaysia 1Y,2017,ok,300,01/01/2017,31/12/2017,
malaysia,Malaysia 1Y,2018,ok,261,01/01/2018,31/12/2018,
malaysia,Malaysia 1Y,2019,ok,241,01/01/2019,31/12/2019,
malaysia,Malaysia 1Y,2020,ok,247,01/01/2020,31/12/2020,
malaysia,Malaysia 1Y,2021,ok,242,01/01/2021,31/12/2021,
malaysia,Malaysia 1Y,2022,ok,241,01/01/2022,31/12/2022,
malaysia,Malaysia 1Y,2023,ok,246,01/01/2023,31/12/2023,
malaysia,Malaysia 1Y,2024,ok,228,01/01/2024,31/12/2024,
malaysia,Malaysia 1Y,2025,ok,239,01/01/2025,31/12/2025,
malaysia,Malaysia 1Y,2026,ok,39,01/01/2026,10/03/2026,
