Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2005-09-05,4.658,4.658,4.658,4.658,4.658,,malaysia,Malaysia 20Y
2005-09-06,4.663,4.663,4.663,4.663,4.663,,malaysia,Malaysia 20Y
2005-09-07,4.668,4.668,4.668,4.668,4.668,,malaysia,Malaysia 20Y
2005-09-08,4.642,4.642,4.642,4.642,4.642,,malaysia,Malaysia 20Y
2005-09-09,4.65,4.65,4.65,4.65,4.65,,malaysia,Malaysia 20Y
2005-09-12,4.65,4.65,4.65,4.65,4.65,,malaysia,Malaysia 20Y
2005-09-13,4.635,4.635,4.635,4.635,4.635,,malaysia,Malaysia 20Y
2005-09-14,4.619,4.619,4.619,4.619,4.619,,malaysia,Malaysia 20Y
2005-09-16,4.622,4.622,4.622,4.622,4.622,,malaysia,Malaysia 20Y
2005-09-20,4.681,4.681,4.681,4.681,4.681,,malaysia,Malaysia 20Y
2005-09-21,4.604,4.604,4.604,4.604,4.604,,malaysia,Malaysia 20Y
2005-09-26,4.589,4.589,4.589,4.589,4.589,,malaysia,Malaysia 20Y
2005-09-29,4.62,4.62,4.62,4.62,4.62,,malaysia,Malaysia 20Y
2005-10-03,4.642,4.642,4.642,4.642,4.642,,malaysia,Malaysia 20Y
2005-10-05,4.75,4.75,4.75,4.75,4.75,,malaysia,Malaysia 20Y
2005-10-06,4.7,4.7,4.7,4.7,4.7,,malaysia,Malaysia 20Y
2005-10-07,4.657,4.657,4.657,4.657,4.657,,malaysia,Malaysia 20Y
2005-10-10,4.64,4.64,4.64,4.64,4.64,,malaysia,Malaysia 20Y
2005-10-13,4.638,4.638,4.638,4.638,4.638,,malaysia,Malaysia 20Y
2005-10-14,4.758,4.758,4.758,4.758,4.758,,malaysia,Malaysia 20Y
2005-10-18,4.75,4.75,4.75,4.75,4.75,,malaysia,Malaysia 20Y
2005-10-19,4.7,4.7,4.7,4.7,4.7,,malaysia,Malaysia 20Y
2005-10-24,4.649,4.649,4.649,4.649,4.649,,malaysia,Malaysia 20Y
2005-10-26,4.78,4.78,4.78,4.78,4.78,,malaysia,Malaysia 20Y
2005-10-28,4.742,4.742,4.742,4.742,4.742,,malaysia,Malaysia 20Y
2005-11-10,4.68,4.68,4.68,4.68,4.68,,malaysia,Malaysia 20Y
2005-11-11,4.699,4.699,4.699,4.699,4.699,,malaysia,Malaysia 20Y
2005-11-22,4.8,4.8,4.8,4.8,4.8,,malaysia,Malaysia 20Y
2005-11-25,4.78,4.78,4.78,4.78,4.78,,malaysia,Malaysia 20Y
2005-12-01,4.84,4.84,4.84,4.84,4.84,,malaysia,Malaysia 20Y
2005-12-02,4.8,4.8,4.8,4.8,4.8,,malaysia,Malaysia 20Y
2005-12-07,4.73,4.73,4.73,4.73,4.73,,malaysia,Malaysia 20Y
2005-12-08,4.75,4.75,4.75,4.75,4.75,,malaysia,Malaysia 20Y
2005-12-13,4.711,4.711,4.711,4.711,4.711,,malaysia,Malaysia 20Y
2005-12-14,4.75,4.75,4.75,4.75,4.75,,malaysia,Malaysia 20Y
2006-01-03,4.7,4.7,4.7,4.7,4.7,,malaysia,Malaysia 20Y
2006-01-09,4.69,4.69,4.69,4.69,4.69,,malaysia,Malaysia 20Y
2006-01-11,4.691,4.691,4.691,4.691,4.691,,malaysia,Malaysia 20Y
2006-01-12,4.65,4.65,4.65,4.65,4.65,,malaysia,Malaysia 20Y
