country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
malaysia,Malaysia 3W,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Malaysia 3W from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Malaysia 3W from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Malaysia 3W from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Malaysia 3W from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Malaysia 3W from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Malaysia 3W from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
malaysia,Malaysia 3W,2006,ok,13,01/01/2006,31/12/2006,,
malaysia,Malaysia 3W,2007,ok,81,01/01/2007,31/12/2007,,
malaysia,Malaysia 3W,2008,ok,125,01/01/2008,31/12/2008,,
malaysia,Malaysia 3W,2009,ok,56,01/01/2009,31/12/2009,,
malaysia,Malaysia 3W,2010,ok,30,01/01/2010,31/12/2010,,
malaysia,Malaysia 3W,2011,ok,106,01/01/2011,31/12/2011,,
malaysia,Malaysia 3W,2012,ok,215,01/01/2012,31/12/2012,,
malaysia,Malaysia 3W,2013,ok,263,01/01/2013,31/12/2013,,
malaysia,Malaysia 3W,2014,ok,248,01/01/2014,31/12/2014,,
malaysia,Malaysia 3W,2015,ok,238,01/01/2015,31/12/2015,,
malaysia,Malaysia 3W,2016,ok,242,01/01/2016,31/12/2016,,
malaysia,Malaysia 3W,2017,ok,257,01/01/2017,31/12/2017,,
malaysia,Malaysia 3W,2018,ok,243,01/01/2018,31/12/2018,,
malaysia,Malaysia 3W,2019,ok,241,01/01/2019,31/12/2019,,
malaysia,Malaysia 3W,2020,ok,246,01/01/2020,31/12/2020,,
malaysia,Malaysia 3W,2021,ok,241,01/01/2021,31/12/2021,,
malaysia,Malaysia 3W,2022,ok,241,01/01/2022,31/12/2022,,
malaysia,Malaysia 3W,2023,ok,243,01/01/2023,31/12/2023,,
malaysia,Malaysia 3W,2024,ok,227,01/01/2024,31/12/2024,,
malaysia,Malaysia 3W,2025,ok,239,01/01/2025,31/12/2025,,
malaysia,Malaysia 3W,2026,ok,39,01/01/2026,11/03/2026,,
malaysia,Malaysia 3W,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:53:41
malaysia,Malaysia 3W,2026,ok,9,06/03/2026,19/03/2026,,2026-03-19 10:21:14
