country,bond_name,year,status,rows,from_date,to_date,error
malaysia,Malaysia 7M,2000,failed,0,01/01/2000,31/12/2000,Failed to download Malaysia 7M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
malaysia,Malaysia 7M,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Malaysia 7M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later."
malaysia,Malaysia 7M,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Malaysia 7M from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later."
malaysia,Malaysia 7M,2003,failed,0,01/01/2003,31/12/2003,Failed to download Malaysia 7M from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.
malaysia,Malaysia 7M,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Malaysia 7M from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later."
malaysia,Malaysia 7M,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Malaysia 7M from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later."
malaysia,Malaysia 7M,2006,ok,20,01/01/2006,31/12/2006,
malaysia,Malaysia 7M,2007,ok,144,01/01/2007,31/12/2007,
malaysia,Malaysia 7M,2008,ok,168,01/01/2008,31/12/2008,
malaysia,Malaysia 7M,2009,ok,89,01/01/2009,31/12/2009,
malaysia,Malaysia 7M,2010,ok,31,01/01/2010,31/12/2010,
malaysia,Malaysia 7M,2011,ok,106,01/01/2011,31/12/2011,
malaysia,Malaysia 7M,2012,ok,260,01/01/2012,31/12/2012,
malaysia,Malaysia 7M,2013,ok,263,01/01/2013,31/12/2013,
malaysia,Malaysia 7M,2014,ok,250,01/01/2014,31/12/2014,
malaysia,Malaysia 7M,2015,ok,227,01/01/2015,31/12/2015,
malaysia,Malaysia 7M,2016,ok,243,01/01/2016,31/12/2016,
malaysia,Malaysia 7M,2017,ok,257,01/01/2017,31/12/2017,
malaysia,Malaysia 7M,2018,ok,243,01/01/2018,31/12/2018,
malaysia,Malaysia 7M,2019,ok,243,01/01/2019,31/12/2019,
malaysia,Malaysia 7M,2020,ok,245,01/01/2020,31/12/2020,
malaysia,Malaysia 7M,2021,ok,242,01/01/2021,31/12/2021,
malaysia,Malaysia 7M,2022,ok,241,01/01/2022,31/12/2022,
malaysia,Malaysia 7M,2023,ok,246,01/01/2023,31/12/2023,
malaysia,Malaysia 7M,2024,ok,227,01/01/2024,31/12/2024,
malaysia,Malaysia 7M,2025,ok,239,01/01/2025,31/12/2025,
malaysia,Malaysia 7M,2026,ok,39,01/01/2026,11/03/2026,
