Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-05,5.26,5.26,5.26,5.26,5.26,,new zealand,New Zealand 1M
2000-01-06,5.24,5.24,5.24,5.24,5.24,,new zealand,New Zealand 1M
2000-01-07,5.26,5.26,5.26,5.26,5.26,,new zealand,New Zealand 1M
2000-01-10,5.25,5.25,5.25,5.25,5.25,,new zealand,New Zealand 1M
2000-01-11,5.27,5.27,5.27,5.27,5.27,,new zealand,New Zealand 1M
2000-01-12,5.27,5.27,5.27,5.27,5.27,,new zealand,New Zealand 1M
2000-01-13,5.29,5.29,5.29,5.29,5.29,,new zealand,New Zealand 1M
2000-01-17,5.4,5.4,5.4,5.4,5.4,,new zealand,New Zealand 1M
2000-01-18,5.39,5.39,5.39,5.39,5.39,,new zealand,New Zealand 1M
2000-01-19,5.43,5.43,5.43,5.43,5.43,,new zealand,New Zealand 1M
2000-01-25,5.46,5.46,5.46,5.46,5.46,,new zealand,New Zealand 1M
2000-01-26,5.43,5.43,5.43,5.43,5.43,,new zealand,New Zealand 1M
2000-01-27,5.43,5.43,5.43,5.43,5.43,,new zealand,New Zealand 1M
2000-02-01,5.48,5.48,5.48,5.48,5.48,,new zealand,New Zealand 1M
2000-02-02,5.48,5.48,5.48,5.48,5.48,,new zealand,New Zealand 1M
2000-02-07,5.52,5.52,5.52,5.52,5.52,,new zealand,New Zealand 1M
2000-02-08,5.54,5.54,5.54,5.54,5.54,,new zealand,New Zealand 1M
2000-02-10,5.52,5.52,5.52,5.52,5.52,,new zealand,New Zealand 1M
2000-02-11,5.49,5.49,5.49,5.49,5.49,,new zealand,New Zealand 1M
2000-02-14,5.48,5.48,5.48,5.48,5.48,,new zealand,New Zealand 1M
2000-02-17,5.62,5.62,5.62,5.62,5.62,,new zealand,New Zealand 1M
2000-02-18,5.61,5.61,5.61,5.61,5.61,,new zealand,New Zealand 1M
2000-02-21,5.64,5.64,5.64,5.64,5.64,,new zealand,New Zealand 1M
2000-02-23,5.65,5.65,5.65,5.65,5.65,,new zealand,New Zealand 1M
2000-02-24,5.67,5.67,5.67,5.67,5.67,,new zealand,New Zealand 1M
2000-02-28,5.73,5.73,5.73,5.73,5.73,,new zealand,New Zealand 1M
2000-03-02,5.86,5.86,5.86,5.86,5.86,,new zealand,New Zealand 1M
2000-03-03,5.89,5.89,5.89,5.89,5.89,,new zealand,New Zealand 1M
2000-03-08,6.0,6.0,6.0,6.0,6.0,,new zealand,New Zealand 1M
2000-03-09,6.0,6.0,6.0,6.0,6.0,,new zealand,New Zealand 1M
2000-03-17,6.03,6.03,6.03,6.03,6.03,,new zealand,New Zealand 1M
2000-03-21,6.02,6.02,6.02,6.02,6.02,,new zealand,New Zealand 1M
2000-03-22,6.02,6.02,6.02,6.02,6.02,,new zealand,New Zealand 1M
2000-03-23,6.02,6.02,6.02,6.02,6.02,,new zealand,New Zealand 1M
2000-03-29,6.04,6.04,6.04,6.04,6.04,,new zealand,New Zealand 1M
2000-03-30,6.07,6.07,6.07,6.07,6.07,,new zealand,New Zealand 1M
2000-04-04,6.18,6.18,6.18,6.18,6.18,,new zealand,New Zealand 1M
2000-04-07,6.16,6.16,6.16,6.16,6.16,,new zealand,New Zealand 1M
2000-04-10,6.18,6.18,6.18,6.18,6.18,,new zealand,New Zealand 1M
2000-04-11,6.15,6.15,6.15,6.15,6.15,,new zealand,New Zealand 1M
2000-04-12,6.13,6.13,6.13,6.13,6.13,,new zealand,New Zealand 1M
2000-04-13,6.13,6.13,6.13,6.13,6.13,,new zealand,New Zealand 1M
2000-04-17,6.2,6.2,6.2,6.2,6.2,,new zealand,New Zealand 1M
2000-04-19,6.31,6.31,6.31,6.31,6.31,,new zealand,New Zealand 1M
2000-04-20,6.35,6.35,6.35,6.35,6.35,,new zealand,New Zealand 1M
2000-04-26,6.38,6.38,6.38,6.38,6.38,,new zealand,New Zealand 1M
2000-04-28,6.4,6.4,6.4,6.4,6.4,,new zealand,New Zealand 1M
2000-05-02,6.48,6.48,6.48,6.48,6.48,,new zealand,New Zealand 1M
2000-05-03,6.48,6.48,6.48,6.48,6.48,,new zealand,New Zealand 1M
