Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2004-09-17,6.58,6.56,6.555,6.555,6.555,,new zealand,New Zealand 1Y
2004-09-21,6.6,6.6,6.61,6.575,6.575,,new zealand,New Zealand 1Y
2004-12-17,6.47,6.46,6.47,6.435,6.435,,new zealand,New Zealand 1Y
2005-03-23,6.82,6.82,6.84,6.795,6.795,,new zealand,New Zealand 1Y
2006-09-21,7.145,7.15,7.145,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-22,7.15,7.195,7.14,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-25,7.19,7.2,7.19,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-26,7.2,7.2,7.195,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-27,7.205,7.205,7.2,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-28,7.2,7.205,7.2,7.01,7.01,,new zealand,New Zealand 1Y
2006-09-29,7.18,7.195,7.18,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-01,7.19,7.195,7.19,0.0,0.0,,new zealand,New Zealand 1Y
2006-10-02,7.19,7.195,7.19,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-03,7.19,7.205,7.19,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-04,7.19,7.225,7.19,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-05,7.23,7.235,7.23,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-06,7.22,7.235,7.22,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-08,7.23,7.235,7.23,0.0,0.0,,new zealand,New Zealand 1Y
2006-10-09,7.25,7.255,7.25,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-10,7.265,7.27,7.265,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-11,7.285,7.285,7.27,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-12,7.28,7.285,7.27,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-13,100.04,100.04,100.04,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-15,7.27,7.29,7.27,0.0,0.0,,new zealand,New Zealand 1Y
2006-10-16,7.285,7.3,7.27,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-17,7.29,7.29,7.275,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-18,7.295,7.3,7.28,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-19,7.3,7.305,7.3,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-23,7.3,7.305,7.3,0.0,0.0,,new zealand,New Zealand 1Y
2006-10-24,7.31,7.315,7.31,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-25,7.315,7.32,7.315,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-26,7.32,7.325,7.32,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-27,7.31,7.315,7.29,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-29,7.31,7.31,7.305,0.0,0.0,,new zealand,New Zealand 1Y
2006-10-30,7.28,7.285,7.28,7.01,7.01,,new zealand,New Zealand 1Y
2006-10-31,7.133,7.133,7.133,7.133,7.133,,new zealand,New Zealand 1Y
2006-11-20,6.39,6.405,6.38,6.38,6.38,,new zealand,New Zealand 1Y
2006-11-21,6.4,6.4,6.375,6.355,6.355,,new zealand,New Zealand 1Y
2006-11-22,6.37,6.375,6.35,6.343,6.343,,new zealand,New Zealand 1Y
2006-11-23,6.37,6.37,6.35,6.338,6.338,,new zealand,New Zealand 1Y
2006-11-24,6.37,6.395,6.37,6.37,6.37,,new zealand,New Zealand 1Y
2006-11-26,6.395,6.395,6.39,0.0,0.0,,new zealand,New Zealand 1Y
2006-11-27,6.4,6.425,6.4,6.395,6.395,,new zealand,New Zealand 1Y
2006-11-28,6.41,6.425,6.405,6.395,6.395,,new zealand,New Zealand 1Y
2006-11-29,6.415,6.425,6.415,6.398,6.398,,new zealand,New Zealand 1Y
2006-11-30,6.43,6.45,6.42,6.415,6.415,,new zealand,New Zealand 1Y
2006-12-01,6.43,6.47,6.43,6.415,6.415,,new zealand,New Zealand 1Y
2006-12-03,6.445,6.445,6.44,0.0,0.0,,new zealand,New Zealand 1Y
2006-12-04,6.435,6.435,6.41,6.392,6.392,,new zealand,New Zealand 1Y
2006-12-05,6.425,6.425,6.41,6.39,6.39,,new zealand,New Zealand 1Y
2006-12-06,6.435,6.435,6.42,6.4,6.4,,new zealand,New Zealand 1Y
2006-12-07,6.43,6.525,6.43,6.475,6.475,,new zealand,New Zealand 1Y
2006-12-08,6.49,6.5,6.49,6.47,6.47,,new zealand,New Zealand 1Y
2006-12-10,6.49,6.495,6.49,0.0,0.0,,new zealand,New Zealand 1Y
2006-12-11,6.51,6.53,6.51,6.495,6.495,,new zealand,New Zealand 1Y
2006-12-12,6.51,6.515,6.51,6.488,6.488,,new zealand,New Zealand 1Y
2006-12-13,6.505,6.51,6.49,6.48,6.48,,new zealand,New Zealand 1Y
2006-12-14,6.545,6.555,6.53,6.515,6.515,,new zealand,New Zealand 1Y
2006-12-15,6.53,6.545,6.53,6.52,6.52,,new zealand,New Zealand 1Y
2006-12-17,6.54,6.54,6.54,0.0,0.0,,new zealand,New Zealand 1Y
2006-12-18,6.53,6.55,6.53,6.515,6.515,,new zealand,New Zealand 1Y
2006-12-19,6.535,6.545,6.53,6.517,6.517,,new zealand,New Zealand 1Y
2006-12-20,6.545,6.555,6.54,6.52,6.52,,new zealand,New Zealand 1Y
2006-12-21,6.55,6.585,6.55,6.557,6.557,,new zealand,New Zealand 1Y
2006-12-22,6.562,6.562,6.562,6.541,6.541,,new zealand,New Zealand 1Y
2006-12-26,6.575,6.575,6.575,0.0,0.0,,new zealand,New Zealand 1Y
2006-12-27,6.6,6.615,6.6,6.585,6.585,,new zealand,New Zealand 1Y
2006-12-28,6.63,6.665,6.63,6.637,6.637,,new zealand,New Zealand 1Y
2006-12-29,6.612,6.612,6.612,6.616,6.616,,new zealand,New Zealand 1Y
2007-01-02,6.66,6.66,6.66,0.0,0.0,,new zealand,New Zealand 1Y
2007-01-03,6.67,6.67,6.665,6.64,6.64,,new zealand,New Zealand 1Y
2007-01-04,6.66,6.66,6.64,6.615,6.615,,new zealand,New Zealand 1Y
2007-01-05,6.625,6.64,6.625,6.605,6.605,,new zealand,New Zealand 1Y
2007-01-07,6.63,6.63,6.63,0.0,0.0,,new zealand,New Zealand 1Y
2007-01-08,6.66,6.66,6.64,6.615,6.615,,new zealand,New Zealand 1Y
2007-01-09,6.635,6.635,6.63,6.605,6.605,,new zealand,New Zealand 1Y
2007-01-10,6.62,6.62,6.61,6.585,6.585,,new zealand,New Zealand 1Y
2007-01-11,6.63,6.63,6.57,6.555,6.555,,new zealand,New Zealand 1Y
2007-01-12,6.57,6.57,6.555,6.535,6.535,,new zealand,New Zealand 1Y
2007-01-14,6.56,6.56,6.56,0.0,0.0,,new zealand,New Zealand 1Y
2007-01-15,6.55,6.57,6.55,6.53,6.53,,new zealand,New Zealand 1Y
2007-01-16,6.55,6.58,6.55,6.53,6.53,,new zealand,New Zealand 1Y
2007-01-17,6.555,6.555,6.5,6.485,6.485,,new zealand,New Zealand 1Y
2007-01-18,6.515,6.53,6.51,6.495,6.495,,new zealand,New Zealand 1Y
2007-01-19,6.515,6.52,6.51,6.485,6.485,,new zealand,New Zealand 1Y
2007-01-21,6.51,6.51,6.5,0.0,0.0,,new zealand,New Zealand 1Y
2007-01-22,6.52,6.52,6.51,6.49,6.49,,new zealand,New Zealand 1Y
2007-01-23,6.515,6.53,6.51,6.495,6.495,,new zealand,New Zealand 1Y
2007-01-24,6.53,6.55,6.51,6.515,6.515,,new zealand,New Zealand 1Y
2007-01-25,6.53,6.65,6.53,6.622,6.622,,new zealand,New Zealand 1Y
2007-01-26,6.665,6.67,6.65,6.635,6.635,,new zealand,New Zealand 1Y
