country,bond_name,year,status,rows,from_date,to_date
new zealand,New Zealand 4M,2000,ok,109,01/01/2000,31/12/2000
new zealand,New Zealand 4M,2001,ok,120,01/01/2001,31/12/2001
new zealand,New Zealand 4M,2002,ok,244,01/01/2002,31/12/2002
new zealand,New Zealand 4M,2003,ok,250,01/01/2003,31/12/2003
new zealand,New Zealand 4M,2004,ok,253,01/01/2004,31/12/2004
new zealand,New Zealand 4M,2005,ok,250,01/01/2005,31/12/2005
new zealand,New Zealand 4M,2006,ok,250,01/01/2006,31/12/2006
new zealand,New Zealand 4M,2007,ok,252,01/01/2007,31/12/2007
new zealand,New Zealand 4M,2008,ok,252,01/01/2008,31/12/2008
new zealand,New Zealand 4M,2009,ok,252,01/01/2009,31/12/2009
new zealand,New Zealand 4M,2010,ok,253,01/01/2010,31/12/2010
new zealand,New Zealand 4M,2011,ok,252,01/01/2011,31/12/2011
new zealand,New Zealand 4M,2012,ok,252,01/01/2012,31/12/2012
new zealand,New Zealand 4M,2013,ok,262,01/01/2013,31/12/2013
new zealand,New Zealand 4M,2014,ok,308,01/01/2014,31/12/2014
new zealand,New Zealand 4M,2015,ok,320,01/01/2015,31/12/2015
new zealand,New Zealand 4M,2016,ok,318,01/01/2016,31/12/2016
new zealand,New Zealand 4M,2017,ok,322,01/01/2017,31/12/2017
new zealand,New Zealand 4M,2018,ok,313,01/01/2018,31/12/2018
new zealand,New Zealand 4M,2019,ok,308,01/01/2019,31/12/2019
new zealand,New Zealand 4M,2020,ok,277,01/01/2020,31/12/2020
new zealand,New Zealand 4M,2021,ok,261,01/01/2021,31/12/2021
new zealand,New Zealand 4M,2022,ok,268,01/01/2022,31/12/2022
new zealand,New Zealand 4M,2023,ok,272,01/01/2023,31/12/2023
new zealand,New Zealand 4M,2024,ok,240,01/01/2024,31/12/2024
new zealand,New Zealand 4M,2025,ok,250,01/01/2025,31/12/2025
new zealand,New Zealand 4M,2026,ok,47,01/01/2026,11/03/2026
