Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-03,5.76,5.76,5.76,5.76,5.76,,norway,Norway 1Y
2000-01-04,5.819,5.819,5.819,5.819,5.819,,norway,Norway 1Y
2000-01-05,5.848,5.848,5.848,5.848,5.848,,norway,Norway 1Y
2000-01-06,5.834,5.834,5.834,5.834,5.834,,norway,Norway 1Y
2000-01-07,5.818,5.818,5.818,5.818,5.818,,norway,Norway 1Y
2000-01-10,5.834,5.834,5.834,5.834,5.834,,norway,Norway 1Y
2000-01-11,5.864,5.864,5.864,5.864,5.864,,norway,Norway 1Y
2000-01-12,5.894,5.894,5.894,5.894,5.894,,norway,Norway 1Y
2000-01-13,5.909,5.909,5.909,5.909,5.909,,norway,Norway 1Y
2000-01-14,5.838,5.838,5.838,5.838,5.838,,norway,Norway 1Y
2000-01-17,5.863,5.863,5.863,5.863,5.863,,norway,Norway 1Y
2000-01-18,5.966,5.966,5.966,5.966,5.966,,norway,Norway 1Y
2000-01-19,5.93,5.93,5.93,5.93,5.93,,norway,Norway 1Y
2000-01-20,5.953,5.953,5.953,5.953,5.953,,norway,Norway 1Y
2000-01-21,5.928,5.928,5.928,5.928,5.928,,norway,Norway 1Y
2000-01-24,5.951,5.951,5.951,5.951,5.951,,norway,Norway 1Y
2000-01-25,5.939,5.939,5.939,5.939,5.939,,norway,Norway 1Y
2000-01-26,5.951,5.951,5.951,5.951,5.951,,norway,Norway 1Y
2000-01-27,5.92,5.92,5.92,5.92,5.92,,norway,Norway 1Y
2000-01-28,5.937,5.937,5.937,5.937,5.937,,norway,Norway 1Y
2000-01-29,5.937,5.937,5.937,5.937,5.937,,norway,Norway 1Y
2000-01-31,5.937,5.937,5.937,5.937,5.937,,norway,Norway 1Y
2000-02-01,5.949,5.949,5.949,5.949,5.949,,norway,Norway 1Y
2000-02-02,5.961,5.961,5.961,5.961,5.961,,norway,Norway 1Y
2000-02-03,6.069,6.069,6.069,6.069,6.069,,norway,Norway 1Y
2000-02-04,6.008,6.008,6.008,6.008,6.008,,norway,Norway 1Y
2000-02-07,6.069,6.069,6.069,6.069,6.069,,norway,Norway 1Y
2000-02-08,6.051,6.051,6.051,6.051,6.051,,norway,Norway 1Y
2000-02-09,6.045,6.045,6.045,6.045,6.045,,norway,Norway 1Y
2000-02-10,6.082,6.082,6.082,6.082,6.082,,norway,Norway 1Y
2000-02-11,6.069,6.069,6.069,6.069,6.069,,norway,Norway 1Y
2000-02-14,5.976,5.976,5.976,5.976,5.976,,norway,Norway 1Y
2000-02-15,6.082,6.082,6.082,6.082,6.082,,norway,Norway 1Y
2000-02-16,6.145,6.145,6.145,6.145,6.145,,norway,Norway 1Y
2000-02-17,6.082,6.082,6.082,6.082,6.082,,norway,Norway 1Y
2000-02-18,6.095,6.095,6.095,6.095,6.095,,norway,Norway 1Y
2000-02-21,6.108,6.108,6.108,6.108,6.108,,norway,Norway 1Y
2000-02-22,6.121,6.121,6.121,6.121,6.121,,norway,Norway 1Y
2000-02-23,6.102,6.102,6.102,6.102,6.102,,norway,Norway 1Y
2000-02-24,6.116,6.116,6.116,6.116,6.116,,norway,Norway 1Y
2000-02-25,6.115,6.115,6.115,6.115,6.115,,norway,Norway 1Y
2000-02-28,6.09,6.09,6.09,6.09,6.09,,norway,Norway 1Y
2000-02-29,6.097,6.097,6.097,6.097,6.097,,norway,Norway 1Y
2000-03-01,6.097,6.097,6.097,6.097,6.097,,norway,Norway 1Y
2000-03-02,6.138,6.138,6.138,6.138,6.138,,norway,Norway 1Y
2000-03-03,6.151,6.151,6.151,6.151,6.151,,norway,Norway 1Y
2000-03-06,6.12,6.12,6.12,6.12,6.12,,norway,Norway 1Y
2000-03-07,6.098,6.098,6.098,6.098,6.098,,norway,Norway 1Y
2000-03-08,6.09,6.09,6.09,6.09,6.09,,norway,Norway 1Y
2000-03-09,6.045,6.045,6.045,6.045,6.045,,norway,Norway 1Y
2000-03-10,6.031,6.031,6.031,6.031,6.031,,norway,Norway 1Y
2000-03-13,6.045,6.045,6.045,6.045,6.045,,norway,Norway 1Y
2000-03-14,6.031,6.031,6.031,6.031,6.031,,norway,Norway 1Y
2000-03-15,6.048,6.048,6.048,6.048,6.048,,norway,Norway 1Y
2000-03-16,6.018,6.018,6.018,6.018,6.018,,norway,Norway 1Y
2000-03-17,6.109,6.109,6.109,6.109,6.109,,norway,Norway 1Y
2000-03-20,6.06,6.06,6.06,6.06,6.06,,norway,Norway 1Y
2000-03-21,6.046,6.046,6.046,6.046,6.046,,norway,Norway 1Y
2000-03-22,6.105,6.105,6.105,6.105,6.105,,norway,Norway 1Y
2000-03-23,6.139,6.139,6.139,6.139,6.139,,norway,Norway 1Y
2000-03-24,6.135,6.135,6.135,6.135,6.135,,norway,Norway 1Y
2000-03-25,6.135,6.135,6.135,6.135,6.135,,norway,Norway 1Y
2000-03-27,6.321,6.321,6.321,6.321,6.321,,norway,Norway 1Y
2000-03-28,6.309,6.309,6.309,6.309,6.309,,norway,Norway 1Y
2000-03-29,6.281,6.281,6.281,6.281,6.281,,norway,Norway 1Y
2000-03-30,6.305,6.305,6.305,6.305,6.305,,norway,Norway 1Y
2000-03-31,6.313,6.313,6.313,6.313,6.313,,norway,Norway 1Y
2000-04-03,6.33,6.33,6.33,6.33,6.33,,norway,Norway 1Y
2000-04-04,6.34,6.34,6.34,6.34,6.34,,norway,Norway 1Y
2000-04-05,6.346,6.346,6.346,6.346,6.346,,norway,Norway 1Y
2000-04-06,6.305,6.305,6.305,6.305,6.305,,norway,Norway 1Y
2000-04-07,6.321,6.321,6.321,6.321,6.321,,norway,Norway 1Y
2000-04-08,6.321,6.321,6.321,6.321,6.321,,norway,Norway 1Y
2000-04-10,6.323,6.323,6.323,6.323,6.323,,norway,Norway 1Y
2000-04-11,6.293,6.293,6.293,6.293,6.293,,norway,Norway 1Y
2000-04-12,6.294,6.294,6.294,6.294,6.294,,norway,Norway 1Y
2000-04-13,6.36,6.36,6.36,6.36,6.36,,norway,Norway 1Y
2000-04-14,6.345,6.345,6.345,6.345,6.345,,norway,Norway 1Y
2000-04-15,6.345,6.345,6.345,6.345,6.345,,norway,Norway 1Y
2000-04-17,6.365,6.365,6.365,6.365,6.365,,norway,Norway 1Y
2000-04-18,6.382,6.382,6.382,6.382,6.382,,norway,Norway 1Y
2000-04-19,6.389,6.389,6.389,6.389,6.389,,norway,Norway 1Y
2000-04-25,6.472,6.472,6.472,6.472,6.472,,norway,Norway 1Y
2000-04-26,6.425,6.425,6.425,6.425,6.425,,norway,Norway 1Y
2000-04-27,6.445,6.445,6.445,6.445,6.445,,norway,Norway 1Y
2000-04-28,6.451,6.451,6.451,6.451,6.451,,norway,Norway 1Y
2000-05-02,6.486,6.486,6.486,6.486,6.486,,norway,Norway 1Y
2000-05-03,6.721,6.721,6.721,6.721,6.721,,norway,Norway 1Y
2000-05-04,6.709,6.709,6.709,6.709,6.709,,norway,Norway 1Y
2000-05-05,6.684,6.684,6.684,6.684,6.684,,norway,Norway 1Y
2000-05-06,6.684,6.684,6.684,6.684,6.684,,norway,Norway 1Y
2000-05-08,6.67,6.67,6.67,6.67,6.67,,norway,Norway 1Y
2000-05-09,6.684,6.684,6.684,6.684,6.684,,norway,Norway 1Y
2000-05-10,6.759,6.759,6.759,6.759,6.759,,norway,Norway 1Y
2000-05-11,6.716,6.716,6.716,6.716,6.716,,norway,Norway 1Y
2000-05-12,6.647,6.647,6.647,6.647,6.647,,norway,Norway 1Y
2000-05-15,6.678,6.678,6.678,6.678,6.678,,norway,Norway 1Y
2000-05-16,6.735,6.735,6.735,6.735,6.735,,norway,Norway 1Y
2000-05-18,6.685,6.685,6.685,6.685,6.685,,norway,Norway 1Y
2000-05-19,6.742,6.742,6.742,6.742,6.742,,norway,Norway 1Y
2000-05-22,6.678,6.678,6.678,6.678,6.678,,norway,Norway 1Y
2000-05-23,6.685,6.685,6.685,6.685,6.685,,norway,Norway 1Y
2000-05-24,6.633,6.633,6.633,6.633,6.633,,norway,Norway 1Y
2000-05-25,6.69,6.69,6.69,6.69,6.69,,norway,Norway 1Y
2000-05-26,6.639,6.639,6.639,6.639,6.639,,norway,Norway 1Y
2000-05-29,6.643,6.643,6.643,6.643,6.643,,norway,Norway 1Y
2000-05-30,6.62,6.62,6.62,6.62,6.62,,norway,Norway 1Y
2000-05-31,6.733,6.733,6.733,6.733,6.733,,norway,Norway 1Y
2000-06-02,6.726,6.726,6.726,6.726,6.726,,norway,Norway 1Y
2000-06-05,6.7,6.7,6.7,6.7,6.7,,norway,Norway 1Y
2000-06-06,6.74,6.74,6.74,6.74,6.74,,norway,Norway 1Y
2000-06-07,6.741,6.741,6.741,6.741,6.741,,norway,Norway 1Y
2000-06-08,6.769,6.769,6.769,6.769,6.769,,norway,Norway 1Y
2000-06-09,6.739,6.739,6.739,6.739,6.739,,norway,Norway 1Y
2000-06-13,6.813,6.813,6.813,6.813,6.813,,norway,Norway 1Y
2000-06-14,6.833,6.833,6.833,6.833,6.833,,norway,Norway 1Y
2000-06-15,6.835,6.835,6.835,6.835,6.835,,norway,Norway 1Y
2000-06-16,6.836,6.836,6.836,6.836,6.836,,norway,Norway 1Y
2000-06-19,6.886,6.886,6.886,6.886,6.886,,norway,Norway 1Y
2000-06-20,6.802,6.802,6.802,6.802,6.802,,norway,Norway 1Y
2000-06-21,6.859,6.859,6.859,6.859,6.859,,norway,Norway 1Y
2000-06-22,6.963,6.963,6.963,6.963,6.963,,norway,Norway 1Y
2000-06-23,7.094,7.094,7.094,7.094,7.094,,norway,Norway 1Y
2000-06-26,7.04,7.04,7.04,7.04,7.04,,norway,Norway 1Y
2000-06-27,7.039,7.039,7.039,7.039,7.039,,norway,Norway 1Y
2000-06-28,7.115,7.115,7.115,7.115,7.115,,norway,Norway 1Y
2000-06-29,7.164,7.164,7.164,7.164,7.164,,norway,Norway 1Y
2000-06-30,7.23,7.23,7.23,7.23,7.23,,norway,Norway 1Y
2000-07-03,7.227,7.227,7.227,7.227,7.227,,norway,Norway 1Y
2000-07-04,7.2,7.2,7.2,7.2,7.2,,norway,Norway 1Y
2000-07-05,7.126,7.126,7.126,7.126,7.126,,norway,Norway 1Y
2000-07-06,7.131,7.131,7.131,7.131,7.131,,norway,Norway 1Y
2000-07-07,7.134,7.134,7.134,7.134,7.134,,norway,Norway 1Y
2000-07-10,7.121,7.121,7.121,7.121,7.121,,norway,Norway 1Y
2000-07-11,7.323,7.323,7.323,7.323,7.323,,norway,Norway 1Y
2000-07-12,7.254,7.254,7.254,7.254,7.254,,norway,Norway 1Y
2000-07-13,7.292,7.292,7.292,7.292,7.292,,norway,Norway 1Y
2000-07-14,7.302,7.302,7.302,7.302,7.302,,norway,Norway 1Y
2000-07-17,7.279,7.279,7.279,7.279,7.279,,norway,Norway 1Y
2000-07-18,7.31,7.31,7.31,7.31,7.31,,norway,Norway 1Y
2000-07-19,7.295,7.295,7.295,7.295,7.295,,norway,Norway 1Y
2000-07-20,7.25,7.25,7.25,7.25,7.25,,norway,Norway 1Y
2000-07-21,7.323,7.323,7.323,7.323,7.323,,norway,Norway 1Y
2000-07-23,7.323,7.323,7.323,7.323,7.323,,norway,Norway 1Y
2000-07-24,7.211,7.211,7.211,7.211,7.211,,norway,Norway 1Y
2000-07-25,7.255,7.255,7.255,7.255,7.255,,norway,Norway 1Y
2000-07-26,7.193,7.193,7.193,7.193,7.193,,norway,Norway 1Y
2000-07-27,7.219,7.219,7.219,7.219,7.219,,norway,Norway 1Y
2000-07-28,7.22,7.22,7.22,7.22,7.22,,norway,Norway 1Y
2000-07-29,7.22,7.22,7.22,7.22,7.22,,norway,Norway 1Y
2000-07-31,7.4,7.4,7.4,7.4,7.4,,norway,Norway 1Y
2000-08-01,7.367,7.367,7.367,7.367,7.367,,norway,Norway 1Y
2000-08-02,7.365,7.365,7.365,7.365,7.365,,norway,Norway 1Y
2000-08-03,7.253,7.253,7.253,7.253,7.253,,norway,Norway 1Y
2000-08-04,7.303,7.303,7.303,7.303,7.303,,norway,Norway 1Y
2000-08-07,7.301,7.301,7.301,7.301,7.301,,norway,Norway 1Y
2000-08-08,7.292,7.292,7.292,7.292,7.292,,norway,Norway 1Y
2000-08-09,7.329,7.329,7.329,7.329,7.329,,norway,Norway 1Y
2000-08-10,7.21,7.21,7.21,7.21,7.21,,norway,Norway 1Y
2000-08-11,7.235,7.235,7.235,7.235,7.235,,norway,Norway 1Y
2000-08-12,7.235,7.235,7.235,7.235,7.235,,norway,Norway 1Y
2000-08-14,7.243,7.243,7.243,7.243,7.243,,norway,Norway 1Y
2000-08-15,7.213,7.213,7.213,7.213,7.213,,norway,Norway 1Y
2000-08-16,7.238,7.238,7.238,7.238,7.238,,norway,Norway 1Y
2000-08-17,7.243,7.243,7.243,7.243,7.243,,norway,Norway 1Y
2000-08-18,7.241,7.241,7.241,7.241,7.241,,norway,Norway 1Y
2000-08-21,7.224,7.224,7.224,7.224,7.224,,norway,Norway 1Y
2000-08-22,7.256,7.256,7.256,7.256,7.256,,norway,Norway 1Y
2000-08-23,7.233,7.233,7.233,7.233,7.233,,norway,Norway 1Y
2000-08-24,7.267,7.267,7.267,7.267,7.267,,norway,Norway 1Y
2000-08-25,7.387,7.387,7.387,7.387,7.387,,norway,Norway 1Y
2000-08-26,7.387,7.387,7.387,7.387,7.387,,norway,Norway 1Y
2000-08-28,7.25,7.25,7.25,7.25,7.25,,norway,Norway 1Y
2000-08-29,7.301,7.301,7.301,7.301,7.301,,norway,Norway 1Y
2000-08-30,7.327,7.327,7.327,7.327,7.327,,norway,Norway 1Y
2000-08-31,7.406,7.406,7.406,7.406,7.406,,norway,Norway 1Y
2000-09-01,7.447,7.447,7.447,7.447,7.447,,norway,Norway 1Y
2000-09-04,7.46,7.46,7.46,7.46,7.46,,norway,Norway 1Y
2000-09-05,7.53,7.53,7.53,7.53,7.53,,norway,Norway 1Y
2000-09-06,7.601,7.601,7.601,7.601,7.601,,norway,Norway 1Y
2000-09-07,7.612,7.612,7.612,7.612,7.612,,norway,Norway 1Y
2000-09-08,7.566,7.566,7.566,7.566,7.566,,norway,Norway 1Y
2000-09-11,7.623,7.623,7.623,7.623,7.623,,norway,Norway 1Y
2000-09-12,7.637,7.637,7.637,7.637,7.637,,norway,Norway 1Y
2000-09-13,7.606,7.606,7.606,7.606,7.606,,norway,Norway 1Y
2000-09-14,7.616,7.616,7.616,7.616,7.616,,norway,Norway 1Y
2000-09-15,7.564,7.564,7.564,7.564,7.564,,norway,Norway 1Y
2000-09-17,7.564,7.564,7.564,7.564,7.564,,norway,Norway 1Y
2000-09-18,7.583,7.583,7.583,7.583,7.583,,norway,Norway 1Y
2000-09-19,7.56,7.56,7.56,7.56,7.56,,norway,Norway 1Y
2000-09-20,7.503,7.503,7.503,7.503,7.503,,norway,Norway 1Y
2000-09-21,7.382,7.382,7.382,7.382,7.382,,norway,Norway 1Y
2000-09-22,7.372,7.372,7.372,7.372,7.372,,norway,Norway 1Y
2000-09-25,7.37,7.37,7.37,7.37,7.37,,norway,Norway 1Y
2000-09-26,7.355,7.355,7.355,7.355,7.355,,norway,Norway 1Y
2000-09-27,7.365,7.365,7.365,7.365,7.365,,norway,Norway 1Y
2000-09-28,7.347,7.347,7.347,7.347,7.347,,norway,Norway 1Y
2000-09-29,7.371,7.371,7.371,7.371,7.371,,norway,Norway 1Y
2000-10-02,7.48,7.48,7.48,7.48,7.48,,norway,Norway 1Y
2000-10-03,7.542,7.542,7.542,7.542,7.542,,norway,Norway 1Y
2000-10-04,7.525,7.525,7.525,7.525,7.525,,norway,Norway 1Y
2000-10-05,7.617,7.617,7.617,7.617,7.617,,norway,Norway 1Y
2000-10-06,7.583,7.583,7.583,7.583,7.583,,norway,Norway 1Y
2000-10-09,7.599,7.599,7.599,7.599,7.599,,norway,Norway 1Y
2000-10-10,7.631,7.631,7.631,7.631,7.631,,norway,Norway 1Y
2000-10-11,7.727,7.727,7.727,7.727,7.727,,norway,Norway 1Y
2000-10-12,7.675,7.675,7.675,7.675,7.675,,norway,Norway 1Y
2000-10-13,7.713,7.713,7.713,7.713,7.713,,norway,Norway 1Y
2000-10-16,7.687,7.687,7.687,7.687,7.687,,norway,Norway 1Y
2000-10-17,7.698,7.698,7.698,7.698,7.698,,norway,Norway 1Y
2000-10-18,7.671,7.671,7.671,7.671,7.671,,norway,Norway 1Y
2000-10-19,7.68,7.68,7.68,7.68,7.68,,norway,Norway 1Y
2000-10-20,7.691,7.691,7.691,7.691,7.691,,norway,Norway 1Y
2000-10-23,7.703,7.703,7.703,7.703,7.703,,norway,Norway 1Y
2000-10-24,7.599,7.599,7.599,7.599,7.599,,norway,Norway 1Y
2000-10-25,7.559,7.559,7.559,7.559,7.559,,norway,Norway 1Y
