country,bond_name,year,status,rows,from_date,to_date,error
norway,Norway 2Y,2000,ok,250,01/01/2000,31/12/2000,
norway,Norway 2Y,2001,ok,249,01/01/2001,31/12/2001,
norway,Norway 2Y,2002,ok,248,01/01/2002,31/12/2002,
norway,Norway 2Y,2003,ok,246,01/01/2003,31/12/2003,
norway,Norway 2Y,2004,ok,5,01/01/2004,31/12/2004,
norway,Norway 2Y,2005,failed,0,01/01/2005,31/12/2005,Failed to download Norway 2Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.
norway,Norway 2Y,2006,failed,0,01/01/2006,31/12/2006,Failed to download Norway 2Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.
norway,Norway 2Y,2007,ok,67,01/01/2007,31/12/2007,
norway,Norway 2Y,2008,ok,252,01/01/2008,31/12/2008,
norway,Norway 2Y,2009,ok,251,01/01/2009,31/12/2009,
norway,Norway 2Y,2010,ok,116,01/01/2010,31/12/2010,
norway,Norway 2Y,2011,ok,214,01/01/2011,31/12/2011,
norway,Norway 2Y,2012,ok,287,01/01/2012,31/12/2012,
norway,Norway 2Y,2013,ok,270,01/01/2013,31/12/2013,
norway,Norway 2Y,2014,ok,298,01/01/2014,31/12/2014,
norway,Norway 2Y,2015,ok,273,01/01/2015,31/12/2015,
norway,Norway 2Y,2016,ok,271,01/01/2016,31/12/2016,
norway,Norway 2Y,2017,ok,279,01/01/2017,31/12/2017,
norway,Norway 2Y,2018,ok,62,01/01/2018,31/12/2018,
norway,Norway 2Y,2019,ok,147,01/01/2019,31/12/2019,
norway,Norway 2Y,2020,ok,113,01/01/2020,31/12/2020,
norway,Norway 2Y,2021,failed,0,01/01/2021,31/12/2021,"Failed to download Norway 2Y from 01/01/2021 to 31/12/2021 after 60 attempts: ERR#0015: error 403, try again later."
norway,Norway 2Y,2022,failed,0,01/01/2022,31/12/2022,"Failed to download Norway 2Y from 01/01/2022 to 31/12/2022 after 60 attempts: ERR#0015: error 403, try again later."
norway,Norway 2Y,2023,failed,0,01/01/2023,31/12/2023,"Failed to download Norway 2Y from 01/01/2023 to 31/12/2023 after 60 attempts: ERR#0015: error 403, try again later."
norway,Norway 2Y,2024,failed,0,01/01/2024,31/12/2024,"Failed to download Norway 2Y from 01/01/2024 to 31/12/2024 after 60 attempts: ERR#0015: error 403, try again later."
norway,Norway 2Y,2025,failed,0,01/01/2025,31/12/2025,Failed to download Norway 2Y from 01/01/2025 to 31/12/2025 after 60 attempts: ERR#0069: bond information unavailable or not found.
norway,Norway 2Y,2026,failed,0,01/01/2026,11/03/2026,Failed to download Norway 2Y from 01/01/2026 to 11/03/2026 after 60 attempts: ERR#0069: bond information unavailable or not found.
