Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2008-06-18,6.106,6.106,6.106,0.0,0.0,,norway,Norway 9M
2008-06-19,6.112,6.151,6.112,0.0,0.0,,norway,Norway 9M
2008-06-20,6.162,6.166,6.162,0.0,0.0,,norway,Norway 9M
2008-06-23,6.171,6.171,6.171,0.0,0.0,,norway,Norway 9M
2008-06-24,6.18,6.186,6.18,0.0,0.0,,norway,Norway 9M
2008-06-25,6.204,6.311,6.188,0.0,0.0,,norway,Norway 9M
2008-06-26,6.2,6.2,6.136,0.0,0.0,,norway,Norway 9M
2008-06-27,6.136,6.136,6.115,0.0,0.0,,norway,Norway 9M
2008-06-30,6.188,6.188,6.14,0.0,0.0,,norway,Norway 9M
2008-07-01,6.195,6.195,6.189,0.0,0.0,,norway,Norway 9M
2008-07-02,6.213,6.213,6.197,0.0,0.0,,norway,Norway 9M
2008-07-03,6.216,6.216,6.185,0.0,0.0,,norway,Norway 9M
2008-07-04,6.191,6.191,6.186,0.0,0.0,,norway,Norway 9M
2008-07-07,6.192,6.192,6.171,0.0,0.0,,norway,Norway 9M
2008-07-08,6.141,6.141,6.138,0.0,0.0,,norway,Norway 9M
2008-07-09,6.141,6.147,6.141,0.0,0.0,,norway,Norway 9M
2008-07-10,6.144,6.175,6.143,0.0,0.0,,norway,Norway 9M
2008-07-11,6.146,6.146,6.123,0.0,0.0,,norway,Norway 9M
2008-07-14,6.144,6.144,6.139,0.0,0.0,,norway,Norway 9M
2008-07-15,6.14,6.14,6.14,0.0,0.0,,norway,Norway 9M
2008-07-16,6.141,6.157,6.141,0.0,0.0,,norway,Norway 9M
2008-07-17,6.144,6.144,6.144,0.0,0.0,,norway,Norway 9M
2008-07-18,6.146,6.146,6.145,0.0,0.0,,norway,Norway 9M
2008-07-21,6.168,6.168,6.146,0.0,0.0,,norway,Norway 9M
2008-07-22,6.148,6.148,6.114,0.0,0.0,,norway,Norway 9M
2008-07-23,6.115,6.115,6.056,0.0,0.0,,norway,Norway 9M
2008-07-24,6.098,6.098,6.063,0.0,0.0,,norway,Norway 9M
2008-07-25,6.059,6.096,6.054,0.0,0.0,,norway,Norway 9M
2008-07-28,6.051,6.051,6.016,0.0,0.0,,norway,Norway 9M
2008-07-29,6.017,6.017,6.009,0.0,0.0,,norway,Norway 9M
2008-07-30,6.009,6.009,6.008,0.0,0.0,,norway,Norway 9M
2008-07-31,5.994,5.994,5.994,0.0,0.0,,norway,Norway 9M
2008-08-01,5.998,5.998,5.992,0.0,0.0,,norway,Norway 9M
