country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
norway,Norway 9M,2000,failed,0,01/01/2000,31/12/2000,Failed to download Norway 9M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
norway,Norway 9M,2001,failed,0,01/01/2001,31/12/2001,"Failed to download Norway 9M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0015: error 403, try again later.",
norway,Norway 9M,2002,failed,0,01/01/2002,31/12/2002,Failed to download Norway 9M from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.,
norway,Norway 9M,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Norway 9M from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later.",
norway,Norway 9M,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Norway 9M from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later.",
norway,Norway 9M,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Norway 9M from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
norway,Norway 9M,2006,failed,0,01/01/2006,31/12/2006,Failed to download Norway 9M from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.,
norway,Norway 9M,2007,failed,0,01/01/2007,31/12/2007,"Failed to download Norway 9M from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0015: error 403, try again later.",
norway,Norway 9M,2008,ok,53,01/01/2008,31/12/2008,,
norway,Norway 9M,2009,ok,75,01/01/2009,31/12/2009,,
norway,Norway 9M,2010,ok,196,01/01/2010,31/12/2010,,
norway,Norway 9M,2011,ok,253,01/01/2011,31/12/2011,,
norway,Norway 9M,2012,ok,278,01/01/2012,31/12/2012,,
norway,Norway 9M,2013,ok,256,01/01/2013,31/12/2013,,
norway,Norway 9M,2014,ok,261,01/01/2014,31/12/2014,,
norway,Norway 9M,2015,ok,265,01/01/2015,31/12/2015,,
norway,Norway 9M,2016,ok,264,01/01/2016,31/12/2016,,
norway,Norway 9M,2017,ok,259,01/01/2017,31/12/2017,,
norway,Norway 9M,2018,ok,251,01/01/2018,31/12/2018,,
norway,Norway 9M,2019,ok,249,01/01/2019,31/12/2019,,
norway,Norway 9M,2020,ok,252,01/01/2020,31/12/2020,,
norway,Norway 9M,2021,ok,270,01/01/2021,31/12/2021,,
norway,Norway 9M,2022,ok,253,01/01/2022,31/12/2022,,
norway,Norway 9M,2023,ok,252,01/01/2023,31/12/2023,,
norway,Norway 9M,2024,ok,252,01/01/2024,31/12/2024,,
norway,Norway 9M,2025,ok,254,01/01/2025,31/12/2025,,
norway,Norway 9M,2026,ok,49,01/01/2026,11/03/2026,,
norway,Norway 9M,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:56:09
