Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-06-14,14.216,14.216,14.216,14.216,14.216,,philippines,Philippines 10Y
2000-06-15,14.244,14.244,14.244,14.244,14.244,,philippines,Philippines 10Y
2000-06-16,14.125,14.125,14.125,14.125,14.125,,philippines,Philippines 10Y
2000-06-19,14.125,14.125,14.125,14.125,14.125,,philippines,Philippines 10Y
2000-06-20,14.125,14.125,14.125,14.125,14.125,,philippines,Philippines 10Y
2000-06-21,14.18,14.18,14.18,14.18,14.18,,philippines,Philippines 10Y
2000-06-22,14.125,14.125,14.125,14.125,14.125,,philippines,Philippines 10Y
2000-06-23,14.225,14.225,14.225,14.225,14.225,,philippines,Philippines 10Y
2000-06-26,14.225,14.225,14.225,14.225,14.225,,philippines,Philippines 10Y
2000-06-27,14.25,14.25,14.25,14.25,14.25,,philippines,Philippines 10Y
2000-06-28,14.065,14.065,14.065,14.065,14.065,,philippines,Philippines 10Y
2000-06-29,14.181,14.181,14.181,14.181,14.181,,philippines,Philippines 10Y
2000-06-30,14.2,14.2,14.2,14.2,14.2,,philippines,Philippines 10Y
2000-07-03,14.375,14.375,14.375,14.375,14.375,,philippines,Philippines 10Y
2000-07-04,14.375,14.375,14.375,14.375,14.375,,philippines,Philippines 10Y
2000-07-05,14.5,14.5,14.5,14.5,14.5,,philippines,Philippines 10Y
2000-07-06,14.425,14.425,14.425,14.425,14.425,,philippines,Philippines 10Y
2000-07-07,14.875,14.875,14.875,14.875,14.875,,philippines,Philippines 10Y
2000-07-10,14.925,14.925,14.925,14.925,14.925,,philippines,Philippines 10Y
2000-07-11,15.375,15.375,15.375,15.375,15.375,,philippines,Philippines 10Y
2000-07-13,15.0,15.0,15.0,15.0,15.0,,philippines,Philippines 10Y
2000-07-14,14.95,14.95,14.95,14.95,14.95,,philippines,Philippines 10Y
2000-07-17,14.95,14.95,14.95,14.95,14.95,,philippines,Philippines 10Y
2000-07-18,14.95,14.95,14.95,14.95,14.95,,philippines,Philippines 10Y
2000-07-19,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-07-20,14.875,14.875,14.875,14.875,14.875,,philippines,Philippines 10Y
2000-07-21,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-07-24,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-07-25,14.85,14.85,14.85,14.85,14.85,,philippines,Philippines 10Y
2000-07-26,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-07-27,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-07-28,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-07-31,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-01,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-02,14.85,14.85,14.85,14.85,14.85,,philippines,Philippines 10Y
2000-08-03,15.0,15.0,15.0,15.0,15.0,,philippines,Philippines 10Y
2000-08-04,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-07,14.875,14.875,14.875,14.875,14.875,,philippines,Philippines 10Y
2000-08-08,14.65,14.65,14.65,14.65,14.65,,philippines,Philippines 10Y
2000-08-09,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-08-10,14.65,14.65,14.65,14.65,14.65,,philippines,Philippines 10Y
2000-08-11,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-08-14,14.875,14.875,14.875,14.875,14.875,,philippines,Philippines 10Y
2000-08-15,14.65,14.65,14.65,14.65,14.65,,philippines,Philippines 10Y
2000-08-16,14.875,14.875,14.875,14.875,14.875,,philippines,Philippines 10Y
2000-08-17,14.7,14.7,14.7,14.7,14.7,,philippines,Philippines 10Y
2000-08-18,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-21,14.6,14.6,14.6,14.6,14.6,,philippines,Philippines 10Y
2000-08-22,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-23,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-24,14.75,14.75,14.75,14.75,14.75,,philippines,Philippines 10Y
2000-08-25,14.7,14.7,14.7,14.7,14.7,,philippines,Philippines 10Y
2000-08-28,14.65,14.65,14.65,14.65,14.65,,philippines,Philippines 10Y
2000-08-29,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-08-30,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-08-31,14.625,14.625,14.625,14.625,14.625,,philippines,Philippines 10Y
2000-09-01,14.9,14.9,14.9,14.9,14.9,,philippines,Philippines 10Y
2000-09-04,14.9,14.9,14.9,14.9,14.9,,philippines,Philippines 10Y
2000-09-05,14.9,14.9,14.9,14.9,14.9,,philippines,Philippines 10Y
2000-09-06,14.9,14.9,14.9,14.9,14.9,,philippines,Philippines 10Y
2000-09-07,14.9,14.9,14.9,14.9,14.9,,philippines,Philippines 10Y
2000-09-08,14.8,14.8,14.8,14.8,14.8,,philippines,Philippines 10Y
2000-09-12,15.125,15.125,15.125,15.125,15.125,,philippines,Philippines 10Y
2000-09-13,15.5,15.5,15.5,15.5,15.5,,philippines,Philippines 10Y
2000-09-14,15.5,15.5,15.5,15.5,15.5,,philippines,Philippines 10Y
2000-09-15,15.75,15.75,15.75,15.75,15.75,,philippines,Philippines 10Y
2000-09-18,16.3,16.3,16.3,16.3,16.3,,philippines,Philippines 10Y
2000-09-19,16.0,16.0,16.0,16.0,16.0,,philippines,Philippines 10Y
2000-09-20,15.975,15.975,15.975,15.975,15.975,,philippines,Philippines 10Y
2000-09-21,15.975,15.975,15.975,15.975,15.975,,philippines,Philippines 10Y
2000-09-22,15.5,15.5,15.5,15.5,15.5,,philippines,Philippines 10Y
2000-09-25,16.0,16.0,16.0,16.0,16.0,,philippines,Philippines 10Y
2000-09-26,16.0,16.0,16.0,16.0,16.0,,philippines,Philippines 10Y
2000-09-27,15.975,15.975,15.975,15.975,15.975,,philippines,Philippines 10Y
2000-09-28,15.5,15.5,15.5,15.5,15.5,,philippines,Philippines 10Y
2000-09-29,15.595,15.595,15.595,15.595,15.595,,philippines,Philippines 10Y
2000-10-02,16.0,16.0,16.0,16.0,16.0,,philippines,Philippines 10Y
2000-10-03,15.875,15.875,15.875,15.875,15.875,,philippines,Philippines 10Y
2000-10-04,15.975,15.975,15.975,15.975,15.975,,philippines,Philippines 10Y
2000-10-05,16.25,16.25,16.25,16.25,16.25,,philippines,Philippines 10Y
2000-10-06,16.5,16.5,16.5,16.5,16.5,,philippines,Philippines 10Y
2000-10-09,16.25,16.25,16.25,16.25,16.25,,philippines,Philippines 10Y
2000-10-11,16.475,16.475,16.475,16.475,16.475,,philippines,Philippines 10Y
2000-10-12,16.7,16.7,16.7,16.7,16.7,,philippines,Philippines 10Y
2000-10-13,18.875,18.875,18.875,18.875,18.875,,philippines,Philippines 10Y
2000-10-16,18.6,18.6,18.6,18.6,18.6,,philippines,Philippines 10Y
2000-10-17,16.5,16.5,16.5,16.5,16.5,,philippines,Philippines 10Y
2000-10-18,20.75,20.75,20.75,20.75,20.75,,philippines,Philippines 10Y
2000-10-19,20.75,20.75,20.75,20.75,20.75,,philippines,Philippines 10Y
2000-10-20,18.88,18.88,18.88,18.88,18.88,,philippines,Philippines 10Y
2000-10-23,20.7,20.7,20.7,20.7,20.7,,philippines,Philippines 10Y
2000-10-24,20.7,20.7,20.7,20.7,20.7,,philippines,Philippines 10Y
2000-10-25,19.75,19.75,19.75,19.75,19.75,,philippines,Philippines 10Y
2000-10-26,19.0,19.0,19.0,19.0,19.0,,philippines,Philippines 10Y
2000-10-27,18.854,18.854,18.854,18.854,18.854,,philippines,Philippines 10Y
2000-10-30,19.375,19.375,19.375,19.375,19.375,,philippines,Philippines 10Y
2000-11-07,18.729,18.729,18.729,18.729,18.729,,philippines,Philippines 10Y
2000-11-08,18.273,18.273,18.273,18.273,18.273,,philippines,Philippines 10Y
2000-11-09,18.5,18.5,18.5,18.5,18.5,,philippines,Philippines 10Y
2000-11-10,18.363,18.363,18.363,18.363,18.363,,philippines,Philippines 10Y
2000-11-13,18.25,18.25,18.25,18.25,18.25,,philippines,Philippines 10Y
2000-11-14,18.025,18.025,18.025,18.025,18.025,,philippines,Philippines 10Y
2000-11-15,17.655,17.655,17.655,17.655,17.655,,philippines,Philippines 10Y
2000-11-16,17.443,17.443,17.443,17.443,17.443,,philippines,Philippines 10Y
2000-11-17,17.432,17.432,17.432,17.432,17.432,,philippines,Philippines 10Y
2000-11-20,17.264,17.264,17.264,17.264,17.264,,philippines,Philippines 10Y
2000-11-21,17.255,17.255,17.255,17.255,17.255,,philippines,Philippines 10Y
2000-11-22,17.202,17.202,17.202,17.202,17.202,,philippines,Philippines 10Y
