Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-08-08,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-09,9.1,9.1,9.1,9.1,9.1,,philippines,Philippines 1M
2000-08-10,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-11,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-14,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-15,9.125,9.125,9.125,9.125,9.125,,philippines,Philippines 1M
2000-08-16,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-17,8.8,8.8,8.8,8.8,8.8,,philippines,Philippines 1M
2000-08-18,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-08-21,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-08-22,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-08-23,9.2,9.2,9.2,9.2,9.2,,philippines,Philippines 1M
2000-08-24,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-08-25,9.2,9.2,9.2,9.2,9.2,,philippines,Philippines 1M
2000-08-28,9.25,9.25,9.25,9.25,9.25,,philippines,Philippines 1M
2000-08-29,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-08-30,9.0,9.0,9.0,9.0,9.0,,philippines,Philippines 1M
2000-08-31,9.25,9.25,9.25,9.25,9.25,,philippines,Philippines 1M
2000-09-01,9.175,9.175,9.175,9.175,9.175,,philippines,Philippines 1M
2000-09-04,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-09-05,9.2,9.2,9.2,9.2,9.2,,philippines,Philippines 1M
2000-09-06,9.35,9.35,9.35,9.35,9.35,,philippines,Philippines 1M
2000-09-07,9.25,9.25,9.25,9.25,9.25,,philippines,Philippines 1M
2000-09-08,9.2,9.2,9.2,9.2,9.2,,philippines,Philippines 1M
2000-09-11,10.1,10.1,10.1,10.1,10.1,,philippines,Philippines 1M
2000-09-12,9.5,9.5,9.5,9.5,9.5,,philippines,Philippines 1M
2000-09-13,9.3,9.3,9.3,9.3,9.3,,philippines,Philippines 1M
2000-09-14,9.5,9.5,9.5,9.5,9.5,,philippines,Philippines 1M
2000-09-15,9.4,9.4,9.4,9.4,9.4,,philippines,Philippines 1M
2000-09-18,9.75,9.75,9.75,9.75,9.75,,philippines,Philippines 1M
2000-09-19,9.4,9.4,9.4,9.4,9.4,,philippines,Philippines 1M
2000-09-20,9.65,9.65,9.65,9.65,9.65,,philippines,Philippines 1M
2000-09-21,9.75,9.75,9.75,9.75,9.75,,philippines,Philippines 1M
2000-09-22,9.65,9.65,9.65,9.65,9.65,,philippines,Philippines 1M
2000-09-25,9.5,9.5,9.5,9.5,9.5,,philippines,Philippines 1M
2000-09-26,9.65,9.65,9.65,9.65,9.65,,philippines,Philippines 1M
2000-09-27,9.65,9.65,9.65,9.65,9.65,,philippines,Philippines 1M
2000-09-28,9.85,9.85,9.85,9.85,9.85,,philippines,Philippines 1M
2000-09-29,9.837,9.837,9.837,9.837,9.837,,philippines,Philippines 1M
2000-10-02,9.85,9.85,9.85,9.85,9.85,,philippines,Philippines 1M
2000-10-03,9.85,9.85,9.85,9.85,9.85,,philippines,Philippines 1M
2000-10-04,9.9,9.9,9.9,9.9,9.9,,philippines,Philippines 1M
2000-10-05,9.5,9.5,9.5,9.5,9.5,,philippines,Philippines 1M
2000-10-06,9.75,9.75,9.75,9.75,9.75,,philippines,Philippines 1M
2000-10-09,9.875,9.875,9.875,9.875,9.875,,philippines,Philippines 1M
2000-10-10,9.75,9.75,9.75,9.75,9.75,,philippines,Philippines 1M
2000-10-11,10.075,10.075,10.075,10.075,10.075,,philippines,Philippines 1M
2000-10-12,10.2,10.2,10.2,10.2,10.2,,philippines,Philippines 1M
2000-10-13,14.663,14.663,14.663,14.663,14.663,,philippines,Philippines 1M
2000-10-16,15.875,15.875,15.875,15.875,15.875,,philippines,Philippines 1M
2000-10-17,16.5,16.5,16.5,16.5,16.5,,philippines,Philippines 1M
2000-10-18,17.205,17.205,17.205,17.205,17.205,,philippines,Philippines 1M
2000-10-19,17.45,17.45,17.45,17.45,17.45,,philippines,Philippines 1M
2000-10-20,18.098,18.098,18.098,18.098,18.098,,philippines,Philippines 1M
2000-10-23,19.5,19.5,19.5,19.5,19.5,,philippines,Philippines 1M
2000-10-24,19.5,19.5,19.5,19.5,19.5,,philippines,Philippines 1M
2000-10-25,16.5,16.5,16.5,16.5,16.5,,philippines,Philippines 1M
2000-10-26,17.5,17.5,17.5,17.5,17.5,,philippines,Philippines 1M
2000-10-27,17.877,17.877,17.877,17.877,17.877,,philippines,Philippines 1M
2000-10-30,17.75,17.75,17.75,17.75,17.75,,philippines,Philippines 1M
2000-10-31,17.75,17.75,17.75,17.75,17.75,,philippines,Philippines 1M
2000-11-06,17.75,17.75,17.75,17.75,17.75,,philippines,Philippines 1M
2000-11-07,16.648,16.648,16.648,16.648,16.648,,philippines,Philippines 1M
2000-11-08,16.691,16.691,16.691,16.691,16.691,,philippines,Philippines 1M
2000-11-09,16.74,16.74,16.74,16.74,16.74,,philippines,Philippines 1M
2000-11-10,16.738,16.738,16.738,16.738,16.738,,philippines,Philippines 1M
2000-11-13,16.65,16.65,16.65,16.65,16.65,,philippines,Philippines 1M
2000-11-14,16.425,16.425,16.425,16.425,16.425,,philippines,Philippines 1M
2000-11-15,15.85,15.85,15.85,15.85,15.85,,philippines,Philippines 1M
2000-11-16,15.822,15.822,15.822,15.822,15.822,,philippines,Philippines 1M
2000-11-17,15.78,15.78,15.78,15.78,15.78,,philippines,Philippines 1M
2000-11-20,15.671,15.671,15.671,15.671,15.671,,philippines,Philippines 1M
2000-11-21,15.35,15.35,15.35,15.35,15.35,,philippines,Philippines 1M
2000-11-22,15.394,15.394,15.394,15.394,15.394,,philippines,Philippines 1M
2000-11-23,15.265,15.265,15.265,15.265,15.265,,philippines,Philippines 1M
2000-11-24,15.3,15.3,15.3,15.3,15.3,,philippines,Philippines 1M
2000-11-27,15.196,15.196,15.196,15.196,15.196,,philippines,Philippines 1M
2000-11-28,15.105,15.105,15.105,15.105,15.105,,philippines,Philippines 1M
2000-11-29,15.188,15.188,15.188,15.188,15.188,,philippines,Philippines 1M
2000-12-01,15.155,15.155,15.155,15.155,15.155,,philippines,Philippines 1M
2000-12-04,15.104,15.104,15.104,15.104,15.104,,philippines,Philippines 1M
2000-12-05,14.695,14.695,14.695,14.695,14.695,,philippines,Philippines 1M
2000-12-06,14.735,14.735,14.735,14.735,14.735,,philippines,Philippines 1M
2000-12-07,14.78,14.78,14.78,14.78,14.78,,philippines,Philippines 1M
2000-12-08,14.702,14.702,14.702,14.702,14.702,,philippines,Philippines 1M
2000-12-11,14.554,14.554,14.554,14.554,14.554,,philippines,Philippines 1M
2000-12-12,14.418,14.418,14.418,14.418,14.418,,philippines,Philippines 1M
2000-12-14,14.433,14.433,14.433,14.433,14.433,,philippines,Philippines 1M
2000-12-15,14.433,14.433,14.433,14.433,14.433,,philippines,Philippines 1M
2000-12-18,13.875,13.875,13.875,13.875,13.875,,philippines,Philippines 1M
2000-12-19,13.5,13.5,13.5,13.5,13.5,,philippines,Philippines 1M
2000-12-20,13.443,13.443,13.443,13.443,13.443,,philippines,Philippines 1M
2000-12-21,13.5,13.5,13.5,13.5,13.5,,philippines,Philippines 1M
2000-12-22,13.687,13.687,13.687,13.687,13.687,,philippines,Philippines 1M
2000-12-26,13.671,13.671,13.671,13.671,13.671,,philippines,Philippines 1M
2000-12-27,13.568,13.568,13.568,13.568,13.568,,philippines,Philippines 1M
2000-12-28,13.618,13.618,13.618,13.618,13.618,,philippines,Philippines 1M
2000-12-29,13.7,13.7,13.7,13.7,13.7,,philippines,Philippines 1M
2001-01-02,13.893,13.893,13.893,13.893,13.893,,philippines,Philippines 1M
2001-01-05,13.611,13.611,13.611,13.611,13.611,,philippines,Philippines 1M
2001-01-08,13.232,13.232,13.232,13.232,13.232,,philippines,Philippines 1M
2001-01-09,13.043,13.043,13.043,13.043,13.043,,philippines,Philippines 1M
2001-01-10,13.011,13.011,13.011,13.011,13.011,,philippines,Philippines 1M
2001-01-11,12.982,12.982,12.982,12.982,12.982,,philippines,Philippines 1M
2001-01-12,12.927,12.927,12.927,12.927,12.927,,philippines,Philippines 1M
2001-01-15,12.966,12.966,12.966,12.966,12.966,,philippines,Philippines 1M
2001-01-16,12.832,12.832,12.832,12.832,12.832,,philippines,Philippines 1M
2001-01-17,14.243,14.243,14.243,14.243,14.243,,philippines,Philippines 1M
2001-01-18,14.284,14.284,14.284,14.284,14.284,,philippines,Philippines 1M
2001-01-19,14.199,14.199,14.199,14.199,14.199,,philippines,Philippines 1M
2001-01-22,12.398,12.398,12.398,12.398,12.398,,philippines,Philippines 1M
2001-01-23,12.234,12.234,12.234,12.234,12.234,,philippines,Philippines 1M
2001-01-24,12.164,12.164,12.164,12.164,12.164,,philippines,Philippines 1M
2001-01-25,12.177,12.177,12.177,12.177,12.177,,philippines,Philippines 1M
2001-01-26,11.995,11.995,11.995,11.995,11.995,,philippines,Philippines 1M
2001-01-29,11.955,11.955,11.955,11.955,11.955,,philippines,Philippines 1M
2001-01-30,11.578,11.578,11.578,11.578,11.578,,philippines,Philippines 1M
2001-01-31,11.555,11.555,11.555,11.555,11.555,,philippines,Philippines 1M
2001-02-02,11.545,11.545,11.545,11.545,11.545,,philippines,Philippines 1M
2001-02-05,10.75,10.75,10.75,10.75,10.75,,philippines,Philippines 1M
2001-02-06,11.7,11.7,11.7,11.7,11.7,,philippines,Philippines 1M
2001-02-12,11.496,11.496,11.496,11.496,11.496,,philippines,Philippines 1M
2001-02-13,11.45,11.45,11.45,11.45,11.45,,philippines,Philippines 1M
2001-02-15,11.43,11.43,11.43,11.43,11.43,,philippines,Philippines 1M
2001-02-16,11.461,11.461,11.461,11.461,11.461,,philippines,Philippines 1M
2001-02-19,11.45,11.45,11.45,11.45,11.45,,philippines,Philippines 1M
2001-02-20,11.45,11.45,11.45,11.45,11.45,,philippines,Philippines 1M
2001-02-21,11.443,11.443,11.443,11.443,11.443,,philippines,Philippines 1M
2001-02-22,11.452,11.452,11.452,11.452,11.452,,philippines,Philippines 1M
2001-02-23,11.462,11.462,11.462,11.462,11.462,,philippines,Philippines 1M
2001-02-26,11.452,11.452,11.452,11.452,11.452,,philippines,Philippines 1M
2001-02-27,11.459,11.459,11.459,11.459,11.459,,philippines,Philippines 1M
