country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
philippines,Philippines 25Y,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Philippines 25Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
philippines,Philippines 25Y,2001,ok,193,01/01/2001,31/12/2001,,
philippines,Philippines 25Y,2002,ok,242,01/01/2002,31/12/2002,,
philippines,Philippines 25Y,2003,ok,243,01/01/2003,31/12/2003,,
philippines,Philippines 25Y,2004,ok,245,01/01/2004,31/12/2004,,
philippines,Philippines 25Y,2005,ok,246,01/01/2005,31/12/2005,,
philippines,Philippines 25Y,2006,ok,246,01/01/2006,31/12/2006,,
philippines,Philippines 25Y,2007,ok,244,01/01/2007,31/12/2007,,
philippines,Philippines 25Y,2008,ok,246,01/01/2008,31/12/2008,,
philippines,Philippines 25Y,2009,ok,242,01/01/2009,31/12/2009,,
philippines,Philippines 25Y,2010,ok,247,01/01/2010,31/12/2010,,
philippines,Philippines 25Y,2011,ok,249,01/01/2011,31/12/2011,,
philippines,Philippines 25Y,2012,ok,251,01/01/2012,31/12/2012,,
philippines,Philippines 25Y,2013,ok,266,01/01/2013,31/12/2013,,
philippines,Philippines 25Y,2014,ok,292,01/01/2014,31/12/2014,,
philippines,Philippines 25Y,2015,ok,274,01/01/2015,31/12/2015,,
philippines,Philippines 25Y,2016,ok,281,01/01/2016,31/12/2016,,
philippines,Philippines 25Y,2017,ok,277,01/01/2017,31/12/2017,,
philippines,Philippines 25Y,2018,ok,260,01/01/2018,31/12/2018,,
philippines,Philippines 25Y,2019,ok,260,01/01/2019,31/12/2019,,
philippines,Philippines 25Y,2020,ok,181,01/01/2020,31/12/2020,,
philippines,Philippines 25Y,2021,failed,0,01/01/2021,31/12/2021,"Failed to download Philippines 25Y from 01/01/2021 to 31/12/2021 after 60 attempts: ERR#0015: error 403, try again later.",
philippines,Philippines 25Y,2022,failed,0,01/01/2022,31/12/2022,"Failed to download Philippines 25Y from 01/01/2022 to 31/12/2022 after 60 attempts: ERR#0015: error 403, try again later.",
philippines,Philippines 25Y,2023,failed,0,01/01/2023,31/12/2023,Failed to download Philippines 25Y from 01/01/2023 to 31/12/2023 after 60 attempts: ERR#0069: bond information unavailable or not found.,
philippines,Philippines 25Y,2024,failed,0,01/01/2024,31/12/2024,Failed to download Philippines 25Y from 01/01/2024 to 31/12/2024 after 60 attempts: ERR#0069: bond information unavailable or not found.,
philippines,Philippines 25Y,2025,failed,0,01/01/2025,31/12/2025,"Failed to download Philippines 25Y from 01/01/2025 to 31/12/2025 after 60 attempts: ERR#0015: error 403, try again later.",
philippines,Philippines 25Y,2026,failed,0,01/01/2026,11/03/2026,"Failed to download Philippines 25Y from 01/01/2026 to 11/03/2026 after 60 attempts: ERR#0015: error 403, try again later.",
philippines,Philippines 25Y,2026,failed,0,01/01/2026,13/03/2026,Failed to download Philippines 25Y from 01/01/2026 to 13/03/2026 after 60 attempts: ERR#0069: bond information unavailable or not found.,2026-03-13 22:57:17
