Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-10-26,8.3,8.3,8.3,8.3,8.3,,south korea,South Korea 10Y
2000-10-27,8.24,8.24,8.24,8.24,8.24,,south korea,South Korea 10Y
2000-10-28,8.24,8.24,8.24,8.24,8.24,,south korea,South Korea 10Y
2000-10-30,8.22,8.22,8.22,8.22,8.22,,south korea,South Korea 10Y
2000-11-01,8.15,8.15,8.15,8.15,8.15,,south korea,South Korea 10Y
2000-11-02,8.17,8.17,8.17,8.17,8.17,,south korea,South Korea 10Y
2000-11-08,8.19,8.19,8.19,8.19,8.19,,south korea,South Korea 10Y
2000-11-09,8.0,8.0,8.0,8.0,8.0,,south korea,South Korea 10Y
2000-11-13,7.57,7.57,7.57,7.57,7.57,,south korea,South Korea 10Y
2000-11-16,7.73,7.73,7.73,7.73,7.73,,south korea,South Korea 10Y
2000-11-28,7.73,7.73,7.73,7.73,7.73,,south korea,South Korea 10Y
2000-11-29,7.72,7.72,7.72,7.72,7.72,,south korea,South Korea 10Y
2000-11-30,7.75,7.75,7.75,7.75,7.75,,south korea,South Korea 10Y
2000-12-01,7.63,7.63,7.63,7.63,7.63,,south korea,South Korea 10Y
2000-12-04,7.08,7.08,7.08,7.08,7.08,,south korea,South Korea 10Y
2000-12-05,7.07,7.07,7.07,7.07,7.07,,south korea,South Korea 10Y
2000-12-06,6.95,6.95,6.95,6.95,6.95,,south korea,South Korea 10Y
2000-12-08,6.86,6.86,6.86,6.86,6.86,,south korea,South Korea 10Y
2000-12-12,7.27,7.27,7.27,7.27,7.27,,south korea,South Korea 10Y
2000-12-13,7.3,7.3,7.3,7.3,7.3,,south korea,South Korea 10Y
2000-12-14,7.11,7.11,7.11,7.11,7.11,,south korea,South Korea 10Y
2000-12-15,7.08,7.08,7.08,7.08,7.08,,south korea,South Korea 10Y
2000-12-18,7.15,7.15,7.15,7.15,7.15,,south korea,South Korea 10Y
2000-12-20,7.2,7.2,7.2,7.2,7.2,,south korea,South Korea 10Y
2000-12-21,7.071,7.071,7.071,7.071,7.071,,south korea,South Korea 10Y
2000-12-26,7.065,7.065,7.065,7.065,7.065,,south korea,South Korea 10Y
2000-12-27,7.305,7.305,7.305,7.305,7.305,,south korea,South Korea 10Y
2000-12-29,7.26,7.26,7.26,7.26,7.26,,south korea,South Korea 10Y
2001-01-02,7.26,7.26,7.26,7.26,7.26,,south korea,South Korea 10Y
2001-01-04,6.87,6.87,6.87,6.87,6.87,,south korea,South Korea 10Y
2001-01-05,6.7,6.7,6.7,6.7,6.7,,south korea,South Korea 10Y
2001-01-08,6.62,6.62,6.62,6.62,6.62,,south korea,South Korea 10Y
2001-01-09,6.69,6.69,6.69,6.69,6.69,,south korea,South Korea 10Y
2001-01-10,6.66,6.66,6.66,6.66,6.66,,south korea,South Korea 10Y
2001-01-11,6.65,6.65,6.65,6.65,6.65,,south korea,South Korea 10Y
2001-01-12,6.55,6.55,6.55,6.55,6.55,,south korea,South Korea 10Y
2001-01-15,6.65,6.65,6.65,6.65,6.65,,south korea,South Korea 10Y
2001-01-16,6.6,6.6,6.6,6.6,6.6,,south korea,South Korea 10Y
2001-01-17,6.6,6.6,6.6,6.6,6.6,,south korea,South Korea 10Y
2001-01-18,6.5,6.5,6.5,6.5,6.5,,south korea,South Korea 10Y
2001-01-19,6.42,6.42,6.42,6.42,6.42,,south korea,South Korea 10Y
2001-01-31,6.55,6.55,6.55,6.55,6.55,,south korea,South Korea 10Y
