country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
south korea,South Korea 20Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download South Korea 20Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.,
south korea,South Korea 20Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download South Korea 20Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.,
south korea,South Korea 20Y,2002,failed,0,01/01/2002,31/12/2002,"Failed to download South Korea 20Y from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later.",
south korea,South Korea 20Y,2003,failed,0,01/01/2003,31/12/2003,Failed to download South Korea 20Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.,
south korea,South Korea 20Y,2004,failed,0,01/01/2004,31/12/2004,Failed to download South Korea 20Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0069: bond information unavailable or not found.,
south korea,South Korea 20Y,2005,failed,0,01/01/2005,31/12/2005,Failed to download South Korea 20Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.,
south korea,South Korea 20Y,2006,ok,230,01/01/2006,31/12/2006,,
south korea,South Korea 20Y,2007,ok,246,01/01/2007,31/12/2007,,
south korea,South Korea 20Y,2008,ok,187,01/01/2008,31/12/2008,,
south korea,South Korea 20Y,2009,ok,199,01/01/2009,31/12/2009,,
south korea,South Korea 20Y,2010,ok,246,01/01/2010,31/12/2010,,
south korea,South Korea 20Y,2011,ok,241,01/01/2011,31/12/2011,,
south korea,South Korea 20Y,2012,ok,254,01/01/2012,31/12/2012,,
south korea,South Korea 20Y,2013,ok,269,01/01/2013,31/12/2013,,
south korea,South Korea 20Y,2014,ok,273,01/01/2014,31/12/2014,,
south korea,South Korea 20Y,2015,ok,309,01/01/2015,31/12/2015,,
south korea,South Korea 20Y,2016,ok,307,01/01/2016,31/12/2016,,
south korea,South Korea 20Y,2017,ok,308,01/01/2017,31/12/2017,,
south korea,South Korea 20Y,2018,ok,340,01/01/2018,31/12/2018,,
south korea,South Korea 20Y,2019,ok,364,01/01/2019,31/12/2019,,
south korea,South Korea 20Y,2020,ok,362,01/01/2020,31/12/2020,,
south korea,South Korea 20Y,2021,ok,358,01/01/2021,31/12/2021,,
south korea,South Korea 20Y,2022,ok,357,01/01/2022,31/12/2022,,
south korea,South Korea 20Y,2023,ok,362,01/01/2023,31/12/2023,,
south korea,South Korea 20Y,2024,ok,269,01/01/2024,31/12/2024,,
south korea,South Korea 20Y,2025,ok,243,01/01/2025,31/12/2025,,
south korea,South Korea 20Y,2026,ok,45,01/01/2026,11/03/2026,,
south korea,South Korea 20Y,2026,ok,8,04/03/2026,13/03/2026,,2026-03-13 22:57:21
south korea,South Korea 20Y,2026,ok,10,06/03/2026,19/03/2026,,2026-03-19 10:24:43
