country,bond_name,year,status,rows,from_date,to_date
south korea,South Korea 4Y,2000,ok,132,01/01/2000,31/12/2000
south korea,South Korea 4Y,2001,ok,79,01/01/2001,31/12/2001
south korea,South Korea 4Y,2002,ok,148,01/01/2002,31/12/2002
south korea,South Korea 4Y,2003,ok,107,01/01/2003,31/12/2003
south korea,South Korea 4Y,2004,ok,212,01/01/2004,31/12/2004
south korea,South Korea 4Y,2005,ok,250,01/01/2005,31/12/2005
south korea,South Korea 4Y,2006,ok,248,01/01/2006,31/12/2006
south korea,South Korea 4Y,2007,ok,247,01/01/2007,31/12/2007
south korea,South Korea 4Y,2008,ok,232,01/01/2008,31/12/2008
south korea,South Korea 4Y,2009,ok,234,01/01/2009,31/12/2009
south korea,South Korea 4Y,2010,ok,250,01/01/2010,31/12/2010
south korea,South Korea 4Y,2011,ok,248,01/01/2011,31/12/2011
south korea,South Korea 4Y,2012,ok,260,01/01/2012,31/12/2012
south korea,South Korea 4Y,2013,ok,290,01/01/2013,31/12/2013
south korea,South Korea 4Y,2014,ok,269,01/01/2014,31/12/2014
south korea,South Korea 4Y,2015,ok,291,01/01/2015,31/12/2015
south korea,South Korea 4Y,2016,ok,280,01/01/2016,31/12/2016
south korea,South Korea 4Y,2017,ok,275,01/01/2017,31/12/2017
south korea,South Korea 4Y,2018,ok,321,01/01/2018,31/12/2018
south korea,South Korea 4Y,2019,ok,363,01/01/2019,31/12/2019
south korea,South Korea 4Y,2020,ok,363,01/01/2020,31/12/2020
south korea,South Korea 4Y,2021,ok,358,01/01/2021,31/12/2021
south korea,South Korea 4Y,2022,ok,357,01/01/2022,31/12/2022
south korea,South Korea 4Y,2023,ok,363,01/01/2023,31/12/2023
south korea,South Korea 4Y,2024,ok,269,01/01/2024,31/12/2024
south korea,South Korea 4Y,2025,ok,243,01/01/2025,31/12/2025
south korea,South Korea 4Y,2026,ok,45,01/01/2026,11/03/2026
