country,bond_name,year,status,rows,from_date,to_date,update_run_timestamp
south korea,South Korea 5Y,2000,ok,295,01/01/2000,31/12/2000,
south korea,South Korea 5Y,2001,ok,237,01/01/2001,31/12/2001,
south korea,South Korea 5Y,2002,ok,206,01/01/2002,31/12/2002,
south korea,South Korea 5Y,2003,ok,226,01/01/2003,31/12/2003,
south korea,South Korea 5Y,2004,ok,257,01/01/2004,31/12/2004,
south korea,South Korea 5Y,2005,ok,301,01/01/2005,31/12/2005,
south korea,South Korea 5Y,2006,ok,257,01/01/2006,31/12/2006,
south korea,South Korea 5Y,2007,ok,247,01/01/2007,31/12/2007,
south korea,South Korea 5Y,2008,ok,248,01/01/2008,31/12/2008,
south korea,South Korea 5Y,2009,ok,252,01/01/2009,31/12/2009,
south korea,South Korea 5Y,2010,ok,252,01/01/2010,31/12/2010,
south korea,South Korea 5Y,2011,ok,249,01/01/2011,31/12/2011,
south korea,South Korea 5Y,2012,ok,267,01/01/2012,31/12/2012,
south korea,South Korea 5Y,2013,ok,306,01/01/2013,31/12/2013,
south korea,South Korea 5Y,2014,ok,276,01/01/2014,31/12/2014,
south korea,South Korea 5Y,2015,ok,308,01/01/2015,31/12/2015,
south korea,South Korea 5Y,2016,ok,306,01/01/2016,31/12/2016,
south korea,South Korea 5Y,2017,ok,309,01/01/2017,31/12/2017,
south korea,South Korea 5Y,2018,ok,341,01/01/2018,31/12/2018,
south korea,South Korea 5Y,2019,ok,364,01/01/2019,31/12/2019,
south korea,South Korea 5Y,2020,ok,362,01/01/2020,31/12/2020,
south korea,South Korea 5Y,2021,ok,358,01/01/2021,31/12/2021,
south korea,South Korea 5Y,2022,ok,357,01/01/2022,31/12/2022,
south korea,South Korea 5Y,2023,ok,363,01/01/2023,31/12/2023,
south korea,South Korea 5Y,2024,ok,269,01/01/2024,31/12/2024,
south korea,South Korea 5Y,2025,ok,243,01/01/2025,31/12/2025,
south korea,South Korea 5Y,2026,ok,45,01/01/2026,11/03/2026,
south korea,South Korea 5Y,2026,ok,8,04/03/2026,13/03/2026,2026-03-13 22:57:23
