Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,1.37,1.37,1.37,1.37,1.37,,switzerland,Switzerland 1M
2000-01-05,1.29,1.29,1.29,1.29,1.29,,switzerland,Switzerland 1M
2000-01-06,1.32,1.32,1.32,1.32,1.32,,switzerland,Switzerland 1M
2000-01-07,1.35,1.35,1.35,1.35,1.35,,switzerland,Switzerland 1M
2000-01-10,1.46,1.46,1.46,1.46,1.46,,switzerland,Switzerland 1M
2000-01-11,1.35,1.35,1.35,1.35,1.35,,switzerland,Switzerland 1M
2000-01-12,1.34,1.34,1.34,1.34,1.34,,switzerland,Switzerland 1M
2000-01-13,1.44,1.44,1.44,1.44,1.44,,switzerland,Switzerland 1M
2000-01-14,1.38,1.38,1.38,1.38,1.38,,switzerland,Switzerland 1M
2000-01-17,1.44,1.44,1.44,1.44,1.44,,switzerland,Switzerland 1M
2000-01-18,1.51,1.51,1.51,1.51,1.51,,switzerland,Switzerland 1M
2000-01-19,1.45,1.45,1.45,1.45,1.45,,switzerland,Switzerland 1M
2000-01-20,1.51,1.51,1.51,1.51,1.51,,switzerland,Switzerland 1M
2000-01-21,1.57,1.57,1.57,1.57,1.57,,switzerland,Switzerland 1M
2000-01-24,1.65,1.65,1.65,1.65,1.65,,switzerland,Switzerland 1M
2000-01-25,1.59,1.59,1.59,1.59,1.59,,switzerland,Switzerland 1M
2000-01-26,1.62,1.62,1.62,1.62,1.62,,switzerland,Switzerland 1M
2000-01-27,1.72,1.72,1.72,1.72,1.72,,switzerland,Switzerland 1M
2000-01-28,1.81,1.81,1.81,1.81,1.81,,switzerland,Switzerland 1M
2000-01-31,2.01,2.01,2.01,2.01,2.01,,switzerland,Switzerland 1M
2000-02-01,2.02,2.02,2.02,2.02,2.02,,switzerland,Switzerland 1M
2000-02-02,1.9,1.9,1.9,1.9,1.9,,switzerland,Switzerland 1M
2000-02-03,2.07,2.07,2.07,2.07,2.07,,switzerland,Switzerland 1M
