country,bond_name,year,status,rows,from_date,to_date,error
switzerland,Switzerland 1W,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Switzerland 1W from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2001,failed,0,01/01/2001,31/12/2001,Failed to download Switzerland 1W from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.
switzerland,Switzerland 1W,2002,failed,0,01/01/2002,31/12/2002,"Failed to download Switzerland 1W from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Switzerland 1W from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Switzerland 1W from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2005,failed,0,01/01/2005,31/12/2005,Failed to download Switzerland 1W from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.
switzerland,Switzerland 1W,2006,failed,0,01/01/2006,31/12/2006,"Failed to download Switzerland 1W from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2007,failed,0,01/01/2007,31/12/2007,"Failed to download Switzerland 1W from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2008,failed,0,01/01/2008,31/12/2008,"Failed to download Switzerland 1W from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2009,failed,0,01/01/2009,31/12/2009,"Failed to download Switzerland 1W from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0015: error 403, try again later."
switzerland,Switzerland 1W,2010,ok,153,01/01/2010,31/12/2010,
switzerland,Switzerland 1W,2011,ok,252,01/01/2011,31/12/2011,
switzerland,Switzerland 1W,2012,ok,334,01/01/2012,31/12/2012,
switzerland,Switzerland 1W,2013,ok,316,01/01/2013,31/12/2013,
switzerland,Switzerland 1W,2014,ok,324,01/01/2014,31/12/2014,
switzerland,Switzerland 1W,2015,ok,314,01/01/2015,31/12/2015,
switzerland,Switzerland 1W,2016,ok,316,01/01/2016,31/12/2016,
switzerland,Switzerland 1W,2017,ok,315,01/01/2017,31/12/2017,
switzerland,Switzerland 1W,2018,ok,347,01/01/2018,31/12/2018,
switzerland,Switzerland 1W,2019,ok,365,01/01/2019,31/12/2019,
switzerland,Switzerland 1W,2020,ok,365,01/01/2020,31/12/2020,
switzerland,Switzerland 1W,2021,ok,364,01/01/2021,31/12/2021,
switzerland,Switzerland 1W,2022,ok,364,01/01/2022,31/12/2022,
switzerland,Switzerland 1W,2023,ok,364,01/01/2023,31/12/2023,
switzerland,Switzerland 1W,2024,ok,294,01/01/2024,31/12/2024,
switzerland,Switzerland 1W,2025,ok,256,01/01/2025,31/12/2025,
switzerland,Switzerland 1W,2026,ok,48,01/01/2026,11/03/2026,
