country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
switzerland,Switzerland 50Y,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Switzerland 50Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download Switzerland 50Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2002,failed,0,01/01/2002,31/12/2002,Failed to download Switzerland 50Y from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2003,failed,0,01/01/2003,31/12/2003,Failed to download Switzerland 50Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2004,failed,0,01/01/2004,31/12/2004,Failed to download Switzerland 50Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Switzerland 50Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2006,failed,0,01/01/2006,31/12/2006,"Failed to download Switzerland 50Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2007,failed,0,01/01/2007,31/12/2007,"Failed to download Switzerland 50Y from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2008,failed,0,01/01/2008,31/12/2008,Failed to download Switzerland 50Y from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2009,failed,0,01/01/2009,31/12/2009,Failed to download Switzerland 50Y from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2010,failed,0,01/01/2010,31/12/2010,"Failed to download Switzerland 50Y from 01/01/2010 to 31/12/2010 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2011,failed,0,01/01/2011,31/12/2011,"Failed to download Switzerland 50Y from 01/01/2011 to 31/12/2011 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2012,failed,0,01/01/2012,31/12/2012,Failed to download Switzerland 50Y from 01/01/2012 to 31/12/2012 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2013,failed,0,01/01/2013,31/12/2013,Failed to download Switzerland 50Y from 01/01/2013 to 31/12/2013 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2014,ok,36,01/01/2014,31/12/2014,,
switzerland,Switzerland 50Y,2015,ok,243,01/01/2015,31/12/2015,,
switzerland,Switzerland 50Y,2016,ok,254,01/01/2016,31/12/2016,,
switzerland,Switzerland 50Y,2017,ok,254,01/01/2017,31/12/2017,,
switzerland,Switzerland 50Y,2018,ok,257,01/01/2018,31/12/2018,,
switzerland,Switzerland 50Y,2019,ok,249,01/01/2019,31/12/2019,,
switzerland,Switzerland 50Y,2020,ok,252,01/01/2020,31/12/2020,,
switzerland,Switzerland 50Y,2021,ok,69,01/01/2021,31/12/2021,,
switzerland,Switzerland 50Y,2022,failed,0,01/01/2022,31/12/2022,Failed to download Switzerland 50Y from 01/01/2022 to 31/12/2022 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2023,failed,0,01/01/2023,31/12/2023,Failed to download Switzerland 50Y from 01/01/2023 to 31/12/2023 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2024,failed,0,01/01/2024,31/12/2024,"Failed to download Switzerland 50Y from 01/01/2024 to 31/12/2024 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2025,failed,0,01/01/2025,31/12/2025,Failed to download Switzerland 50Y from 01/01/2025 to 31/12/2025 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland 50Y,2026,failed,0,01/01/2026,11/03/2026,"Failed to download Switzerland 50Y from 01/01/2026 to 11/03/2026 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland 50Y,2026,failed,0,01/01/2026,13/03/2026,"Failed to download Switzerland 50Y from 01/01/2026 to 13/03/2026 after 60 attempts: ERR#0015: error 403, try again later.",2026-03-13 22:58:44
switzerland,Switzerland 50Y,2026,failed,0,01/01/2026,19/03/2026,Failed to download Switzerland 50Y from 01/01/2026 to 19/03/2026 after 60 attempts: ERR#0069: bond information unavailable or not found.,2026-03-19 10:25:53
