Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,3.2,3.2,3.2,3.2,3.2,,switzerland,Switzerland 7Y
2000-01-05,3.207,3.207,3.207,3.207,3.207,,switzerland,Switzerland 7Y
2000-01-06,3.241,3.241,3.241,3.241,3.241,,switzerland,Switzerland 7Y
2000-01-07,3.197,3.197,3.197,3.197,3.197,,switzerland,Switzerland 7Y
2000-01-10,3.188,3.188,3.188,3.188,3.188,,switzerland,Switzerland 7Y
2000-01-11,3.239,3.239,3.239,3.239,3.239,,switzerland,Switzerland 7Y
2000-01-12,3.221,3.221,3.221,3.221,3.221,,switzerland,Switzerland 7Y
2000-01-13,3.22,3.22,3.22,3.22,3.22,,switzerland,Switzerland 7Y
2000-01-14,3.177,3.177,3.177,3.177,3.177,,switzerland,Switzerland 7Y
2000-01-17,3.211,3.211,3.211,3.211,3.211,,switzerland,Switzerland 7Y
2000-01-18,3.253,3.253,3.253,3.253,3.253,,switzerland,Switzerland 7Y
2000-01-19,3.261,3.261,3.261,3.261,3.261,,switzerland,Switzerland 7Y
2000-01-20,3.304,3.304,3.304,3.304,3.304,,switzerland,Switzerland 7Y
2000-01-21,3.321,3.321,3.321,3.321,3.321,,switzerland,Switzerland 7Y
2000-01-24,3.346,3.346,3.346,3.346,3.346,,switzerland,Switzerland 7Y
2000-01-25,3.337,3.337,3.337,3.337,3.337,,switzerland,Switzerland 7Y
2000-01-26,3.317,3.317,3.317,3.317,3.317,,switzerland,Switzerland 7Y
2000-01-27,3.362,3.362,3.362,3.362,3.362,,switzerland,Switzerland 7Y
2000-01-28,3.405,3.405,3.405,3.405,3.405,,switzerland,Switzerland 7Y
2000-01-31,3.37,3.37,3.37,3.37,3.37,,switzerland,Switzerland 7Y
2000-02-01,3.308,3.308,3.308,3.308,3.308,,switzerland,Switzerland 7Y
2000-02-02,3.316,3.316,3.316,3.316,3.316,,switzerland,Switzerland 7Y
2000-02-03,3.315,3.315,3.315,3.315,3.315,,switzerland,Switzerland 7Y
2000-02-04,3.332,3.332,3.332,3.332,3.332,,switzerland,Switzerland 7Y
2000-02-07,3.35,3.35,3.35,3.35,3.35,,switzerland,Switzerland 7Y
2000-02-08,3.332,3.332,3.332,3.332,3.332,,switzerland,Switzerland 7Y
2000-02-09,3.339,3.339,3.339,3.339,3.339,,switzerland,Switzerland 7Y
2000-02-10,3.365,3.365,3.365,3.365,3.365,,switzerland,Switzerland 7Y
2000-02-11,3.365,3.365,3.365,3.365,3.365,,switzerland,Switzerland 7Y
2000-02-14,3.338,3.338,3.338,3.338,3.338,,switzerland,Switzerland 7Y
2000-02-15,3.39,3.39,3.39,3.39,3.39,,switzerland,Switzerland 7Y
2000-02-16,3.469,3.469,3.469,3.469,3.469,,switzerland,Switzerland 7Y
