Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2006-10-20,1.64,1.64,1.64,1.64,1.64,,switzerland,Switzerland Overnight
2006-10-23,1.58,1.58,1.58,1.58,1.58,,switzerland,Switzerland Overnight
2006-10-24,1.58,1.58,1.58,1.58,1.58,,switzerland,Switzerland Overnight
2006-10-25,1.57,1.57,1.57,1.57,1.57,,switzerland,Switzerland Overnight
2006-10-26,1.48,1.48,1.48,1.48,1.48,,switzerland,Switzerland Overnight
2006-10-27,1.53,1.53,1.53,1.53,1.53,,switzerland,Switzerland Overnight
2006-10-30,1.53,1.53,1.53,1.53,1.53,,switzerland,Switzerland Overnight
2006-10-31,1.58,1.58,1.58,1.58,1.58,,switzerland,Switzerland Overnight
2006-11-01,1.65,1.65,1.65,1.65,1.65,,switzerland,Switzerland Overnight
2006-11-02,1.63,1.63,1.63,1.63,1.63,,switzerland,Switzerland Overnight
2006-11-03,1.62,1.62,1.62,1.62,1.62,,switzerland,Switzerland Overnight
2006-11-06,1.7,1.7,1.7,1.7,1.7,,switzerland,Switzerland Overnight
2006-11-07,1.71,1.71,1.71,1.71,1.71,,switzerland,Switzerland Overnight
2006-11-08,1.7,1.7,1.7,1.7,1.7,,switzerland,Switzerland Overnight
2006-11-09,1.6,1.6,1.6,1.6,1.6,,switzerland,Switzerland Overnight
2006-11-10,1.7,1.7,1.7,1.7,1.7,,switzerland,Switzerland Overnight
2006-11-13,1.68,1.68,1.68,1.68,1.68,,switzerland,Switzerland Overnight
2006-11-14,1.88,1.88,1.88,1.88,1.88,,switzerland,Switzerland Overnight
2006-11-15,1.78,1.78,1.78,1.78,1.78,,switzerland,Switzerland Overnight
2006-11-16,1.85,1.85,1.85,1.85,1.85,,switzerland,Switzerland Overnight
2006-11-17,2.03,2.03,2.03,2.03,2.03,,switzerland,Switzerland Overnight
2006-11-20,1.78,1.78,1.78,1.78,1.78,,switzerland,Switzerland Overnight
2006-11-21,1.63,1.63,1.63,1.63,1.63,,switzerland,Switzerland Overnight
2006-11-22,1.68,1.68,1.68,1.68,1.68,,switzerland,Switzerland Overnight
2006-11-23,1.74,1.74,1.74,1.74,1.74,,switzerland,Switzerland Overnight
2006-11-24,1.63,1.63,1.63,1.63,1.63,,switzerland,Switzerland Overnight
2006-11-27,1.68,1.68,1.68,1.68,1.68,,switzerland,Switzerland Overnight
2006-11-28,1.78,1.78,1.78,1.78,1.78,,switzerland,Switzerland Overnight
2006-11-29,1.77,1.77,1.77,1.77,1.77,,switzerland,Switzerland Overnight
2006-11-30,1.76,1.76,1.76,1.76,1.76,,switzerland,Switzerland Overnight
2006-12-01,1.68,1.68,1.68,1.68,1.68,,switzerland,Switzerland Overnight
2006-12-04,1.6,1.6,1.6,1.6,1.6,,switzerland,Switzerland Overnight
2006-12-05,1.63,1.63,1.63,1.63,1.63,,switzerland,Switzerland Overnight
2006-12-06,1.18,1.18,1.18,1.18,1.18,,switzerland,Switzerland Overnight
2006-12-07,1.44,1.44,1.44,1.44,1.44,,switzerland,Switzerland Overnight
2006-12-08,1.53,1.53,1.53,1.53,1.53,,switzerland,Switzerland Overnight
2006-12-11,1.61,1.61,1.61,1.61,1.61,,switzerland,Switzerland Overnight
