country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
switzerland,Switzerland Overnight,2000,failed,0,01/01/2000,31/12/2000,"Failed to download Switzerland Overnight from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0015: error 403, try again later.",
switzerland,Switzerland Overnight,2001,failed,0,01/01/2001,31/12/2001,Failed to download Switzerland Overnight from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland Overnight,2002,failed,0,01/01/2002,31/12/2002,Failed to download Switzerland Overnight from 01/01/2002 to 31/12/2002 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland Overnight,2003,failed,0,01/01/2003,31/12/2003,Failed to download Switzerland Overnight from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland Overnight,2004,failed,0,01/01/2004,31/12/2004,Failed to download Switzerland Overnight from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland Overnight,2005,failed,0,01/01/2005,31/12/2005,Failed to download Switzerland Overnight from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0069: bond information unavailable or not found.,
switzerland,Switzerland Overnight,2006,ok,49,01/01/2006,31/12/2006,,
switzerland,Switzerland Overnight,2007,ok,251,01/01/2007,31/12/2007,,
switzerland,Switzerland Overnight,2008,ok,248,01/01/2008,31/12/2008,,
switzerland,Switzerland Overnight,2009,ok,251,01/01/2009,31/12/2009,,
switzerland,Switzerland Overnight,2010,ok,242,01/01/2010,31/12/2010,,
switzerland,Switzerland Overnight,2011,ok,242,01/01/2011,31/12/2011,,
switzerland,Switzerland Overnight,2012,ok,320,01/01/2012,31/12/2012,,
switzerland,Switzerland Overnight,2013,ok,319,01/01/2013,31/12/2013,,
switzerland,Switzerland Overnight,2014,ok,334,01/01/2014,31/12/2014,,
switzerland,Switzerland Overnight,2015,ok,282,01/01/2015,31/12/2015,,
switzerland,Switzerland Overnight,2016,ok,315,01/01/2016,31/12/2016,,
switzerland,Switzerland Overnight,2017,ok,315,01/01/2017,31/12/2017,,
switzerland,Switzerland Overnight,2018,ok,360,01/01/2018,31/12/2018,,
switzerland,Switzerland Overnight,2019,ok,364,01/01/2019,31/12/2019,,
switzerland,Switzerland Overnight,2020,ok,364,01/01/2020,31/12/2020,,
switzerland,Switzerland Overnight,2021,ok,364,01/01/2021,31/12/2021,,
switzerland,Switzerland Overnight,2022,ok,360,01/01/2022,31/12/2022,,
switzerland,Switzerland Overnight,2023,ok,364,01/01/2023,31/12/2023,,
switzerland,Switzerland Overnight,2024,ok,287,01/01/2024,31/12/2024,,
switzerland,Switzerland Overnight,2025,ok,241,01/01/2025,31/12/2025,,
switzerland,Switzerland Overnight,2026,ok,48,01/01/2026,11/03/2026,,
switzerland,Switzerland Overnight,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:58:52
switzerland,Switzerland Overnight,2026,ok,9,06/03/2026,19/03/2026,,2026-03-19 10:25:55
