Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,6.105,6.105,6.105,6.105,6.105,,taiwan,Taiwan 10Y
2000-01-06,6.095,6.095,6.095,6.095,6.095,,taiwan,Taiwan 10Y
2000-01-07,6.092,6.092,6.092,6.092,6.092,,taiwan,Taiwan 10Y
2000-01-10,6.099,6.099,6.099,6.099,6.099,,taiwan,Taiwan 10Y
2000-01-11,6.097,6.097,6.097,6.097,6.097,,taiwan,Taiwan 10Y
2000-01-12,6.091,6.091,6.091,6.091,6.091,,taiwan,Taiwan 10Y
2000-01-13,6.105,6.105,6.105,6.105,6.105,,taiwan,Taiwan 10Y
2000-01-14,6.11,6.11,6.11,6.11,6.11,,taiwan,Taiwan 10Y
2000-01-15,6.13,6.13,6.13,6.13,6.13,,taiwan,Taiwan 10Y
2000-01-17,6.07,6.07,6.07,6.07,6.07,,taiwan,Taiwan 10Y
2000-01-18,6.045,6.045,6.045,6.045,6.045,,taiwan,Taiwan 10Y
2000-01-19,6.041,6.041,6.041,6.041,6.041,,taiwan,Taiwan 10Y
2000-01-20,6.047,6.047,6.047,6.047,6.047,,taiwan,Taiwan 10Y
2000-01-21,6.05,6.05,6.05,6.05,6.05,,taiwan,Taiwan 10Y
2000-01-24,6.053,6.053,6.053,6.053,6.053,,taiwan,Taiwan 10Y
2000-01-25,6.031,6.031,6.031,6.031,6.031,,taiwan,Taiwan 10Y
2000-01-26,6.02,6.02,6.02,6.02,6.02,,taiwan,Taiwan 10Y
2000-01-27,5.98,5.98,5.98,5.98,5.98,,taiwan,Taiwan 10Y
2000-01-28,5.965,5.965,5.965,5.965,5.965,,taiwan,Taiwan 10Y
2000-01-29,5.963,5.963,5.963,5.963,5.963,,taiwan,Taiwan 10Y
2000-01-31,5.935,5.935,5.935,5.935,5.935,,taiwan,Taiwan 10Y
2000-02-01,5.97,5.97,5.97,5.97,5.97,,taiwan,Taiwan 10Y
2000-02-02,5.945,5.945,5.945,5.945,5.945,,taiwan,Taiwan 10Y
2000-02-08,5.95,5.95,5.95,5.95,5.95,,taiwan,Taiwan 10Y
2000-02-09,5.92,5.92,5.92,5.92,5.92,,taiwan,Taiwan 10Y
2000-02-10,5.925,5.925,5.925,5.925,5.925,,taiwan,Taiwan 10Y
2000-02-11,5.92,5.92,5.92,5.92,5.92,,taiwan,Taiwan 10Y
