Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2001-01-16,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-01-17,6.15,6.15,6.15,6.15,6.15,,thailand,Thailand 14Y
2001-01-18,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-01-19,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-01-23,6.07,6.07,6.07,6.07,6.07,,thailand,Thailand 14Y
2001-01-24,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-01-25,5.98,5.98,5.98,5.98,5.98,,thailand,Thailand 14Y
2001-01-26,5.98,5.98,5.98,5.98,5.98,,thailand,Thailand 14Y
2001-01-29,5.95,5.95,5.95,5.95,5.95,,thailand,Thailand 14Y
2001-01-30,5.85,5.85,5.85,5.85,5.85,,thailand,Thailand 14Y
2001-01-31,5.62,5.62,5.62,5.62,5.62,,thailand,Thailand 14Y
2001-02-01,5.4,5.4,5.4,5.4,5.4,,thailand,Thailand 14Y
2001-02-02,5.22,5.22,5.22,5.22,5.22,,thailand,Thailand 14Y
2001-02-05,5.2,5.2,5.2,5.2,5.2,,thailand,Thailand 14Y
2001-02-06,5.1,5.1,5.1,5.1,5.1,,thailand,Thailand 14Y
2001-02-07,5.02,5.02,5.02,5.02,5.02,,thailand,Thailand 14Y
2001-02-09,4.93,4.93,4.93,4.93,4.93,,thailand,Thailand 14Y
2001-02-12,4.89,4.89,4.89,4.89,4.89,,thailand,Thailand 14Y
2001-02-13,4.86,4.86,4.86,4.86,4.86,,thailand,Thailand 14Y
2001-02-14,4.79,4.79,4.79,4.79,4.79,,thailand,Thailand 14Y
2001-02-15,4.78,4.78,4.78,4.78,4.78,,thailand,Thailand 14Y
2001-02-16,4.8,4.8,4.8,4.8,4.8,,thailand,Thailand 14Y
2001-02-19,4.8,4.8,4.8,4.8,4.8,,thailand,Thailand 14Y
2001-02-20,4.8,4.8,4.8,4.8,4.8,,thailand,Thailand 14Y
2001-02-21,4.79,4.79,4.79,4.79,4.79,,thailand,Thailand 14Y
2001-02-22,4.87,4.87,4.87,4.87,4.87,,thailand,Thailand 14Y
2001-02-23,4.92,4.92,4.92,4.92,4.92,,thailand,Thailand 14Y
2001-02-26,5.35,5.35,5.35,5.35,5.35,,thailand,Thailand 14Y
2001-02-27,5.35,5.35,5.35,5.35,5.35,,thailand,Thailand 14Y
2001-02-28,5.54,5.54,5.54,5.54,5.54,,thailand,Thailand 14Y
2001-03-01,5.6,5.6,5.6,5.6,5.6,,thailand,Thailand 14Y
2001-03-02,5.6,5.6,5.6,5.6,5.6,,thailand,Thailand 14Y
2001-03-05,5.66,5.66,5.66,5.66,5.66,,thailand,Thailand 14Y
2001-03-06,5.65,5.65,5.65,5.65,5.65,,thailand,Thailand 14Y
2001-03-07,6.2,6.2,6.2,6.2,6.2,,thailand,Thailand 14Y
2001-03-08,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-03-09,5.9,5.9,5.9,5.9,5.9,,thailand,Thailand 14Y
2001-03-12,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-03-15,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-03-16,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-03-19,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-03-20,5.9,5.9,5.9,5.9,5.9,,thailand,Thailand 14Y
2001-03-21,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-03-22,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-03-26,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-03-28,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-03-30,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-04-02,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-04-03,6.35,6.35,6.35,6.35,6.35,,thailand,Thailand 14Y
2001-04-04,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-04-05,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-04-09,6.35,6.35,6.35,6.35,6.35,,thailand,Thailand 14Y
2001-04-10,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-04-11,6.25,6.25,6.25,6.25,6.25,,thailand,Thailand 14Y
2001-04-12,6.15,6.15,6.15,6.15,6.15,,thailand,Thailand 14Y
2001-04-17,6.07,6.07,6.07,6.07,6.07,,thailand,Thailand 14Y
2001-04-18,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-04-19,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-04-20,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-04-23,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-04-24,6.02,6.02,6.02,6.02,6.02,,thailand,Thailand 14Y
2001-04-25,6.0,6.0,6.0,6.0,6.0,,thailand,Thailand 14Y
2001-04-27,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-04-30,6.15,6.15,6.15,6.15,6.15,,thailand,Thailand 14Y
2001-05-04,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-05-09,6.17,6.17,6.17,6.17,6.17,,thailand,Thailand 14Y
2001-05-10,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-05-11,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-05-14,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-05-15,6.15,6.15,6.15,6.15,6.15,,thailand,Thailand 14Y
2001-05-17,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-05-18,6.08,6.08,6.08,6.08,6.08,,thailand,Thailand 14Y
2001-05-21,6.07,6.07,6.07,6.07,6.07,,thailand,Thailand 14Y
2001-05-22,6.1,6.1,6.1,6.1,6.1,,thailand,Thailand 14Y
2001-05-23,6.065,6.065,6.065,6.065,6.065,,thailand,Thailand 14Y
2001-05-24,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-05-25,6.05,6.05,6.05,6.05,6.05,,thailand,Thailand 14Y
2001-05-28,6.02,6.02,6.02,6.02,6.02,,thailand,Thailand 14Y
2001-05-29,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-05-30,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-05-31,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-06-01,6.5,6.5,6.5,6.5,6.5,,thailand,Thailand 14Y
2001-06-04,6.6,6.6,6.6,6.6,6.6,,thailand,Thailand 14Y
2001-06-05,6.7,6.7,6.7,6.7,6.7,,thailand,Thailand 14Y
2001-06-06,6.7,6.7,6.7,6.7,6.7,,thailand,Thailand 14Y
2001-06-07,6.75,6.75,6.75,6.75,6.75,,thailand,Thailand 14Y
2001-06-08,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-06-11,6.6,6.6,6.6,6.6,6.6,,thailand,Thailand 14Y
2001-06-12,6.5,6.5,6.5,6.5,6.5,,thailand,Thailand 14Y
2001-06-13,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-06-14,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-06-15,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-06-19,6.3,6.3,6.3,6.3,6.3,,thailand,Thailand 14Y
2001-06-20,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-06-21,6.75,6.75,6.75,6.75,6.75,,thailand,Thailand 14Y
2001-06-22,6.7,6.7,6.7,6.7,6.7,,thailand,Thailand 14Y
2001-06-25,6.75,6.75,6.75,6.75,6.75,,thailand,Thailand 14Y
2001-06-26,6.7,6.7,6.7,6.7,6.7,,thailand,Thailand 14Y
2001-06-28,6.7,6.7,6.7,6.7,6.7,,thailand,Thailand 14Y
2001-06-29,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-07-03,6.6,6.6,6.6,6.6,6.6,,thailand,Thailand 14Y
2001-07-04,6.5,6.5,6.5,6.5,6.5,,thailand,Thailand 14Y
2001-07-05,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-07-09,6.46,6.46,6.46,6.46,6.46,,thailand,Thailand 14Y
2001-07-10,6.53,6.53,6.53,6.53,6.53,,thailand,Thailand 14Y
2001-07-11,6.42,6.42,6.42,6.42,6.42,,thailand,Thailand 14Y
2001-07-13,6.5,6.5,6.5,6.5,6.5,,thailand,Thailand 14Y
2001-07-17,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-07-18,6.52,6.52,6.52,6.52,6.52,,thailand,Thailand 14Y
2001-07-19,6.52,6.52,6.52,6.52,6.52,,thailand,Thailand 14Y
2001-07-23,6.4,6.4,6.4,6.4,6.4,,thailand,Thailand 14Y
2001-07-24,6.6,6.6,6.6,6.6,6.6,,thailand,Thailand 14Y
2001-07-25,6.55,6.55,6.55,6.55,6.55,,thailand,Thailand 14Y
2001-07-26,6.65,6.65,6.65,6.65,6.65,,thailand,Thailand 14Y
