Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-03,5.446,5.446,5.446,5.446,5.446,,united kingdom,U.K. 10Y
2000-01-04,5.642,5.642,5.642,5.642,5.642,,united kingdom,U.K. 10Y
2000-01-05,5.739,5.739,5.739,5.739,5.739,,united kingdom,U.K. 10Y
2000-01-06,5.757,5.757,5.757,5.757,5.757,,united kingdom,U.K. 10Y
2000-01-07,5.701,5.701,5.701,5.701,5.701,,united kingdom,U.K. 10Y
2000-01-10,5.617,5.617,5.617,5.617,5.617,,united kingdom,U.K. 10Y
2000-01-11,5.701,5.701,5.701,5.701,5.701,,united kingdom,U.K. 10Y
2000-01-12,5.746,5.746,5.746,5.746,5.746,,united kingdom,U.K. 10Y
2000-01-13,5.658,5.658,5.658,5.658,5.658,,united kingdom,U.K. 10Y
2000-01-14,5.682,5.682,5.682,5.682,5.682,,united kingdom,U.K. 10Y
2000-01-17,5.756,5.756,5.756,5.756,5.756,,united kingdom,U.K. 10Y
2000-01-18,5.862,5.862,5.862,5.862,5.862,,united kingdom,U.K. 10Y
2000-01-19,5.793,5.793,5.793,5.793,5.793,,united kingdom,U.K. 10Y
2000-01-20,5.838,5.838,5.838,5.838,5.838,,united kingdom,U.K. 10Y
2000-01-21,5.793,5.793,5.793,5.793,5.793,,united kingdom,U.K. 10Y
2000-01-24,5.758,5.758,5.758,5.758,5.758,,united kingdom,U.K. 10Y
2000-01-25,5.702,5.702,5.702,5.702,5.702,,united kingdom,U.K. 10Y
2000-01-26,5.665,5.665,5.665,5.665,5.665,,united kingdom,U.K. 10Y
2000-01-27,5.789,5.789,5.789,5.789,5.789,,united kingdom,U.K. 10Y
2000-01-28,5.837,5.837,5.837,5.837,5.837,,united kingdom,U.K. 10Y
2000-01-31,5.718,5.718,5.718,5.718,5.718,,united kingdom,U.K. 10Y
2000-02-01,5.585,5.585,5.585,5.585,5.585,,united kingdom,U.K. 10Y
2000-02-02,5.595,5.595,5.595,5.595,5.595,,united kingdom,U.K. 10Y
2000-02-03,5.512,5.512,5.512,5.512,5.512,,united kingdom,U.K. 10Y
2000-02-04,5.622,5.622,5.622,5.622,5.622,,united kingdom,U.K. 10Y
2000-02-07,5.651,5.651,5.651,5.651,5.651,,united kingdom,U.K. 10Y
2000-02-08,5.606,5.606,5.606,5.606,5.606,,united kingdom,U.K. 10Y
2000-02-09,5.647,5.647,5.647,5.647,5.647,,united kingdom,U.K. 10Y
2000-02-10,5.676,5.676,5.676,5.676,5.676,,united kingdom,U.K. 10Y
2000-02-11,5.644,5.644,5.644,5.644,5.644,,united kingdom,U.K. 10Y
2000-02-14,5.575,5.575,5.575,5.575,5.575,,united kingdom,U.K. 10Y
2000-02-15,5.588,5.588,5.588,5.588,5.588,,united kingdom,U.K. 10Y
2000-02-16,5.675,5.675,5.675,5.675,5.675,,united kingdom,U.K. 10Y
