Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-04,5.75,5.75,5.75,5.75,5.75,,united kingdom,U.K. 3M
2000-01-05,5.73,5.73,5.73,5.73,5.73,,united kingdom,U.K. 3M
2000-01-06,5.83,5.83,5.83,5.83,5.83,,united kingdom,U.K. 3M
2000-01-10,5.78,5.78,5.78,5.78,5.78,,united kingdom,U.K. 3M
2000-01-11,5.84,5.84,5.84,5.84,5.84,,united kingdom,U.K. 3M
2000-01-12,5.86,5.86,5.86,5.86,5.86,,united kingdom,U.K. 3M
2000-01-13,5.81,5.81,5.81,5.81,5.81,,united kingdom,U.K. 3M
2000-01-17,5.83,5.83,5.83,5.83,5.83,,united kingdom,U.K. 3M
2000-01-18,5.84,5.84,5.84,5.84,5.84,,united kingdom,U.K. 3M
2000-01-19,5.85,5.85,5.85,5.85,5.85,,united kingdom,U.K. 3M
2000-01-20,5.87,5.87,5.87,5.87,5.87,,united kingdom,U.K. 3M
2000-01-21,5.9,5.9,5.9,5.9,5.9,,united kingdom,U.K. 3M
2000-01-24,5.9,5.9,5.9,5.9,5.9,,united kingdom,U.K. 3M
2000-01-27,5.985,5.985,5.985,5.985,5.985,,united kingdom,U.K. 3M
2000-01-28,5.982,5.982,5.982,5.982,5.982,,united kingdom,U.K. 3M
2000-01-31,5.94,5.94,5.94,5.94,5.94,,united kingdom,U.K. 3M
2000-02-01,5.884,5.884,5.884,5.884,5.884,,united kingdom,U.K. 3M
2000-02-02,6.007,6.007,6.007,6.007,6.007,,united kingdom,U.K. 3M
2000-02-03,5.985,5.985,5.985,5.985,5.985,,united kingdom,U.K. 3M
2000-02-08,6.038,6.038,6.038,6.038,6.038,,united kingdom,U.K. 3M
2000-02-09,5.97,5.97,5.97,5.97,5.97,,united kingdom,U.K. 3M
2000-02-10,5.98,5.98,5.98,5.98,5.98,,united kingdom,U.K. 3M
2000-02-14,6.039,6.039,6.039,6.039,6.039,,united kingdom,U.K. 3M
2000-02-16,6.0,6.0,6.0,6.0,6.0,,united kingdom,U.K. 3M
2000-02-21,6.0,6.0,6.0,6.0,6.0,,united kingdom,U.K. 3M
2000-02-23,6.078,6.078,6.078,6.078,6.078,,united kingdom,U.K. 3M
2000-02-25,6.084,6.084,6.084,6.084,6.084,,united kingdom,U.K. 3M
2000-02-29,6.09,6.09,6.09,6.09,6.09,,united kingdom,U.K. 3M
2000-03-09,5.98,5.98,5.98,5.98,5.98,,united kingdom,U.K. 3M
2000-03-13,5.97,5.97,5.97,5.97,5.97,,united kingdom,U.K. 3M
2000-03-14,6.027,6.027,6.027,6.027,6.027,,united kingdom,U.K. 3M
2000-03-15,5.93,5.93,5.93,5.93,5.93,,united kingdom,U.K. 3M
2000-03-17,5.97,5.97,5.97,5.97,5.97,,united kingdom,U.K. 3M
2000-03-23,5.94,5.94,5.94,5.94,5.94,,united kingdom,U.K. 3M
2000-03-24,5.94,5.94,5.94,5.94,5.94,,united kingdom,U.K. 3M
2000-03-27,6.008,6.008,6.008,6.008,6.008,,united kingdom,U.K. 3M
2000-03-29,6.026,6.026,6.026,6.026,6.026,,united kingdom,U.K. 3M
2000-03-30,5.98,5.98,5.98,5.98,5.98,,united kingdom,U.K. 3M
2000-04-04,6.0,6.0,6.0,6.0,6.0,,united kingdom,U.K. 3M
2000-04-05,6.109,6.109,6.109,6.109,6.109,,united kingdom,U.K. 3M
2000-04-06,6.05,6.05,6.05,6.05,6.05,,united kingdom,U.K. 3M
2000-04-07,6.084,6.084,6.084,6.084,6.084,,united kingdom,U.K. 3M
2000-04-10,6.03,6.03,6.03,6.03,6.03,,united kingdom,U.K. 3M
2000-04-12,6.088,6.088,6.088,6.088,6.088,,united kingdom,U.K. 3M
2000-04-13,6.01,6.01,6.01,6.01,6.01,,united kingdom,U.K. 3M
2000-05-04,6.12,6.12,6.12,6.12,6.12,,united kingdom,U.K. 3M
2000-05-08,6.04,6.04,6.04,6.04,6.04,,united kingdom,U.K. 3M
2000-05-10,6.129,6.129,6.129,6.129,6.129,,united kingdom,U.K. 3M
2000-05-11,6.149,6.149,6.149,6.149,6.149,,united kingdom,U.K. 3M
2000-05-12,6.07,6.07,6.07,6.07,6.07,,united kingdom,U.K. 3M
2000-05-15,6.173,6.173,6.173,6.173,6.173,,united kingdom,U.K. 3M
2000-05-18,6.06,6.06,6.06,6.06,6.06,,united kingdom,U.K. 3M
2000-05-23,6.05,6.05,6.05,6.05,6.05,,united kingdom,U.K. 3M
2000-06-05,6.06,6.06,6.06,6.06,6.06,,united kingdom,U.K. 3M
2000-06-08,6.06,6.06,6.06,6.06,6.06,,united kingdom,U.K. 3M
2000-06-09,6.146,6.146,6.146,6.146,6.146,,united kingdom,U.K. 3M
2000-06-12,6.111,6.111,6.111,6.111,6.111,,united kingdom,U.K. 3M
2000-06-14,6.088,6.088,6.088,6.088,6.088,,united kingdom,U.K. 3M
2000-06-15,5.98,5.98,5.98,5.98,5.98,,united kingdom,U.K. 3M
2000-06-16,6.02,6.02,6.02,6.02,6.02,,united kingdom,U.K. 3M
2000-06-21,6.088,6.088,6.088,6.088,6.088,,united kingdom,U.K. 3M
2000-06-22,6.025,6.025,6.025,6.025,6.025,,united kingdom,U.K. 3M
2000-06-23,5.99,5.99,5.99,5.99,5.99,,united kingdom,U.K. 3M
2000-06-26,5.99,5.99,5.99,5.99,5.99,,united kingdom,U.K. 3M
2000-06-28,6.088,6.088,6.088,6.088,6.088,,united kingdom,U.K. 3M
2000-06-29,6.025,6.025,6.025,6.025,6.025,,united kingdom,U.K. 3M
2000-06-30,5.97,5.97,5.97,5.97,5.97,,united kingdom,U.K. 3M
2000-07-06,5.97,5.97,5.97,5.97,5.97,,united kingdom,U.K. 3M
2000-07-07,6.033,6.033,6.033,6.033,6.033,,united kingdom,U.K. 3M
2000-07-19,6.037,6.037,6.037,6.037,6.037,,united kingdom,U.K. 3M
2000-07-24,6.039,6.039,6.039,6.039,6.039,,united kingdom,U.K. 3M
2000-08-08,6.028,6.028,6.028,6.028,6.028,,united kingdom,U.K. 3M
2000-08-09,5.966,5.966,5.966,5.966,5.966,,united kingdom,U.K. 3M
2000-08-16,6.038,6.038,6.038,6.038,6.038,,united kingdom,U.K. 3M
2000-08-17,6.037,6.037,6.037,6.037,6.037,,united kingdom,U.K. 3M
2000-08-22,6.018,6.018,6.018,6.018,6.018,,united kingdom,U.K. 3M
2000-08-25,6.036,6.036,6.036,6.036,6.036,,united kingdom,U.K. 3M
2000-08-29,5.987,5.987,5.987,5.987,5.987,,united kingdom,U.K. 3M
2000-08-30,5.96,5.96,5.96,5.96,5.96,,united kingdom,U.K. 3M
2000-09-01,5.96,5.96,5.96,5.96,5.96,,united kingdom,U.K. 3M
2000-09-06,6.058,6.058,6.058,6.058,6.058,,united kingdom,U.K. 3M
2000-09-07,5.96,5.96,5.96,5.96,5.96,,united kingdom,U.K. 3M
2000-09-08,5.994,5.994,5.994,5.994,5.994,,united kingdom,U.K. 3M
2000-09-11,6.009,6.009,6.009,6.009,6.009,,united kingdom,U.K. 3M
2000-09-18,5.91,5.91,5.91,5.91,5.91,,united kingdom,U.K. 3M
2000-09-19,5.91,5.91,5.91,5.91,5.91,,united kingdom,U.K. 3M
2000-09-20,5.996,5.996,5.996,5.996,5.996,,united kingdom,U.K. 3M
2000-09-27,5.91,5.91,5.91,5.91,5.91,,united kingdom,U.K. 3M
2000-10-02,5.937,5.937,5.937,5.937,5.937,,united kingdom,U.K. 3M
2000-10-04,5.976,5.976,5.976,5.976,5.976,,united kingdom,U.K. 3M
2000-10-11,5.92,5.92,5.92,5.92,5.92,,united kingdom,U.K. 3M
2000-10-19,5.943,5.943,5.943,5.943,5.943,,united kingdom,U.K. 3M
2000-10-20,6.002,6.002,6.002,6.002,6.002,,united kingdom,U.K. 3M
2000-10-23,6.008,6.008,6.008,6.008,6.008,,united kingdom,U.K. 3M
2000-10-27,5.92,5.92,5.92,5.92,5.92,,united kingdom,U.K. 3M
2000-10-31,6.008,6.008,6.008,6.008,6.008,,united kingdom,U.K. 3M
2000-11-08,6.006,6.006,6.006,6.006,6.006,,united kingdom,U.K. 3M
2000-11-15,5.92,5.92,5.92,5.92,5.92,,united kingdom,U.K. 3M
2000-11-16,5.84,5.84,5.84,5.84,5.84,,united kingdom,U.K. 3M
2000-11-17,5.878,5.878,5.878,5.878,5.878,,united kingdom,U.K. 3M
2000-11-20,5.884,5.884,5.884,5.884,5.884,,united kingdom,U.K. 3M
2000-11-21,5.83,5.83,5.83,5.83,5.83,,united kingdom,U.K. 3M
2000-11-23,5.79,5.79,5.79,5.79,5.79,,united kingdom,U.K. 3M
2000-11-27,5.864,5.864,5.864,5.864,5.864,,united kingdom,U.K. 3M
2000-11-29,5.8,5.8,5.8,5.8,5.8,,united kingdom,U.K. 3M
2000-12-04,5.884,5.884,5.884,5.884,5.884,,united kingdom,U.K. 3M
2000-12-11,5.8,5.8,5.8,5.8,5.8,,united kingdom,U.K. 3M
2000-12-12,5.833,5.833,5.833,5.833,5.833,,united kingdom,U.K. 3M
2000-12-15,5.78,5.78,5.78,5.78,5.78,,united kingdom,U.K. 3M
2000-12-20,5.75,5.75,5.75,5.75,5.75,,united kingdom,U.K. 3M
2000-12-21,5.75,5.75,5.75,5.75,5.75,,united kingdom,U.K. 3M
2000-12-22,5.75,5.75,5.75,5.75,5.75,,united kingdom,U.K. 3M
2001-01-02,5.761,5.761,5.761,5.761,5.761,,united kingdom,U.K. 3M
2001-01-03,5.78,5.78,5.78,5.78,5.78,,united kingdom,U.K. 3M
2001-01-04,5.7,5.7,5.7,5.7,5.7,,united kingdom,U.K. 3M
2001-01-05,5.68,5.68,5.68,5.68,5.68,,united kingdom,U.K. 3M
2001-01-08,5.65,5.65,5.65,5.65,5.65,,united kingdom,U.K. 3M
2001-01-09,5.62,5.62,5.62,5.62,5.62,,united kingdom,U.K. 3M
2001-01-10,5.63,5.63,5.63,5.63,5.63,,united kingdom,U.K. 3M
2001-01-11,5.66,5.66,5.66,5.66,5.66,,united kingdom,U.K. 3M
