country,bond_name,year,status,rows,from_date,to_date
united kingdom,U.K. 3M,2000,ok,112,01/01/2000,31/12/2000
united kingdom,U.K. 3M,2001,ok,151,01/01/2001,31/12/2001
united kingdom,U.K. 3M,2002,ok,253,01/01/2002,31/12/2002
united kingdom,U.K. 3M,2003,ok,244,01/01/2003,31/12/2003
united kingdom,U.K. 3M,2004,ok,143,01/01/2004,31/12/2004
united kingdom,U.K. 3M,2005,ok,60,01/01/2005,31/12/2005
united kingdom,U.K. 3M,2006,ok,53,01/01/2006,31/12/2006
united kingdom,U.K. 3M,2007,ok,247,01/01/2007,31/12/2007
united kingdom,U.K. 3M,2008,ok,254,01/01/2008,31/12/2008
united kingdom,U.K. 3M,2009,ok,253,01/01/2009,31/12/2009
united kingdom,U.K. 3M,2010,ok,253,01/01/2010,31/12/2010
united kingdom,U.K. 3M,2011,ok,251,01/01/2011,31/12/2011
united kingdom,U.K. 3M,2012,ok,310,01/01/2012,31/12/2012
united kingdom,U.K. 3M,2013,ok,278,01/01/2013,31/12/2013
united kingdom,U.K. 3M,2014,ok,267,01/01/2014,31/12/2014
united kingdom,U.K. 3M,2015,ok,262,01/01/2015,31/12/2015
united kingdom,U.K. 3M,2016,ok,263,01/01/2016,31/12/2016
united kingdom,U.K. 3M,2017,ok,267,01/01/2017,31/12/2017
united kingdom,U.K. 3M,2018,ok,262,01/01/2018,31/12/2018
united kingdom,U.K. 3M,2019,ok,261,01/01/2019,31/12/2019
united kingdom,U.K. 3M,2020,ok,262,01/01/2020,31/12/2020
united kingdom,U.K. 3M,2021,ok,258,01/01/2021,31/12/2021
united kingdom,U.K. 3M,2022,ok,260,01/01/2022,31/12/2022
united kingdom,U.K. 3M,2023,ok,260,01/01/2023,31/12/2023
united kingdom,U.K. 3M,2024,ok,256,01/01/2024,31/12/2024
united kingdom,U.K. 3M,2025,ok,254,01/01/2025,31/12/2025
united kingdom,U.K. 3M,2026,ok,49,01/01/2026,11/03/2026
