country,bond_name,year,status,rows,from_date,to_date,error
united kingdom,U.K. 6M,2000,failed,0,01/01/2000,31/12/2000,Failed to download U.K. 6M from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
united kingdom,U.K. 6M,2001,failed,0,01/01/2001,31/12/2001,Failed to download U.K. 6M from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.
united kingdom,U.K. 6M,2002,ok,45,01/01/2002,31/12/2002,
united kingdom,U.K. 6M,2003,ok,171,01/01/2003,31/12/2003,
united kingdom,U.K. 6M,2004,ok,63,01/01/2004,31/12/2004,
united kingdom,U.K. 6M,2005,ok,41,01/01/2005,31/12/2005,
united kingdom,U.K. 6M,2006,ok,2,01/01/2006,31/12/2006,
united kingdom,U.K. 6M,2007,ok,238,01/01/2007,31/12/2007,
united kingdom,U.K. 6M,2008,ok,254,01/01/2008,31/12/2008,
united kingdom,U.K. 6M,2009,ok,253,01/01/2009,31/12/2009,
united kingdom,U.K. 6M,2010,ok,253,01/01/2010,31/12/2010,
united kingdom,U.K. 6M,2011,ok,251,01/01/2011,31/12/2011,
united kingdom,U.K. 6M,2012,ok,310,01/01/2012,31/12/2012,
united kingdom,U.K. 6M,2013,ok,277,01/01/2013,31/12/2013,
united kingdom,U.K. 6M,2014,ok,267,01/01/2014,31/12/2014,
united kingdom,U.K. 6M,2015,ok,262,01/01/2015,31/12/2015,
united kingdom,U.K. 6M,2016,ok,262,01/01/2016,31/12/2016,
united kingdom,U.K. 6M,2017,ok,267,01/01/2017,31/12/2017,
united kingdom,U.K. 6M,2018,ok,261,01/01/2018,31/12/2018,
united kingdom,U.K. 6M,2019,ok,261,01/01/2019,31/12/2019,
united kingdom,U.K. 6M,2020,ok,262,01/01/2020,31/12/2020,
united kingdom,U.K. 6M,2021,ok,260,01/01/2021,31/12/2021,
united kingdom,U.K. 6M,2022,ok,260,01/01/2022,31/12/2022,
united kingdom,U.K. 6M,2023,ok,260,01/01/2023,31/12/2023,
united kingdom,U.K. 6M,2024,ok,254,01/01/2024,31/12/2024,
united kingdom,U.K. 6M,2025,ok,254,01/01/2025,31/12/2025,
united kingdom,U.K. 6M,2026,ok,49,01/01/2026,11/03/2026,
