country,bond_name,year,status,rows,from_date,to_date
united kingdom,U.K. 9Y,2000,ok,258,01/01/2000,31/12/2000
united kingdom,U.K. 9Y,2001,ok,258,01/01/2001,31/12/2001
united kingdom,U.K. 9Y,2002,ok,259,01/01/2002,31/12/2002
united kingdom,U.K. 9Y,2003,ok,90,01/01/2003,31/12/2003
united kingdom,U.K. 9Y,2004,ok,247,01/01/2004,31/12/2004
united kingdom,U.K. 9Y,2005,ok,260,01/01/2005,31/12/2005
united kingdom,U.K. 9Y,2006,ok,253,01/01/2006,31/12/2006
united kingdom,U.K. 9Y,2007,ok,253,01/01/2007,31/12/2007
united kingdom,U.K. 9Y,2008,ok,254,01/01/2008,31/12/2008
united kingdom,U.K. 9Y,2009,ok,199,01/01/2009,31/12/2009
united kingdom,U.K. 9Y,2010,ok,178,01/01/2010,31/12/2010
united kingdom,U.K. 9Y,2011,ok,214,01/01/2011,31/12/2011
united kingdom,U.K. 9Y,2012,ok,312,01/01/2012,31/12/2012
united kingdom,U.K. 9Y,2013,ok,319,01/01/2013,31/12/2013
united kingdom,U.K. 9Y,2014,ok,331,01/01/2014,31/12/2014
united kingdom,U.K. 9Y,2015,ok,301,01/01/2015,31/12/2015
united kingdom,U.K. 9Y,2016,ok,280,01/01/2016,31/12/2016
united kingdom,U.K. 9Y,2017,ok,282,01/01/2017,31/12/2017
united kingdom,U.K. 9Y,2018,ok,285,01/01/2018,31/12/2018
united kingdom,U.K. 9Y,2019,ok,297,01/01/2019,31/12/2019
united kingdom,U.K. 9Y,2020,ok,338,01/01/2020,31/12/2020
united kingdom,U.K. 9Y,2021,ok,269,01/01/2021,31/12/2021
united kingdom,U.K. 9Y,2022,ok,316,01/01/2022,31/12/2022
united kingdom,U.K. 9Y,2023,ok,342,01/01/2023,31/12/2023
united kingdom,U.K. 9Y,2024,ok,256,01/01/2024,31/12/2024
united kingdom,U.K. 9Y,2025,ok,253,01/01/2025,31/12/2025
united kingdom,U.K. 9Y,2026,ok,49,01/01/2026,11/03/2026
